title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low
2003,Harrison Ford,1,1,0,0,2003,Josh Hartnett,2,1,0,0,2003,Lena Olin,3,1,0,0,2003,Bruce Greenwood,4,1,0,0,2003,Isaiah Washington,5,1,0,0,2003,Lolita Davidovich,6,1,0,0
2016,Scott Eastwood,1.5,0,1,0,2016,Walton Goggins,3,0,1,0,2016,Camilla Belle,4.5,0,1,0,2016,Danny Glover,6,0,1,0,2016,Adam Beach,7.5,0,1,0,2016,Tzi Ma,9,0,1,0
2002,Adam Sandler,1,1,0,0,2002,Winona Ryder,2,1,0,0,2002,John Turturro,3,1,0,0,2002,Allen Covert,4,1,0,0,2002,Peter Gallagher,5,1,0,0,2002,Erick Avari,6,1,0,0
1981,Amy Steel,2,0,0,1,1981,John Furey,4,0,0,1,1981,Adrienne King,6,0,0,1,1981,Kirsten Baker,8,0,0,1,1981,Betsy Palmer,10,0,0,1,1981,Lauren-Marie Taylor,12,0,0,1
2012,Ray Winstone,1.5,0,1,0,2012,Ben Drew,3,0,1,0,2012,Hayley Atwell,4.5,0,1,0,2012,Damian Lewis,6,0,1,0,2012,Alan Ford,7.5,0,1,0,2012,Steven Mackintosh,9,0,1,0
2009,Keri Russell,1.5,0,1,0,2009,Nathan Fillion,3,0,1,0,2009,Alfred Molina,4.5,0,1,0,2009,Rosario Dawson,6,0,1,0,2009,Virginia Madsen,7.5,0,1,0,2009,Marg Helgenberger,9,0,1,0
1993,Richard Dreyfuss,1.5,0,1,0,1993,Emilio Estevez,3,0,1,0,1993,Rosie O'Donnell,4.5,0,1,0,1993,Dennis Farina,6,0,1,0,1993,Miguel Ferrer,7.5,0,1,0,1993,Cathy Moriarty,9,0,1,0
2014,FÌ©lix de Givry,1.5,0,1,0,2014,Brady Corbet,3,0,1,0,2014,Greta Gerwig,4.5,0,1,0,2014,ArsinÌ©e Khanjian,6,0,1,0,2014,Pauline Ìätienne,7.5,0,1,0,2014,Vincent Macaigne,9,0,1,0
2016,Login to Edit Cast & Crew,1.5,0,1,0,2016,,3,0,1,0,2016,,4.5,0,1,0,2016,,6,0,1,0,2016,,7.5,0,1,0,2016,,9,0,1,0
2013,Agata Trzebuchowska,2,0,0,1,2013,Agata Kulesza,4,0,0,1,2013,Joanna Kulig,6,0,0,1,2013,Dawid Ogrodnik,8,0,0,1,2013,Adam Szyszkowski,10,0,0,1,2013,Jerzy Trela,12,0,0,1
2000,Jim Cummings,1.5,0,1,0,2000,Nikita Hopkins,3,0,1,0,2000,Ken Sansom,4.5,0,1,0,2000,John Fiedler,6,0,1,0,2000,Peter Cullen,7.5,0,1,0,2000,Andre Stojka,9,0,1,0
2006,Javier Bardem,1,1,0,0,2006,Natalie Portman,2,1,0,0,2006,Stellan SkarsgÌ´rd,3,1,0,0,2006,Randy Quaid,4,1,0,0,2006,JosÌ© Luis GÌ_mez,5,1,0,0,2006,Michael Lonsdale,6,1,0,0
2007,Nathan Fillion,1.5,0,1,0,2007,Katee Sackhoff,3,0,1,0,2007,Craig Fairbrass,4.5,0,1,0,2007,Adrian Holmes,6,0,1,0,2007,Teryl Rothery,7.5,0,1,0,2007,William McDonald,9,0,1,0
2014,Haley Ramm,1.5,0,1,0,2014,Jade Pettyjohn,3,0,1,0,2014,Emily Bett Rickards,4.5,0,1,0,2014,Keith Carradine,6,0,1,0,2014,Julie Ann Emery,7.5,0,1,0,2014,Spencer Boldman,9,0,1,0
2007,Aaron Eckhart,2,0,0,1,2007,Jessica Alba,4,0,0,1,2007,Elizabeth Banks,6,0,0,1,2007,Timothy Olyphant,8,0,0,1,2007,Logan Lerman,10,0,0,1,2007,Todd Louiso,12,0,0,1
2001,Jean-Claude Van Damme,1.5,0,1,0,2001,Brian Thompson,3,0,1,0,2001,Charlton Heston,4.5,0,1,0,2001,Sofia Milos,6,0,1,0,2001,Ben Cross,7.5,0,1,0,2001,Shalom Sharon Raginiano,9,0,1,0
1959,Richard Widmark,1.5,0,1,0,1959,Henry Fonda,3,0,1,0,1959,Anthony Quinn,4.5,0,1,0,1959,Dorothy Malone,6,0,1,0,1959,Dolores Michaels,7.5,0,1,0,1959,Wallace Ford,9,0,1,0
2006,Kseniya Rappoport,1.5,0,1,0,2006,Michele Placido,3,0,1,0,2006,Piera Degli Esposti,4.5,0,1,0,2006,Claudia Gerini,6,0,1,0,2006,Margherita Buy,7.5,0,1,0,2006,ÌÅngela Molina,9,0,1,0
2016,Nikita Mirzani,1.5,0,1,0,2016,Angel Karamoy,3,0,1,0,2016,Rico Verald,4.5,0,1,0,2016,Riza Sanjaya,6,0,1,0,2016,Full Cast & Crew,7.5,0,1,0,2016,,9,0,1,0
2016,Rosnita Putri Permata,1.5,0,1,0,2016,Bedu,3,0,1,0,2016,Natalie Sarah,4.5,0,1,0,2016,Full Cast & Crew,6,0,1,0,2016,,7.5,0,1,0,2016,,9,0,1,0
2013,Kristen Holden-Ried,1.5,0,1,0,2013,Emily Hampshire,3,0,1,0,2013,Claudia Bassols,4.5,0,1,0,2013,Shawn Doyle,6,0,1,0,2013,Emily Alatalo,7.5,0,1,0,2013,Paulino Nunes,9,0,1,0
2009,Chris Wylde,1.5,0,1,0,2009,David Anders,3,0,1,0,2009,Louise Griffiths,4.5,0,1,0,2009,Jacy King,6,0,1,0,2009,Full Cast & Crew,7.5,0,1,0,2009,,9,0,1,0
2005,Rowan Atkinson,1.5,0,1,0,2005,Kristin Scott Thomas,3,0,1,0,2005,Maggie Smith,4.5,0,1,0,2005,Patrick Swayze,6,0,1,0,2005,Tamsin Egerton,7.5,0,1,0,2005,Toby Parkes,9,0,1,0
2010,Vik Muniz,1.5,0,1,0,2010,Full Cast & Crew,3,0,1,0,2010,,4.5,0,1,0,2010,,6,0,1,0,2010,,7.5,0,1,0,2010,,9,0,1,0
2016,Jason Bateman,1.5,0,1,0,2016,Nicole Kidman,3,0,1,0,2016,Christopher Walken,4.5,0,1,0,2016,Marin Ireland,6,0,1,0,2016,Michael Chernus,7.5,0,1,0,2016,Josh Pais,9,0,1,0
2005,Will Ferrell,1.5,0,1,0,2005,Robert Duvall,3,0,1,0,2005,Kate Walsh,4.5,0,1,0,2005,Musetta Vander,6,0,1,0,2005,Josh Hutcherson,7.5,0,1,0,2005,Steven Anthony Lawrence,9,0,1,0
2005,Mads Mikkelsen,1.5,0,1,0,2005,Ulrich Thomsen,3,0,1,0,2005,Paprika Steen,4.5,0,1,0,2005,Ole Thestrup,6,0,1,0,2005,Nikolaj Lie Kaas,7.5,0,1,0,2005,Nicolas Bro,9,0,1,0
2015,Andrew Garfield,1.5,0,1,0,2015,Laura Dern,3,0,1,0,2015,Michael Shannon,4.5,0,1,0,2015,Tim Guinee,6,0,1,0,2015,J.D. Evermore,7.5,0,1,0,2015,Noah Lomax,9,0,1,0
1977,Linda Blair,1,1,0,0,1977,Richard Burton,2,1,0,0,1977,Louise Fletcher,3,1,0,0,1977,Max von Sydow,4,1,0,0,1977,Kitty Winn,5,1,0,0,1977,Paul Henreid,6,1,0,0
2009,Michael Sheen,1.5,0,1,0,2009,Colm Meaney,3,0,1,0,2009,Timothy Spall,4.5,0,1,0,2009,Jim Broadbent,6,0,1,0,2009,Giles Alderson,7.5,0,1,0,2009,Maurice Roeves,9,0,1,0
2004,Topher Grace,1.5,0,1,0,2004,Scarlett Johansson,3,0,1,0,2004,Dennis Quaid,4.5,0,1,0,2004,Marg Helgenberger,6,0,1,0,2004,David Paymer,7.5,0,1,0,2004,Clark Gregg,9,0,1,0
2004,Diego Luna,1.5,0,1,0,2004,Romola Garai,3,0,1,0,2004,Sela Ward,4.5,0,1,0,2004,John Slattery,6,0,1,0,2004,Jonathan Jackson,7.5,0,1,0,2004,January Jones,9,0,1,0
2016,Dextina Booker,1.5,0,1,0,2016,Kate Catlin,3,0,1,0,2016,Avery Hairston,4.5,0,1,0,2016,Pamela Lewis,6,0,1,0,2016,Max Nussenbaum,7.5,0,1,0,2016,Labib Rahman,9,0,1,0
2016,Login to Edit Cast & Crew,1.5,0,1,0,2016,,3,0,1,0,2016,,4.5,0,1,0,2016,,6,0,1,0,2016,,7.5,0,1,0,2016,,9,0,1,0
2014,Dominic Rains,1.5,0,1,0,2014,Ray Park,3,0,1,0,2014,William Atherton,4.5,0,1,0,2014,Faran Tahir,6,0,1,0,2014,Serinda Swan,7.5,0,1,0,2014,Walter Phelan,9,0,1,0
2007,Julie Delpy,1.5,0,1,0,2007,Adam Goldberg,3,0,1,0,2007,Daniel BrÌ_hl,4.5,0,1,0,2007,Adan Jodorowsky,6,0,1,0,2007,Alexandre Nahon,7.5,0,1,0,2007,Albert Delpy,9,0,1,0
2009,Nina IvaniÅÁin,2,0,0,1,2009,Peter Musevski,4,0,0,1,2009,PrimoÅ_ Pirnat,6,0,0,1,2009,MaruÅÁa Kink,8,0,0,1,2009,UroÅÁ Furst,10,0,0,1,2009,Dejan Spasic,12,0,0,1
2016,Checco Zalone,1.5,0,1,0,2016,Maurizio Micheli,3,0,1,0,2016,Lino Banfi,4.5,0,1,0,2016,Sonia Bergamasco,6,0,1,0,2016,Eleonora Giovanardi,7.5,0,1,0,2016,Full Cast & Crew,9,0,1,0
1989,Chow Yun-fat,1.5,0,1,0,1989,Danny Lee Sau-Yin,3,0,1,0,1989,Sally Yeh,4.5,0,1,0,1989,Paul Chu Kong,6,0,1,0,1989,Kenneth Tsang,7.5,0,1,0,1989,Shing Fui-On,9,0,1,0
2007,Tomoya Nagase,1.5,0,1,0,2007,Yuri Chinen,3,0,1,0,2007,KÌ«ichi Yamadera,4.5,0,1,0,2007,Naoto Takenaka,6,0,1,0,2007,Akio ÌÓtsuka,7.5,0,1,0,2007,Full Cast & Crew,9,0,1,0
1990,Warren Beatty,1,1,0,0,1990,Al Pacino,2,1,0,0,1990,Madonna,3,1,0,0,1990,Charlie Korsmo,4,1,0,0,1990,Glenne Headly,5,1,0,0,1990,Dustin Hoffman,6,1,0,0
2009,Luke Mably,1.5,0,1,0,2009,Adar Beck,3,0,1,0,2009,Chris Carey,4.5,0,1,0,2009,Gemma Chan,6,0,1,0,2009,Nathalie Cox,7.5,0,1,0,2009,John Lloyd Fillingham,9,0,1,0
1948,Johnny Weissmuller,1.5,0,1,0,1948,Brenda Joyce,3,0,1,0,1948,George Zucco,4.5,0,1,0,1948,Andrea Palma,6,0,1,0,1948,Fernando Wagner,7.5,0,1,0,1948,Edward Ashley,9,0,1,0
2007,Keri Russell,2,0,0,1,2007,Nathan Fillion,4,0,0,1,2007,Andy Griffith,6,0,0,1,2007,Cheryl Hines,8,0,0,1,2007,Eddie Jemison,10,0,0,1,2007,Jeremy Sisto,12,0,0,1
1983,Tom Cruise,1.5,0,1,0,1983,Rebecca De Mornay,3,0,1,0,1983,Joe Pantoliano,4.5,0,1,0,1983,Richard Masur,6,0,1,0,1983,Curtis Armstrong,7.5,0,1,0,1983,Bronson Pinchot,9,0,1,0
1979,Nastassja Kinski,1.5,0,1,0,1979,Peter Firth,3,0,1,0,1979,Leigh Lawson,4.5,0,1,0,1979,John Collin,6,0,1,0,1979,Sylvia Coleridge,7.5,0,1,0,1979,Richard Pearson,9,0,1,0
1997,Jaime Pressly,1.5,0,1,0,1997,Megan Edwards,3,0,1,0,1997,Michael Des Barres,4.5,0,1,0,1997,Greg Vaughan,6,0,1,0,1997,Susan Tyrrell,7.5,0,1,0,1997,Tenaya Erich,9,0,1,0
1962,Jean NÌ©groni,1.5,0,1,0,1962,HÌ©lÌ¬ne Chatelain,3,0,1,0,1962,Davos Hanich,4.5,0,1,0,1962,Jacques Ledoux,6,0,1,0,1962,AndrÌ© Heinrich,7.5,0,1,0,1962,Jacques Branchu,9,0,1,0
1989,Jean-Claude Van Damme,2,0,0,1,1989,Dennis Alexio,4,0,0,1,1989,Dennis Chan,6,0,0,1,1989,Michel Qissi,8,0,0,1,1989,Haskell V. Anderson III,10,0,0,1,1989,Rochelle Ashana,12,0,0,1
1984,Michael ParÌ©,1.5,0,1,0,1984,Nancy Allen,3,0,1,0,1984,Eric Christmas,4.5,0,1,0,1984,Bobby Di Cicco,6,0,1,0,1984,Louise Latham,7.5,0,1,0,1984,Kene Holliday,9,0,1,0
2007,Richard Jenkins,1.5,0,1,0,2007,Haaz Sleiman,3,0,1,0,2007,Danai Gurira,4.5,0,1,0,2007,Hiam Abbass,6,0,1,0,2007,Marian Seldes,7.5,0,1,0,2007,Maggie Moore,9,0,1,0
2005,Ryan Reynolds,1.5,0,1,0,2005,Amy Smart,3,0,1,0,2005,Anna Faris,4.5,0,1,0,2005,Chris Klein,6,0,1,0,2005,Chris Marquette,7.5,0,1,0,2005,Julie Hagerty,9,0,1,0
1988,Dan Aykroyd,1,1,0,0,1988,Kim Basinger,2,1,0,0,1988,Jon Lovitz,3,1,0,0,1988,Alyson Hannigan,4,1,0,0,1988,Seth Green,5,1,0,0,1988,Harry Shearer,6,1,0,0
1993,Jason Patric,1,1,0,0,1993,Wes Studi,2,1,0,0,1993,Gene Hackman,3,1,0,0,1993,Robert Duvall,4,1,0,0,1993,Matt Damon,5,1,0,0,1993,Rodney A. Grant,6,1,0,0
2011,DemiÌÁn Bichir,1.5,0,1,0,2011,JosÌ© JuliÌÁn,3,0,1,0,2011,Chelsea Rendon,4.5,0,1,0,2011,Dolores Heredia,6,0,1,0,2011,JoaquÌ_n Cosio,7.5,0,1,0,2011,Carlos Linares,9,0,1,0
2013,Alain Chabat,1.5,0,1,0,2013,Max Boublil,3,0,1,0,2013,Sandrine Kiberlain,4.5,0,1,0,2013,MÌ©lanie Bernier,6,0,1,0,2013,AriÌ© Elmaleh,7.5,0,1,0,2013,Elisa Sednaoui,9,0,1,0
2005,Aaron Eckhart,2,0,0,1,2005,Maria Bello,4,0,0,1,2005,Cameron Bright,6,0,0,1,2005,Adam Brody,8,0,0,1,2005,Sam Elliott,10,0,0,1,2005,Katie Holmes,12,0,0,1
2008,Stephen Dorff,2,0,0,1,2008,Val Kilmer,4,0,0,1,2008,Marisol Nichols,6,0,0,1,2008,Vincent Miller,8,0,0,1,2008,Anne Archer,10,0,0,1,2008,Larnell Stovall,12,0,0,1
1993,Jeff Bridges,1.5,0,1,0,1993,Isabella Rossellini,3,0,1,0,1993,Rosie Perez,4.5,0,1,0,1993,Tom Hulce,6,0,1,0,1993,John Turturro,7.5,0,1,0,1993,Benicio del Toro,9,0,1,0
1980,Adriano Celentano,1.5,0,1,0,1980,Ornella Muti,3,0,1,0,1980,Edith Peters,4.5,0,1,0,1980,Milly Carlucci,6,0,1,0,1980,Pippo Santonastaso,7.5,0,1,0,1980,Sandro Ghiani,9,0,1,0
2010,Bill Nighy,1.5,0,1,0,2010,Emily Blunt,3,0,1,0,2010,Rupert Grint,4.5,0,1,0,2010,Rupert Everett,6,0,1,0,2010,Eileen Atkins,7.5,0,1,0,2010,Martin Freeman,9,0,1,0
2004,Hilary Duff,1.5,0,1,0,2004,Oliver James,3,0,1,0,2004,David Keith,4.5,0,1,0,2004,Johnny Lewis,6,0,1,0,2004,Rita Wilson,7.5,0,1,0,2004,Dana Davis,9,0,1,0
2007,John Leguizamo,1.5,0,1,0,2007,Katherine Waterston,3,0,1,0,2007,Cynthia Nixon,4.5,0,1,0,2007,Andy Comeau,6,0,1,0,2007,Denis O'Hare,7.5,0,1,0,2007,Lauren Birkell,9,0,1,0
2014,Katie Holmes,2,0,0,1,2014,James Badge Dale,4,0,0,1,2014,Callan Mulvey,6,0,0,1,2014,Mary Kay Place,8,0,0,1,2014,Saidah Arrika Ekulona,10,0,0,1,2014,James Landry HÌ©bert,12,0,0,1
1988,John Neville,1.5,0,1,0,1988,Eric Idle,3,0,1,0,1988,Sarah Polley,4.5,0,1,0,1988,Oliver Reed,6,0,1,0,1988,Uma Thurman,7.5,0,1,0,1988,Charles McKeown,9,0,1,0
2012,Jacopo Olmo Antinori,1.5,0,1,0,2012,Tea Falco,3,0,1,0,2012,Sonia Bergamasco,4.5,0,1,0,2012,Tommaso Ragno,6,0,1,0,2012,Veronica Lazar,7.5,0,1,0,2012,Pippo Delbono,9,0,1,0
2005,Anthony Rapp,1.5,0,1,0,2005,Adam Pascal,3,0,1,0,2005,Rosario Dawson,4.5,0,1,0,2005,Jesse L. Martin,6,0,1,0,2005,Wilson Jermaine Heredia,7.5,0,1,0,2005,Idina Menzel,9,0,1,0
2005,Lee Byung-hun,1.5,0,1,0,2005,Shin Min-a,3,0,1,0,2005,Kim Yeong-cheol,4.5,0,1,0,2005,Hwang Jeong-min,6,0,1,0,2005,Jin Goo,7.5,0,1,0,2005,Kim Roe-Ha,9,0,1,0
2009,Alan van Sprang,2,0,0,1,2009,Kenneth Welsh,4,0,0,1,2009,Kathleen Munroe,6,0,0,1,2009,Devon Bostick,8,0,0,1,2009,Richard Fitzpatrick,10,0,0,1,2009,Athena Karkanis,12,0,0,1
1988,Steven Seagal,1.5,0,1,0,1988,Pam Grier,3,0,1,0,1988,Henry Silva,4.5,0,1,0,1988,Sharon Stone,6,0,1,0,1988,Ron Dean,7.5,0,1,0,1988,Daniel Faraldo,9,0,1,0
2009,Demetri Martin,1.5,0,1,0,2009,Imelda Staunton,3,0,1,0,2009,Henry Goodman,4.5,0,1,0,2009,Liev Schreiber,6,0,1,0,2009,Jonathan Groff,7.5,0,1,0,2009,Eugene Levy,9,0,1,0
2007,Baki Davrak,2,0,0,1,2007,Tuncel Kurtiz,4,0,0,1,2007,Hanna Schygulla,6,0,0,1,2007,Patrycia Ziolkowska,8,0,0,1,2007,Nursel KÌ_se,10,0,0,1,2007,Yelda Reynaud,12,0,0,1
1985,Steve Guttenberg,1.5,0,1,0,1985,Tahnee Welch,3,0,1,0,1985,Brian Dennehy,4.5,0,1,0,1985,Don Ameche,6,0,1,0,1985,Wilford Brimley,7.5,0,1,0,1985,Hume Cronyn,9,0,1,0
2015,Erika Jordan,1.5,0,1,0,2015,Karlie Montana,3,0,1,0,2015,Andrew Espinoza Long,4.5,0,1,0,2015,Christine Nguyen,6,0,1,0,2015,Mary Carey,7.5,0,1,0,2015,Adriana Chechik,9,0,1,0
2010,Jim Broadbent,1.5,0,1,0,2010,Lesley Manville,3,0,1,0,2010,Ruth Sheen,4.5,0,1,0,2010,Oliver Maltman,6,0,1,0,2010,Peter Wight,7.5,0,1,0,2010,David Bradley,9,0,1,0
1986,Walter Matthau,1.5,0,1,0,1986,Cris Campion,3,0,1,0,1986,Damien Thomas,4.5,0,1,0,1986,Olu Jacobs,6,0,1,0,1986,Charlotte Lewis,7.5,0,1,0,1986,Full Cast & Crew,9,0,1,0
2013,Paul Walker,1,1,0,0,2013,Vin Diesel,2,1,0,0,2013,Dwayne Johnson,3,1,0,0,2013,Jordana Brewster,4,1,0,0,2013,Luke Evans,5,1,0,0,2013,Michelle Rodriguez,6,1,0,0
1982,Meryl Streep,1.5,0,1,0,1982,Kevin Kline,3,0,1,0,1982,Peter MacNicol,4.5,0,1,0,1982,Rita Karin,6,0,1,0,1982,Stephen D. Newman,7.5,0,1,0,1982,Greta Turken,9,0,1,0
1968,Roger Carel,1.5,0,1,0,1968,Jacques Morel,3,0,1,0,1968,Lucien Raimbourg,4.5,0,1,0,1968,Micheline Dax,6,0,1,0,1968,Pierre Tornade,7.5,0,1,0,1968,Henri LabussiÌ¬re,9,0,1,0
2006,Aamir Khan,2,0,0,1,2006,Soha Ali Khan,4,0,0,1,2006,Alice Patten,6,0,0,1,2006,Sharman Joshi,8,0,0,1,2006,Kunal Kapoor,10,0,0,1,2006,Atul Kulkarni,12,0,0,1
2006,Kajol,2,0,0,1,2006,Aamir Khan,4,0,0,1,2006,Rishi Kapoor,6,0,0,1,2006,Kiron Kher,8,0,0,1,2006,Shiney Ahuja,10,0,0,1,2006,Lillete Dubey,12,0,0,1
2007,Jean Dujardin,1.5,0,1,0,2007,Vahina Giocante,3,0,1,0,2007,Patrick Mille,4.5,0,1,0,2007,Jocelyn Quivrin,6,0,1,0,2007,Elisa Tovati,7.5,0,1,0,2007,Nicolas MariÌ©,9,0,1,0
2004,Ben Affleck,1.5,0,1,0,2004,James Gandolfini,3,0,1,0,2004,Christina Applegate,4.5,0,1,0,2004,Catherine O'Hara,6,0,1,0,2004,Josh Zuckerman,7.5,0,1,0,2004,Bill Macy,9,0,1,0
2002,Jennifer Aniston,2,0,0,1,2002,Jake Gyllenhaal,4,0,0,1,2002,Zooey Deschanel,6,0,0,1,2002,John C. Reilly,8,0,0,1,2002,Deborah Rush,10,0,0,1,2002,Mike White,12,0,0,1
1989,Jacqueline Bisset,1.5,0,1,0,1989,CarrÌ© Otis,3,0,1,0,1989,Mickey Rourke,4.5,0,1,0,1989,Assumpta Serna,6,0,1,0,1989,Bruce Greenwood,7.5,0,1,0,1989,Oleg Vidov,9,0,1,0
1977,Elliott Gould,1.5,0,1,0,1977,James Brolin,3,0,1,0,1977,Brenda Vaccaro,4.5,0,1,0,1977,Sam Waterston,6,0,1,0,1977,O.J. Simpson,7.5,0,1,0,1977,Hal Holbrook,9,0,1,0
2014,Brittany Allen,1.5,0,1,0,2014,Melanie Papalia,3,0,1,0,2014,Jesse Moss,4.5,0,1,0,2014,Anja Savcic,6,0,1,0,2014,Sean Rogerson,7.5,0,1,0,2014,Emily Perkins,9,0,1,0
2014,Aaron Paul,1.5,0,1,0,2014,Juliette Lewis,3,0,1,0,2014,Josh Wiggins,4.5,0,1,0,2014,Deke Garner,6,0,1,0,2014,Jonny Mars,7.5,0,1,0,2014,Walt Roberts,9,0,1,0
2015,Dakota Fanning,1.5,0,1,0,2015,Theo James,3,0,1,0,2015,Richard Gere,4.5,0,1,0,2015,Clarke Peters,6,0,1,0,2015,Brian Anthony Wilson,7.5,0,1,0,2015,Dennisha Pratt,9,0,1,0
1994,Nicolas Cage,1.5,0,1,0,1994,Bridget Fonda,3,0,1,0,1994,Rosie Perez,4.5,0,1,0,1994,Wendell Pierce,6,0,1,0,1994,Isaac Hayes,7.5,0,1,0,1994,Seymour Cassel,9,0,1,0
1999,Jake Gyllenhaal,1.5,0,1,0,1999,Chris Cooper,3,0,1,0,1999,Laura Dern,4.5,0,1,0,1999,Chris Owen,6,0,1,0,1999,William Lee Scott,7.5,0,1,0,1999,Chad Lindberg,9,0,1,0
2010,Natassia Malthe,1.5,0,1,0,2010,Natalia Guslistaya,3,0,1,0,2010,Clint Howard,4.5,0,1,0,2010,Dusan Bucan,6,0,1,0,2010,Michael ParÌ©,7.5,0,1,0,2010,Brendan Fletcher,9,0,1,0
2011,GÌ©rard Lanvin,1.5,0,1,0,2011,TchÌ©ky Karyo,3,0,1,0,2011,Daniel Duval,4.5,0,1,0,2011,Dimitri Storoge,6,0,1,0,2011,Patrick Catalifo,7.5,0,1,0,2011,FranÌ_ois Levantal,9,0,1,0
2003,Cuba Gooding Jr.,1.5,0,1,0,2003,Ed Harris,3,0,1,0,2003,Alfre Woodard,4.5,0,1,0,2003,S. Epatha Merkerson,6,0,1,0,2003,Debra Winger,7.5,0,1,0,2003,Chris Mulkey,9,0,1,0
2013,Jim Caviezel,1.5,0,1,0,2013,Jaimie Alexander,3,0,1,0,2013,Chiwetel Ejiofor,4.5,0,1,0,2013,Jack McBrayer,6,0,1,0,2013,Bradley Whitford,7.5,0,1,0,2013,Sam Shepard,9,0,1,0
1972,Woody Allen,1.5,0,1,0,1972,John Carradine,3,0,1,0,1972,Lou Jacobi,4.5,0,1,0,1972,Louise Lasser,6,0,1,0,1972,Anthony Quayle,7.5,0,1,0,1972,Tony Randall,9,0,1,0
2012,Terence Stamp,1.5,0,1,0,2012,Vanessa Redgrave,3,0,1,0,2012,Gemma Arterton,4.5,0,1,0,2012,Christopher Eccleston,6,0,1,0,2012,Anne Reid,7.5,0,1,0,2012,Ram John Holder,9,0,1,0
1969,Michael Caine,1.5,0,1,0,1969,NoÌÇl Coward,3,0,1,0,1969,Benny Hill,4.5,0,1,0,1969,Margaret Blye,6,0,1,0,1969,Raf Vallone,7.5,0,1,0,1969,Tony Beckley,9,0,1,0
2009,Audrey Tautou,1.5,0,1,0,2009,BenoÌ¨t Poelvoorde,3,0,1,0,2009,Alessandro Nivola,4.5,0,1,0,2009,Marie Gillain,6,0,1,0,2009,Emmanuelle Devos,7.5,0,1,0,2009,RÌ©gis Royer,9,0,1,0
1995,Jackie Chan,2,0,0,1,1995,Anita Mui,4,0,0,1,1995,FranÌ_oise Yip,6,0,0,1,1995,Bill Tung,8,0,0,1,1995,Marc Akerstream,10,0,0,1,1995,Garvin Cross,12,0,0,1
2006,Catherine Keener,2,0,0,1,2006,Jason Isaacs,4,0,0,1,2006,Timm Sharp,6,0,0,1,2006,Jennifer Aniston,8,0,0,1,2006,Joan Cusack,10,0,0,1,2006,Greg Germann,12,0,0,1
2011,Ed Harris,1.5,0,1,0,2011,Molly Parker,3,0,1,0,2011,Amy Madigan,4.5,0,1,0,2011,Randy Orton,6,0,1,0,2011,Chase Ellison,7.5,0,1,0,2011,Daniel Yelsky,9,0,1,0
2013,Clive Owen,1.5,0,1,0,2013,Juliette Binoche,3,0,1,0,2013,Keegan Connor Tracy,4.5,0,1,0,2013,Bruce Davison,6,0,1,0,2013,Adam DiMarco,7.5,0,1,0,2013,Valerie Tian,9,0,1,0
2015,James Lafferty,1.5,0,1,0,2015,Danny Glover,3,0,1,0,2015,Julie Gonzalo,4.5,0,1,0,2015,Dale Dickey,6,0,1,0,2015,Marshall Bell,7.5,0,1,0,2015,Ernie Lively,9,0,1,0
2014,Heather Graham,1.5,0,1,0,2014,Ellen Burstyn,3,0,1,0,2014,Kiernan Shipka,4.5,0,1,0,2014,Dylan Bruce,6,0,1,0,2014,Chad Willett,7.5,0,1,0,2014,Mason Dye,9,0,1,0
2016,Omar Chaparro,2,0,0,1,2016,Joey Morgan,4,0,0,1,2016,Aislinn Derbez,6,0,0,1,2016,Eric Roberts,8,0,0,1,2016,Camila Sodi,10,0,0,1,2016,Kevin Pollak,12,0,0,1
2008,Kyla Pratt,1.5,0,1,0,2008,Peter Coyote,3,0,1,0,2008,Malcolm Stewart,4.5,0,1,0,2008,Full Cast & Crew,6,0,1,0,2008,,7.5,0,1,0,2008,,9,0,1,0
1988,George Dzundza,1.5,0,1,0,1988,Jason Patric,3,0,1,0,1988,Steven Bauer,4.5,0,1,0,1988,Stephen Baldwin,6,0,1,0,1988,Don Harvey,7.5,0,1,0,1988,Kabir Bedi,9,0,1,0
2012,Chase Williamson,1.5,0,1,0,2012,Rob Mayes,3,0,1,0,2012,Paul Giamatti,4.5,0,1,0,2012,Clancy Brown,6,0,1,0,2012,Glynn Turman,7.5,0,1,0,2012,Doug Jones,9,0,1,0
2006,Alex Pettyfer,1.5,0,1,0,2006,Sarah Bolger,3,0,1,0,2006,Ewan McGregor,4.5,0,1,0,2006,Robbie Coltrane,6,0,1,0,2006,Stephen Fry,7.5,0,1,0,2006,Damian Lewis,9,0,1,0
1966,Franco Nero,1.5,0,1,0,1966,JosÌ© BÌ_dalo,3,0,1,0,1966,Loredana Nusciak,4.5,0,1,0,1966,ÌÅngel ÌÅlvarez,6,0,1,0,1966,Eduardo Fajardo,7.5,0,1,0,1966,Full Cast & Crew,9,0,1,0
1996,Ana Torrent,1.5,0,1,0,1996,Fele MartÌ_nez,3,0,1,0,1996,Eduardo Noriega,4.5,0,1,0,1996,Xabier Elorriaga,6,0,1,0,1996,Miguel Picazo,7.5,0,1,0,1996,Nieves Herranz,9,0,1,0
