title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low
2016,Jason Sudeikis,1,1,0,0,2016,Josh Gad,2,1,0,0,2016,Danny McBride,3,1,0,0,2016,Maya Rudolph,4,1,0,0,2016,Bill Hader,5,1,0,0,2016,Peter Dinklage,6,1,0,0
2015,Sandra Bullock,1,1,0,0,2015,Jon Hamm,2,1,0,0,2015,Michael Keaton,3,1,0,0,2015,Allison Janney,4,1,0,0,2015,Steve Coogan,5,1,0,0,2015,Jennifer Saunders,6,1,0,0
2015,Shailene Woodley,1,1,0,0,2015,Theo James,2,1,0,0,2015,Kate Winslet,3,1,0,0,2015,Ansel Elgort,4,1,0,0,2015,Miles Teller,5,1,0,0,2015,Naomi Watts,6,1,0,0
2016,Chris Hemsworth,1,1,0,0,2016,Charlize Theron,2,1,0,0,2016,Emily Blunt,3,1,0,0,2016,Jessica Chastain,4,1,0,0,2016,Nick Frost,5,1,0,0,2016,Sheridan Smith,6,1,0,0
2015,Arnold Schwarzenegger,1,1,0,0,2015,Jason Clarke,2,1,0,0,2015,Emilia Clarke,3,1,0,0,2015,Jai Courtney,4,1,0,0,2015,J.K. Simmons,5,1,0,0,2015,Dayo Okeniyi,6,1,0,0
2015,Matt Damon,1,1,0,0,2015,Jessica Chastain,2,1,0,0,2015,Kristen Wiig,3,1,0,0,2015,Jeff Daniels,4,1,0,0,2015,Michael PeÌ±a,5,1,0,0,2015,Sean Bean,6,1,0,0
2014,Ben Affleck,1,1,0,0,2014,Rosamund Pike,2,1,0,0,2014,Tyler Perry,3,1,0,0,2014,Neil Patrick Harris,4,1,0,0,2014,Missi Pyle,5,1,0,0,2014,Patrick Fugit,6,1,0,0
2014,Benedict Cumberbatch,1.5,0,1,0,2014,Keira Knightley,3,0,1,0,2014,Matthew Goode,4.5,0,1,0,2014,Rory Kinnear,6,0,1,0,2014,Allen Leech,7.5,0,1,0,2014,Matthew Beard,9,0,1,0
2015,Daisy Ridley,1,1,0,0,2015,John Boyega,2,1,0,0,2015,Adam Driver,3,1,0,0,2015,Harrison Ford,4,1,0,0,2015,Carrie Fisher,5,1,0,0,2015,Oscar Isaac,6,1,0,0
2014,Chris Pratt,1,1,0,0,2014,Zoe Saldana,2,1,0,0,2014,Dave Bautista,3,1,0,0,2014,Vin Diesel,4,1,0,0,2014,Bradley Cooper,5,1,0,0,2014,Lee Pace,6,1,0,0
