studio,genres,num_voted_users,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes,Type,Year,Runtime,Budget,budget.diff,Revenue.diff,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6
WBNL,Horror,81699,291,5.4,2.35,45000,R,2014,99,6500000,-35142067.61,119870018.2,1,3,4,1,3,3
EXCL,Drama,23334,87,6.2,2.35,0,R,2013,100,16000000,-28204533.29,-126276556.6,2,3,2,4,3,3
MGM,Action,74374,225,6.6,2.35,0,PG,1983,131,27500000,11822600,117660696.5,2,3,2,2,3,3
Sony,Action,221521,1049,7.2,1.85,0,R,1997,129,105000000,61931143.78,5725679.4,4,4,4,4,3,3
Dim.,Action,98472,492,5.9,1.85,0,PG13,2005,118,88000000,47231497.34,9095739.87,2,2,4,4,3,3
PDW,Adventure,211971,326,6.1,1.85,0,PG,2007,93,160000000,120615497.1,694830266.5,4,2,2,2,3,3
Uni.,Action,202382,751,5.9,2.35,44000,PG13,2012,131,209000000,166417764.9,168824987.3,2,3,4,4,3,3
Mira.,Comedy,119590,548,5.2,1.85,0,R,2001,83,45000000,2363337.62,32779914.6,1,1,2,4,3,3
Par.,Action,99035,289,6.2,2.35,17000,PG13,2014,105,60000000,18357932.39,-84854687.8,2,2,1,4,3,3
BV,Action,68720,191,5.8,2.35,0,PG,2004,120,110000000,66641175.81,-37807842.7,2,3,3,2,3,3
Uni.,Action,208422,342,7,1.85,3000,PG13,2008,120,85000000,44036490.17,54056492.7,2,1,4,2,3,3
PDW,Adventure,119213,154,6.9,1.85,17000,PG,2012,93,145000000,102417764.9,612720776.3,2,3,4,4,3,3
WB,Adventure,120798,444,6.6,2.35,10000,G,2004,100,165000000,121641175.8,195888992.3,2,3,4,1,3,3
Fox,Drama,50041,116,7.1,2.35,23000,PG13,2015,128,34000000,-8177171.7,-89862374.7,1,3,4,4,3,3
Dis.,Animation,90360,147,7.5,1.37,0,Approved,1940,88,2600000,558000,41464136.25,4,3,2,2,3,3
BV,Action,72591,289,6.8,2.35,0,PG,2001,95,120000000,77363337.62,77612961.6,2,3,4,4,3,3
Par.,Action,283967,535,7.3,2.35,11000,R,1997,138,80000000,36931143.78,130187448.4,2,2,2,3,3,3
Sony,Action,172405,203,6.8,1.85,0,R,1995,118,19000000,-13026455.82,40902174.9,2,3,3,4,3,3
Wein.,Drama,105144,405,7.1,1.85,27000,R,2012,137,32000000,-10582235.14,-105942437.7,1,3,2,4,3,3
Fox,Adventure,103022,269,6.3,1.85,0,PG,2005,91,75000000,34231497.34,164476466.9,1,2,2,1,3,3
WB,Crime,305929,633,7.7,2.35,0,R,2001,122,45000000,2363337.62,-3564530.4,2,3,1,3,3,3
Fox,Action,141533,786,5.8,2.35,0,PG13,2003,110,78000000,33940108.04,60770321,4,3,2,2,3,3
Sony,Comedy,181443,311,6,1.85,12000,PG13,2010,102,80000000,36576254.59,160121272.5,2,1,2,2,3,3
Uni.,Adventure,208817,296,7.6,2.35,5000,PG,1995,140,52000000,19973544.18,254733083.9,2,2,1,4,3,3
Wein.,Drama,86251,260,6.5,2.35,58000,PG13,2014,94,25000000,-16642067.61,-68423338.8,2,3,2,2,3,3
BV,Adventure,294810,387,7.8,1.85,29000,PG,2010,100,260000000,216576254.6,480486019.5,2,4,4,4,3,3
Sony,Action,176598,374,6,2.35,25000,PG13,2010,103,100000000,56576254.59,167037272.5,2,2,2,4,3,3
Sony,Comedy,422606,555,7.6,1.85,0,R,2007,113,20000000,-19384502.9,65732756.5,1,1,4,4,3,3
Uni.,Comedy,217507,325,7.2,1.85,0,R,2008,111,30000000,-10963509.83,-1158455.3,1,1,1,2,3,3
LGS,Comedy,184641,326,6.9,2.35,81000,PG13,2013,97,35000000,-9204533.29,-9614876.6,2,3,2,3,3,3
Lions,Horror,299127,1509,7.7,1.85,0,R,2004,103,1200000,-42158824.19,-6075068.7,4,4,3,4,3,3
Sony,Comedy,266103,456,6.8,2.35,11000,PG13,2004,99,75000000,31641175.81,86496144.3,2,3,2,4,3,3
WB,Drama,259519,431,7.5,2.35,11000,R,1997,144,57000000,13931143.78,37455962.4,2,3,2,4,3,3
Sony,Biography,338383,611,8,2.35,32000,PG13,2006,117,55000000,17105274.32,219976870.2,2,3,4,4,3,3
WB,Adventure,238747,2153,7.1,1.85,11000,PG13,2001,146,100000000,57363337.62,127485788.6,2,1,4,2,3,3
WBNL,Drama,83893,132,6.8,2.35,15000,PG13,2014,106,11000000,-30642067.61,-56528951.8,3,3,1,4,3,3
Fox,Adventure,176169,548,6.6,2.35,0,R,2000,119,40000000,-4777522.94,42737055.4,2,3,2,4,3,3
BV,Adventure,119675,216,6.6,1.78,0,G,1995,81,55000000,22973544.18,245574923.9,4,2,4,1,3,3
Uni.,Adventure,213226,648,7.7,2.35,15000,R,1998,118,18500000,-25092584.27,-94572274,1,3,1,2,3,3
BV,Comedy,209133,962,7.6,2.35,0,R,2001,110,21000000,-21636662.38,-36999513.4,1,3,2,2,3,3
BV,Action,225282,339,6.8,2.35,0,R,1997,115,75000000,31931143.78,108523536.4,2,3,2,2,3,3
Rela.,Action,138190,405,6.1,1.85,30000,R,2011,110,75000000,35750896.65,115922460.4,1,3,2,4,3,3
WB,Action,101840,193,6.2,2.35,0,PG13,1985,107,12305523,-1388309.55,-21302753.21,1,3,4,1,3,3
LGF,Horror,88529,262,5.8,1.85,0,R,2008,92,10800000,-30163509.83,7525962.7,2,2,1,2,3,3
Par.,Adventure,240962,724,7.7,2.35,36000,PG13,2010,110,38000000,-5423745.41,140968010.5,2,3,2,4,3,3
Par.,Action,43743,293,5.4,2.35,0,PG,1989,107,30000000,11333530.35,-15185351.31,4,3,4,2,3,3
Focus,Comedy,76791,100,6.1,2.35,0,R,2014,94,8000000,-33642067.61,-109354712.8,2,1,2,2,3,3
Uni.,Action,116994,324,6.3,2.35,35000,PG13,2013,118,175000000,130795466.7,24366936.4,2,3,4,4,3,3
BV,Action,33042,90,5.1,2.35,0,PG,2009,88,150000000,109698755,177789441.9,1,3,2,2,3,3
Par.,Adventure,61621,219,7.3,2.35,0,PG,1986,119,24000000,11017016.47,83725268.47,2,3,2,2,3,3
WBNL,Adventure,106416,205,6.3,2.35,22000,PG13,2013,114,195000000,150795466.7,71092064.4,2,3,2,4,3,3
BV,Action,149922,438,6.6,2.35,0,PG,2008,150,225000000,184036490.2,313319842.7,4,3,4,4,3,3
Uni.,Comedy,296904,604,6.7,1.85,0,PG13,2003,101,80000000,35940108.04,366077952,2,3,2,2,3,3
Wein.,Action,48675,214,6.8,1.85,16000,R,2015,103,5000000,-37177171.7,-98456783.7,2,3,2,4,3,3
NL,Action,191437,582,7.1,2.35,0,R,1998,120,45000000,1407415.73,25930981,2,3,1,2,3,3
WB,Action,126357,497,7.3,2.35,0,PG,1978,143,55000000,46954992.41,232002666.1,4,3,4,4,3,3
Focus,Biography,497946,761,8.5,1.85,21000,R,2002,150,35000000,-6044295.73,9498244.5,2,2,4,4,3,3
Fox,Comedy,171151,513,6.8,1.85,0,R,2004,108,25000000,-18358824.19,-79575554.7,2,3,1,3,3,3
Fox,Action,105478,291,6.2,1.37,0,R,1990,108,35000000,11289980.87,-25686672.17,1,2,4,4,3,3
Fox,Adventure,131217,380,7.6,2.35,0,PG13,1989,139,70000000,51333530.35,4614746.69,4,3,2,2,3,3
Sony,Action,136019,443,5.8,2.35,14000,PG13,2011,119,120000000,80750896.65,116835691.4,2,2,2,2,3,3
Uni.,Adventure,192462,334,7,2.35,42000,R,2011,104,40000000,750896.65,-13429506.6,2,3,2,5,3,3
BV,Comedy,213476,271,6.9,1.85,11000,R,1990,119,14000000,-9710019.13,380193009.8,2,2,4,1,3,3
WB,Action,53786,211,6.3,2.35,0,PG,2007,90,34000000,-5384502.9,-8518903.5,2,3,4,2,3,3
LGS,Drama,145270,322,7.6,2.35,54000,PG13,2012,113,42000000,-582235.14,46073625.3,2,2,2,4,3,3
Fox,Drama,224013,2319,7.6,2.35,10000,PG13,2001,127,52500000,9863337.62,70772670.6,2,2,2,4,3,3
Sony,Comedy,163665,169,6.5,2.35,9000,R,2009,96,38000000,-2301245.04,90270507.9,2,2,4,2,3,3
DW,Crime,200359,1009,7.7,2.35,0,R,2002,117,80000000,38955704.27,70427145.5,2,1,2,2,3,3
Uni.,Action,28621,58,5.9,2.35,0,PG13,2016,102,40000000,-18895023.74,-65123819.6,2,2,2,4,3,3
NL,SciFi,357579,1100,7.7,1.85,15000,R,2004,113,13000000,-30358824.19,-13925879.7,1,1,1,2,3,3
Fox,Action,128629,348,5.9,2.35,98000,R,2012,94,69000000,26417764.86,-21935358.7,2,2,2,2,3,3
SGem,Drama,145852,164,6.8,2.35,32000,PG13,2012,104,30000000,-12582235.14,61914072.3,2,2,1,1,3,3
WB,Action,173530,264,6.7,2.35,40000,R,2013,113,60000000,15795466.71,-21394635.6,2,3,2,4,3,3
Poly,Drama,261069,506,7.8,2.35,25000,R,1997,129,50000000,6931143.78,-6065049.6,2,3,1,4,3,3
Col.,Adventure,149444,273,8.2,2.35,0,PG,1957,161,3000000,977500,21925000,1,3,4,2,3,3
Par.,Action,135601,493,6.1,2.35,0,PG13,1998,120,75000000,31407415.73,35212115,2,3,2,2,3,3
WB,Action,48636,214,6.2,2.35,0,PG,1983,134,36000000,20322600,93960696.53,2,1,2,1,3,3
Uni.,Comedy,260442,507,7,1.85,0,PG13,2000,108,55000000,10222477.06,229124227.4,2,2,4,2,3,3
Par.,Action,118951,1382,4.2,2.35,18000,PG,2010,103,150000000,106576254.6,207194006.5,4,3,2,4,3,3
Par.,Drama,111841,413,8.3,1.33,12000,NotRated,1927,153,92620000,0,0,1,3,3,2,3,3
Uni.,Action,110364,261,6.9,2.35,0,R,2010,115,100000000,56576254.59,-16426027.5,2,3,2,1,3,3
Par.,Biography,161972,356,8.2,2.35,9000,PG,1980,124,5000000,-9067391.3,-31205686.61,2,2,4,2,3,3
Focus,Adventure,40883,122,6.8,1.85,11000,PG,2014,97,60000000,18357932.39,-27148024.8,2,2,2,3,3,3
LGS,Horror,155153,524,6.8,2.35,58000,R,2012,110,3000000,-39582235.14,-56488058.7,3,3,3,2,3,3
Wein.,Comedy,149835,243,6.6,1.85,0,R,2008,102,24000000,-16963509.83,-64226459.3,2,2,4,2,3,3
SGem,Comedy,276746,264,7.1,1.85,19000,PG13,2010,92,8000000,-35423745.41,-36356611.5,2,4,2,2,3,3
Uni.,Drama,187181,564,7,2.35,0,R,2002,110,41000000,-44295.73,104425667.5,2,1,2,2,3,3
Uni.,Action,203963,420,7.6,2.35,58000,R,2013,121,40000000,-4204533.29,22700062.4,2,3,2,2,3,3
WB,Action,127497,287,6.6,2.35,0,R,1998,127,140000000,96407415.73,180192054,2,3,2,4,3,3
DW,Action,103787,615,5.9,2.35,3000,PG13,2002,96,80000000,38955704.27,13154843.5,2,3,4,2,3,3
BV,Animation,142496,399,7.1,2.35,0,PG,2007,107,85000000,45615497.1,236359753.5,4,2,2,1,3,3
LGF,Action,65044,173,5,2.35,13000,PG13,2011,106,35000000,-4249103.35,-28894401.6,2,2,2,2,3,3
TriS,Biography,21034,153,5.8,2.35,23000,PG,2014,99,12000000,-29642067.61,-34070832.8,2,1,4,2,3,3
BV,Action,43328,110,5.7,2.35,0,PG,2009,98,50000000,9698754.96,-8724411.1,2,3,4,5,3,3
Uni.,Comedy,29867,181,6.2,2.35,27000,PG13,2015,98,15000000,-27177171.7,-91326948.7,2,5,5,4,3,3
BV,Adventure,38438,241,6.5,1.85,0,PG,2000,82,127500000,82722477.06,252928245.4,4,3,2,2,3,3
PDW,Adventure,485430,492,8.2,2.35,33000,PG,2010,98,165000000,121576254.6,383569842.5,2,2,4,2,3,3
WB,Comedy,199039,479,6.2,1.85,82000,PG13,2012,113,150000000,107417764.9,111326651.3,2,3,2,2,3,3
TriS,Action,84508,308,5.6,2.35,20000,PG13,2014,105,130000000,88357932.39,-17572163.8,2,3,2,2,3,3
WB,Comedy,189413,306,7.5,1.85,15000,PG,1988,92,15000000,706842.11,18730637.35,2,2,1,4,3,3
Fox,Adventure,106446,227,6.3,1.78,11000,PG,2010,113,155000000,111576254.6,304377300.5,2,3,2,2,3,3
PDW,Adventure,85086,122,6.7,1.85,0,PG,2006,85,149000000,111105274.3,-22641108.83,2,2,2,2,3,3
Sony,Comedy,244840,372,6.6,2.35,0,PG13,2005,118,70000000,29231497.34,271879892.9,2,3,4,2,3,3
Uni.,Drama,235992,1768,8,1.85,16000,R,2001,147,15000000,-27636662.38,-88323424.4,1,3,4,2,3,3
Fox,Action,58023,281,6.3,2.35,0,R,1998,116,70000000,26407415.73,11420363,2,2,2,2,3,3
Sony,Crime,31124,313,4.2,2.35,764,R,2006,114,70000000,32105274.32,-48470946.83,2,4,2,2,3,3
Rela.,Crime,83171,231,6.8,2.35,17000,R,2013,116,22000000,-22204533.29,-111195538.6,2,3,2,2,3,3
Uni.,Crime,199056,387,7.8,2.35,14000,R,2008,141,55000000,14036490.17,6688684.7,2,2,2,2,3,3
WB,Action,194489,192,7.3,2.35,12000,R,2008,114,18000000,-22963509.83,-80592555.3,4,2,2,4,3,3
Uni.,Action,242599,1594,8,2.35,14000,PG13,2005,119,39000000,-1768502.66,-57351063.13,1,3,1,4,3,3
NL,Drama,241030,1437,8,2.35,13000,R,1999,188,37000000,-5518279.65,-52967276,2,2,2,4,3,3
WB,Comedy,271691,243,6.8,2.35,0,PG13,2008,104,70000000,29036490.17,119659407.7,2,2,4,2,3,3
Par.,Drama,86422,363,6.6,1.85,0,R,2004,129,80000000,36641175.81,-13880773.7,2,2,2,2,3,3
Par.,Adventure,183208,337,7.2,2.35,26000,PG,2011,107,135000000,95750896.65,134743046.4,2,2,2,2,3,3
WB,Comedy,52888,175,6.5,1.85,0,R,2009,108,22000000,-18301245.04,-79603573.1,2,4,4,2,3,3
Fox,Animation,31649,98,4.5,1.85,2000,PG,2009,88,75000000,34698754.96,328111605.9,2,3,2,2,3,3
DW,Action,263329,899,6.9,2.35,0,PG13,2005,136,126000000,85231497.34,66728636.87,2,5,2,4,3,3
Sony,Action,146134,393,6.4,2.35,0,R,1997,124,85000000,41931143.78,199667711.4,2,2,2,3,3,3
Sum.,Drama,186879,791,6.2,2.35,0,PG13,2009,121,50000000,9698754.96,40417962.9,2,3,3,4,3,3
Uni.,Action,101977,161,6.5,2.35,0,R,2012,109,25000000,-17582235.14,-71100497.7,2,2,1,4,3,3
Sony,Action,135404,318,6.7,2.35,0,PG13,1998,136,95000000,51407415.73,145035974,2,2,2,2,3,3
WB,Action,317166,928,7.7,2.35,0,R,2003,154,140000000,95940108.04,338264098,2,3,2,2,3,3
MGM,Adventure,136667,273,7.1,1.85,13000,PG,1987,96,22700000,9539999.87,-19675786.06,4,1,2,2,3,3
Mira.,Biography,264318,799,7.5,2.35,0,PG13,2004,170,116000000,72641175.81,-7986737.7,2,3,2,3,3,3
Col.,Adventure,382240,660,8.3,1.66,14000,PG,1975,91,400000,-3900000,-100009460.8,3,5,3,5,3,3
TriS,Drama,178731,261,7.7,1.85,0,PG13,1993,125,26000000,3441048.15,119941692.2,1,3,4,4,3,3
Col.,Comedy,342585,839,8.5,1.66,18000,PG,1964,95,1800000,-2106895.125,-31909278.63,2,3,4,2,3,3
Sony,Action,207613,1144,7.1,2.35,4000,R,2000,165,110000000,65222477.06,113974524.4,2,3,2,2,3,3
Sony,Comedy,224671,470,7.7,1.85,11000,PG13,1997,139,50000000,6931143.78,198689313.4,2,1,2,2,3,3
Sony,Biography,283563,312,7.6,1.85,27000,PG13,2011,133,50000000,10750896.65,-775340.6,2,3,2,3,3,3
Art.,Horror,186786,3400,6.4,1.33,0,R,1999,81,25000,-42493279.65,146580921,3,3,3,3,3,3
NL,Action,160440,394,6.6,2.35,0,PG13,2001,90,90000000,47363337.62,238885038.6,4,2,2,4,3,3
FoxS,Comedy,205284,439,7.3,2.35,22000,R,2011,115,20000000,-19249103.35,66261628.4,2,3,4,1,3,3
Mira.,Drama,142067,457,7.4,1.85,0,R,1996,162,27000000,-7989060.86,139872900.1,2,3,2,4,3,3
Uni.,Comedy,315549,789,7,1.85,0,R,1999,95,11000000,-31518279.65,134063925,1,2,4,4,3,3
BV,Adventure,110390,522,7.2,1.85,6000,PG,2007,96,60000000,20615497.1,33459164.5,2,3,2,2,3,3
WB,Drama,200556,611,7.4,2.35,15000,PG,1997,150,90000000,46931143.78,55631631.4,4,2,2,2,3,3
WB,Comedy,375456,292,7.4,2.39,44000,PG13,2011,118,50000000,10750896.65,31869640.4,2,2,1,5,3,3
Sony,Horror,115050,911,5.9,1.85,4000,PG13,2004,92,10000000,-33358824.19,73487864.3,2,1,4,2,3,3
WB,Action,138863,1390,5.5,2.35,0,R,2004,175,155000000,111641175.8,57311454.3,2,2,2,4,3,3
Par.,Comedy,245989,554,7,1.85,0,PG13,2004,97,17000000,-26358824.19,19056133.3,2,2,2,2,3,3
Sony,Drama,63493,302,5.7,1.85,26000,PG13,2010,133,60000000,16576254.59,93285099.5,2,3,2,3,3,3
Mira.,Crime,239540,462,7.5,1.85,0,R,1997,154,12000000,-31068856.22,-75815535.6,3,2,3,4,3,3
Mira.,Action,136580,545,7.6,1.85,15000,R,1994,102,15000000,-13472296.88,-8585408.8,2,3,4,2,3,3
BV,Drama,116159,488,7.2,2.35,28000,PG13,2011,146,66000000,26750896.65,66603322.4,4,3,2,2,3,3
WB,Drama,109188,625,7,2.35,0,R,2005,128,50000000,9231497.34,-2220527.13,2,2,4,4,3,3
LGF,Horror,111087,319,5.9,1.85,0,R,2007,93,10000000,-29384502.9,35224734.5,2,3,2,2,3,3
BV,Action,136954,346,6.5,2.35,32000,PG13,2014,130,66000000,24357932.39,67873841.2,2,5,2,2,3,3
Sony,Action,96565,135,5.5,2.35,0,PG13,2010,110,40000000,-3423745.41,24691083.5,2,3,4,2,3,3
Fox,Comedy,23072,89,5.4,2.35,0,R,2015,90,35000000,-7177171.7,-138444402.7,2,3,2,4,3,3
Uni.,Comedy,90070,248,7.1,1.85,11000,PG13,1990,96,11000000,-12710019.13,-34234990.17,2,4,4,2,3,3
Emb,Action,91017,284,7.2,2.35,0,R,1981,99,6000000,-4819444.44,644662.81,2,3,2,4,3,3
SonR,Comedy,122187,339,6.1,1.85,0,PG13,2004,98,37000000,-6358824.19,-13531040.7,1,3,1,1,3,3
Sony,Drama,220591,641,7.8,2.35,17000,PG13,1997,106,36000000,-7068856.22,-102955920.6,2,2,4,4,3,3
MGM,Comedy,57038,261,6.6,2.35,0,PG13,2001,123,75000000,32363337.62,-40808860.4,2,2,2,4,3,3
WB,Drama,20885,60,6.1,1.85,0,R,2015,96,6000000,-36177171.7,-141753565.7,2,3,2,4,3,3
Sony,Action,156348,380,5.5,1.85,0,PG13,2008,113,90000000,49036490.17,95264737.7,2,3,4,4,3,3
Mira.,Horror,92074,502,6.4,1.85,0,R,1998,104,15000000,-28592584.27,-64969228,1,1,4,4,3,3
Fox,Comedy,181380,223,6.9,2.35,0,PG13,1993,125,25000000,2441048.15,354549447.2,2,1,2,4,3,3
Uni.,Action,114692,285,6.1,1.85,2000,PG,2003,88,40000000,-4059891.96,42088135,1,2,4,2,3,3
Uni.,Biography,80580,375,6.7,2.35,0,PG13,1998,115,50000000,6407415.73,97040353,2,2,2,5,3,3
Fox,Comedy,124501,154,6.1,2.35,0,PG13,2008,111,30000000,-10963509.83,53927748.7,1,3,3,4,3,3
Uni.,Adventure,51314,265,5.7,2.35,0,PG,1978,116,20000000,11954992.41,119668655.1,2,3,4,1,3,3
Mira.,Drama,150308,498,7.3,1.85,18000,PG13,2000,121,25000000,-19777522.94,51180525.4,1,2,2,4,3,3
SGem,Action,198701,1138,6.7,1.85,0,R,2002,100,33000000,-8044295.73,-8133254.5,2,3,2,2,3,3
ORF,Action,105556,157,6.5,2.35,17000,R,2011,116,66000000,26750896.65,-53204450.6,2,5,2,4,3,3
Par.,Action,60476,97,5.9,2.35,0,PG13,1990,107,60000000,36289980.87,75113742.83,2,2,2,4,3,3
Sony,Crime,25474,138,6.9,2.35,0,PG13,2005,130,50000000,9231497.34,-54126821.13,4,2,2,4,3,3
Fox,Action,156267,340,6.3,2.35,0,PG13,2005,87,32000000,-8768502.66,-11052888.13,2,3,4,2,3,3
WDim.,Comedy,93748,410,5.1,1.85,1000,PG13,2006,83,45000000,7105274.32,91162195.17,2,5,2,4,3,3
Uni.,Action,202967,378,6.6,2.35,36000,R,2013,103,28000000,-16204533.29,-97595538.6,2,3,2,4,3,3
WB,Adventure,400292,657,8,2.35,14000,R,2006,143,100000000,62105274.32,83777491.17,2,4,2,2,3,3
BV,Drama,54096,494,7.5,2.35,0,R,2003,139,22000000,-22059891.96,-50198590,2,5,2,1,3,3
UA,Action,59941,452,6.8,2.35,0,M,1969,142,7000000,1288978.25,24547724,1,3,1,4,3,3
Orion,Adventure,186485,382,8,2.35,0,PG13,1990,181,22000000,-1710019.13,341401857.8,2,3,4,1,3,3
NL,Action,156929,624,7.7,2.35,14000,R,1998,100,27000000,-16592584.27,-78052233,1,3,2,2,3,3
Uni.,Crime,273108,646,7.6,2.35,0,R,2006,129,45000000,7105274.32,97275829.17,2,2,2,4,3,3
BV,Drama,271592,2335,6.7,1.85,0,PG13,2002,106,72000000,30955704.27,297673584.5,2,2,2,3,3,3
Think,Drama,72639,371,7,1.85,19000,PG13,2004,79,7000,-43351824.19,-109561977.7,3,3,3,1,3,3
Uni.,Comedy,144021,391,7.1,2.35,0,PG13,2002,101,27000000,-14044295.73,18425667.5,2,3,4,2,3,3
BV,Action,124185,238,6.1,2.35,11000,PG,2010,109,150000000,106576254.6,103974825.5,2,3,2,4,3,3
Sony,Action,100821,554,4.8,2.35,0,PG13,2003,106,120000000,75940108.04,140680905,2,1,2,2,3,3
BV,Comedy,72326,116,6.1,2.35,0,PG,2008,99,80000000,39036490.17,106542871.7,2,3,2,4,3,3
Sony,Animation,71137,229,6.6,2.35,0,PG,2006,91,75000000,37105274.32,-13439414.83,4,3,4,4,3,3
Uni.,Comedy,175607,252,8.3,1.85,0,PG,1973,129,5500000,520272.727,61096954.36,1,3,1,2,3,3
WB,Adventure,30055,70,5.9,1.85,593,PG,2006,88,50000000,12105274.32,-31919295.83,2,1,2,2,3,3
WB,Action,152826,253,5.8,1.85,19000,PG13,2012,99,150000000,107417764.9,166799502.3,2,3,2,4,3,3
Mira.,Action,93790,288,6.6,2.35,0,R,2005,113,52000000,11231497.34,-18275802.13,2,3,1,2,3,3
SGem,Drama,104356,186,6.3,2.35,14000,PG13,2010,115,25000000,-18423745.41,3668187.5,2,2,4,3,3,3
Fox,Comedy,25484,189,5.1,1.85,13000,PG,2012,92,30000000,-12582235.14,-79381196.7,1,3,4,4,3,3
WBNL,Action,54101,210,5.8,1.85,15000,PG13,2014,89,50000000,8357932.39,25198399.2,2,4,2,4,3,3
LGF,Action,196422,444,7,1.78,0,R,2006,88,12000000,-25894725.68,-44169383.83,2,3,4,4,3,3
Uni.,Action,144337,309,6.1,1.85,0,PG13,1995,135,175000000,142973544.2,163713370.9,2,3,2,3,3,3
ParC,Drama,281649,458,7.7,2.35,21000,R,2004,101,5000000,-38358824.19,-101783502.7,3,3,3,2,3,3
Magn.,Drama,128729,551,7.1,2.35,50000,R,2011,136,7400000,-31849103.35,-107951686.6,1,2,4,4,3,3
FoxS,Adventure,190132,801,7.3,2.35,15000,R,2007,107,50000000,10615497.1,-72110095.5,2,1,2,4,3,3
SPC,Action,217740,1641,7.9,2.35,0,PG13,2000,120,17000000,-27777522.94,112205918.4,2,3,1,2,3,3
Uni.,Biography,230931,585,7,2.35,0,R,2009,140,80000000,39698754.96,99076220.9,2,2,2,3,3,3
ParV,Drama,372990,1107,8.1,2.35,16000,R,2007,158,25000000,-14384502.9,-27946353.5,2,2,4,2,3,3
Sum.,Mystery,132423,349,7.2,2.35,15000,PG13,2010,128,45000000,1576254.59,-51086618.5,2,2,4,1,3,3
LGF,Horror,76207,194,6,1.85,0,R,2009,90,11000000,-29301245.04,-46794770.1,2,1,2,4,3,3
BV,Adventure,61321,217,6.2,2.35,0,PG,2005,100,35000000,-5768502.66,-9850712.13,4,2,2,4,3,3
Uni.,Biography,110394,433,7.7,1.85,0,PG13,2004,152,40000000,-3358824.19,14744796.3,1,4,1,3,3,3
BV,Action,212204,738,6.6,2.35,24000,PG13,2012,132,250000000,207417764.9,149938602.3,2,2,2,4,3,3
Fox,Action,104066,207,5.7,2.35,15000,R,2012,98,68000000,25417764.86,-65932635.7,2,2,2,4,3,3
SGem,Crime,40469,135,6.1,2.35,0,PG13,2008,110,20000000,-20963509.83,-78691542.3,2,2,2,4,3,3
MGMW,Fantasy,209396,580,6.8,2.35,11000,PG13,2007,104,25000000,-14384502.9,-9448300.5,2,2,1,3,3,3
Focus,Drama,321283,1848,7.8,1.85,17000,R,2003,102,4000000,-40059891.96,1228973,3,2,3,2,3,3
MGMW,Crime,262153,507,7.8,2.35,10000,R,2006,110,27000000,-10894725.68,-30791543.83,2,2,4,2,3,3
Uni.,Drama,361767,1206,7.9,1.85,17000,R,2006,109,76000000,38105274.32,-17140673.83,2,2,2,4,3,3
Wein.,Comedy,190030,583,8,1.33,30000,PG13,2011,100,15000000,-24249103.35,22451299.4,2,3,2,2,3,3
Uni.,Drama,47364,75,6.5,2.35,0,PG13,2010,99,44000000,576254.59,-63118212.5,2,3,2,4,3,3
WB,Comedy,108843,281,6.1,2.35,54000,R,2012,110,7000000,-35582235.14,33021073.3,2,3,1,4,3,3
WB,Comedy,62861,232,5.9,1.85,0,PG,2004,95,19000000,-24358824.19,-39918828.7,2,5,1,3,3,3
SPC,Drama,260607,485,7.9,2.35,47000,R,2009,97,5000000,-35301245.04,-105268295.1,1,2,3,2,3,3
BV,Adventure,225102,862,7.8,2.35,16000,PG13,2000,106,26000000,-18777522.94,-30319817.6,2,3,4,4,3,3
Par.,Horror,51204,247,4.6,1.85,26000,R,2012,95,5000000,-37582235.14,8617494.3,2,3,4,2,3,3
WB,Action,128010,136,6.7,2.35,0,R,1992,118,35000000,13183266.07,234822507.5,2,2,2,2,3,3
Wein.,Action,8885,56,5.8,2.35,0,R,2016,98,25000000,-33895023.74,-187726535.6,1,2,2,2,3,3
Wein.,Comedy,61360,129,6.6,2.35,25000,R,2015,100,20000000,-22177171.7,-116268912.7,2,3,4,2,3,3
Par.,Action,143696,241,7.6,2.35,0,PG,1990,134,30000000,6289980.87,117705652.8,2,3,4,2,3,3
WB,Fantasy,91151,283,5.4,2.35,20000,PG13,2011,100,42000000,2750896.65,-21819394.6,2,2,2,5,3,3
WB,Biography,21098,56,6.9,2.35,0,PG13,2015,120,25000000,-17177171.7,-127972932.7,2,3,2,3,3,3
NL,Horror,149285,668,7.5,1.85,10000,X,1984,91,1800000,-11586511.32,-31132761.68,3,3,3,4,3,3
CBS,Drama,96233,313,7.4,1.85,26000,R,2013,105,11000000,-33204533.29,-93660219.6,1,3,2,2,3,3
Sony,Adventure,172792,1740,6.6,2.35,0,R,2006,125,50000000,12105274.32,10507028.17,2,2,4,2,3,3
PDW,Adventure,127345,250,6.8,1.85,0,PG,2006,83,80000000,42105274.32,67918915.17,2,4,2,4,3,3
Fox,Comedy,297014,1198,7.3,1.85,0,R,2006,82,18000000,-19894725.68,174472319.2,1,3,4,2,3,3
Fox,Action,190439,351,7.2,2.35,0,R,1994,141,115000000,86527703.12,276297002.2,2,3,4,4,3,3
MGM,Adventure,291875,533,8.1,1.37,14000,Passed,1939,102,2777000,662325.2,-69401098.4,1,3,4,2,3,3
NL,Action,162909,795,6.2,2.35,0,PG13,2002,94,63000000,21955704.27,186059574.5,2,3,2,2,3,3
