studio,genres,num_voted_users,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes,Type,Year,Runtime,Budget,budget.diff,Revenue.diff,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6
Uni.,Action,40123,297,7.1,2.35,31000,PG13,2016,123,120000000,61104976.26,65227992.4,2,2,2,3,2,2
LGS,Crime,447979,629,7.3,2.35,105000,PG13,2013,115,75000000,30795466.71,-8896644.6,2,2,2,2,2,2
Fox,Adventure,406020,1188,8.1,2.35,190000,R,2015,156,135000000,92822828.3,380050329.3,2,2,2,2,2,2
WBNL,Adventure,354228,802,7.5,2.35,65000,PG13,2014,144,250000000,208357932.4,819715993.2,2,2,2,2,2,2
LGF,Adventure,166137,383,6.6,2.35,38000,PG13,2015,136,160000000,117822828.3,486951453.3,2,2,2,2,2,2
Sony,Action,275868,994,6.8,2.35,85000,PG13,2015,148,245000000,202822828.3,727798953.3,4,2,3,4,2,4
BV,Action,128306,497,6.5,2.2,37000,PG,2015,130,190000000,147822828.3,56160012.3,2,2,4,4,4,2
BV,Action,279093,433,7.9,2.39,41000,PG,2014,102,165000000,123357932.4,516701648.2,4,3,4,4,2,4
Wein.,Drama,147128,277,7.5,2.35,44000,R,2015,123,30000000,-12177171.7,-61165828.7,2,2,2,2,5,5
BV,Action,313866,549,7.4,1.85,61000,PG13,2015,115,130000000,87822828.3,365302650.3,2,2,4,2,2,2
WB,Action,1468200,2803,8.8,2.35,175000,PG13,2010,148,160000000,116576254.6,714191083.5,2,2,2,2,4,2
WB,Action,1676169,4667,9,2.35,37000,PG13,2008,152,185000000,144036490.2,895590254.7,2,3,2,2,2,2
Fox,Action,58137,520,5.5,2.35,67000,PG13,2016,120,200000000,141104976.3,-46030502.6,2,2,2,2,4,2
BV,Action,462669,1117,7.5,2.35,118000,PG13,2015,141,250000000,207822828.3,1252160111,2,2,2,4,2,2
Sony,Action,172965,627,6.9,2.35,67000,R,2015,120,49000000,6822828.3,-50806387.7,2,3,4,2,4,2
WB,Action,980946,2685,8.3,2.35,15000,PG13,2005,140,150000000,109231497.3,277998145.9,2,2,2,2,2,2
