ID,director_facebook_likes,cast_total_facebook_likes,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,Revenue,Budget,profit,response
77,117,15554,293304,552,7.9,65000,38697217,8500000,30197217,Profit
78,133,16277,325264,916,7.3,112000,542307423,58800000,483507423,Profit
79,142,15700,1251222,1398,8.8,59000,677945399,55000000,622945399,Profit
80,99,20276,69484,323,5.9,28000,195725584,60000000,135725584,Profit
81,89,5056,31915,159,4.4,18000,102529779,5000000,97529779,Profit
82,73,6458,644348,656,8.5,17000,788241776,45000000,743241776,Profit
83,98,53587,67223,126,6.2,11000,349424282,127000000,222424282,Profit
84,141,30183,136973,275,7.4,47000,83719388,50000000,33719388,Profit
85,192,6434,1215718,3189,8.9,16000,1118888979,94000000,1024888979,Profit
86,153,2829,744891,983,8.5,13000,5.20E+08,100000000,4.20E+08,Profit
87,116,15735,175960,360,7.3,43000,108145109,75000000,33145109,Profit
88,128,23996,477300,621,7.6,20000,524028679,90000000,434028679,Profit
89,127,47334,139593,720,5.4,44000,183987723,176000003,7987720,Profit
90,94,1488,84382,158,5.1,0,126069509,40000000,86069509,Profit
91,178,16557,1324680,2195,8.9,45000,213928762,8000000,205928762,Profit
92,116,3230,732212,809,8.5,39000,381109762,19000000,362109762,Profit
93,118,27468,286095,974,6.6,0,371353001,200000000,171353001,Profit
94,102,2582,421658,904,7.6,58000,1274219009,150000000,1124219009,Profit
95,136,54083,370704,484,6.7,58000,1021683000,250000000,771683000,Profit
96,108,430,289508,611,7.7,109000,36869414,15000000,21869414,Profit
97,93,696,62836,345,6.8,20000,331926147,175000000,156926147,Profit
98,144,9125,470483,2301,8,0,599045960,150000000,449045960,Profit
99,112,19974,55617,266,5.2,14000,109902567,38000000,71902567,Profit
100,133,15106,146708,362,7.7,70000,137935567,35000000,102935567,Profit
101,169,48350,471220,1238,7.1,0,9.61E+08,300000000,6.61E+08,Profit
102,104,14504,126893,440,7.3,33000,108286421,15000000,93286421,Profit
103,109,19968,408302,345,7.2,39000,201585328,42000000,159585328,Profit
104,92,19963,60230,118,6.7,11000,373552094,132000000,241552094,Profit
105,115,60059,536314,738,7,63000,444115007,150000000,294115007,Profit
106,195,30426,557489,1187,7.2,95000,1215439994,200000000,1015439994,Profit
107,113,12652,431620,741,7.9,77000,370541256,178000000,192541256,Profit
108,154,16785,430055,856,6.9,16000,816969268,75000000,741969268,Profit
109,126,39252,696338,1055,7.9,10000,585174222,140000000,445174222,Profit
110,130,14363,317542,620,7.6,45000,708200000,170000000,538200000,Profit
111,117,17847,57674,126,6.5,11000,30523226,26000000,4523226,Profit
112,106,38494,60926,302,6.4,23000,63229796,22000000,41229796,Profit
113,153,36741,885175,1527,8.3,42000,319131050,70000000,249131050,Profit
114,91,87,582917,1885,7.8,147000,716392705,105000000,611392705,Profit
115,142,28631,321227,1067,6.7,41000,705717432,200000000,505717432,Profit
116,142,13495,1689764,4144,9.3,108000,28341469,25000000,3341469,Profit
117,100,5641,692482,866,8.2,11000,864625978,94000000,770625978,Profit
118,116,30571,114294,187,6.3,12000,106645357,42000000,64645357,Profit
119,97,15516,252257,634,7,89000,758410378,180000000,578410378,Profit
120,87,11608,385943,296,7.7,31000,543513985,69000000,474513985,Profit
121,143,2039,522030,1498,7.8,80000,1108561013,200000000,908561013,Profit
122,142,16944,178118,355,7.6,55000,165478348,40000000,125478348,Profit
123,111,4764,473887,626,8,10000,623722818,150000000,473722818,Profit
124,98,12998,403014,289,7.3,0,589390539,90000000,499390539,Profit
125,106,2023,330784,1243,6.7,0,586090727,200000000,386090727,Profit
126,97,2771,216581,397,6.4,21000,268157400,18000000,250157400,Profit
127,98,11905,286877,284,7.5,56000,970761885,76000000,894761885,Profit
128,115,12906,661017,771,8.5,16000,389925971,18000000,371925971,Profit
129,121,40484,544665,2012,7.3,5000,821708551,139000000,682708551,Profit
130,130,57308,182983,374,7.8,99000,133346506,28000000,105346506,Profit
131,133,21768,365104,512,7.4,35000,694713380,145000000,549713380,Profit
132,151,48486,522040,1832,7.3,5000,1065659812,200000000,865659812,Profit
133,112,1322,467234,1083,8.2,27000,83258226,19000000,64258226,Profit
134,143,20495,548573,2536,7.2,118000,662845518,225000000,437845518,Profit
135,107,4223,290949,629,7.8,13000,98235548,18000000,80235548,Profit
136,126,2725,269033,817,7.6,12000,411348924,35000000,376348924,Profit
137,103,5437,328159,467,7.6,3000,383257136,59000000,324257136,Profit
138,116,2524,563827,1110,8.5,23000,104931801,11000000,93931801,Profit
139,107,3582,600266,692,8.1,13000,78371200,6400000,71971200,Profit
140,150,26490,128682,657,6.1,51000,268031828,140000000,128031828,Profit
141,118,11898,329969,524,7.6,0,3.33E+08,28000000,3.05E+08,Profit
142,134,4251,439176,695,8.1,83000,1.87E+08,20000000,1.67E+08,Profit
143,119,13249,407601,849,7.9,0,214034224,60000000,154034224,Profit
144,131,19166,381148,1106,7,83000,407602906,180000000,227602906,Profit
145,112,9131,117927,501,5.2,0,401128639,145000000,256128639,Profit
146,105,54039,130272,209,5.9,2000,413106170,150000000,263106170,Profit
147,175,28122,1155770,2238,9.2,43000,245066411,6000000,239066411,Profit
148,131,40585,592582,722,8.2,25000,140767956,28000000,112767956,Profit
149,171,6521,982637,2368,8.5,21000,457640427,103000000,354640427,Profit
150,103,3698,667983,877,8.1,18000,264118201,60000000,204118201,Profit
151,131,21840,232187,440,7.4,47000,682330139,150000000,532330139,Profit
152,92,12754,307029,360,7.6,6000,631744560,130000000,501744560,Profit
153,151,13209,1347461,2968,8.8,48000,100853753,63000000,37853753,Profit
154,115,12068,387632,789,7.1,0,347234916,120000000,227234916,Profit
155,86,1777,266636,385,6.9,0,532680671,75000000,457680671,Profit
156,101,15500,437418,609,8.1,38000,70906973,14600000,56306973,Profit
157,104,3627,106820,147,6.5,14000,136621271,17000000,119621271,Profit
158,99,15082,475518,644,8.1,149000,174600318,30000000,144600318,Profit
159,132,21411,395573,1171,7.8,92000,467365246,190000000,277365246,Profit
160,215,2530,392474,1229,7.7,18000,185258983,130000000,55258983,Profit
161,112,2639,531737,1262,8,22000,210819611,30000000,180819611,Profit
162,102,10583,225273,523,6.2,71000,337580051,110000000,227580051,Profit
163,156,46055,383056,1902,6.2,0,890871626,258000000,632871626,Profit
164,182,9152,637246,1367,7.9,166000,1017003568,250000000,767003568,Profit
165,124,75793,75329,256,6.6,24000,101134059,60000000,41134059,Profit
166,124,48638,522371,723,7,18000,623933331,200000000,423933331,Profit
167,100,1261,110486,695,4.3,41000,167977596,120000001,47977595,Profit
168,133,1777,208092,806,7,0,95708457,22000000,73708457,Profit
169,115,57844,320284,1361,6.7,0,474968763,150000000,324968763,Profit
170,115,1901,479166,815,8,0,631442092,92000000,539442092,Profit
171,165,40978,955174,1193,8.5,199000,425368238,100000000,325368238,Profit
172,115,17369,491077,820,8.1,0,442824138,70000000,372824138,Profit
