0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Captain America: The First Avenger (2011),Status Released,Original Language English,Runtime 2h 4m,"Budget $140,000,000.00","Revenue $370,569,774.00",Homepage http://captainamerica.marvel.com/,Release Information,Chris Evans,Hugo Weaving,Tommy Lee Jones,Hayley Atwell,Sebastian Stan,Dominic Cooper,Full Cast & Crew,
Zootopia (2016),Status Released,Original Language English,Runtime 1h 48m,"Budget $150,000,000.00","Revenue $1,016,556,108.00",Homepage http://movies.disney.com/zootopia,Release Information,Ginnifer Goodwin,Jason Bateman,Shakira,Idris Elba,Octavia Spencer,J.K. Simmons,Full Cast & Crew,
The Hunger Games: Mockingjay - Part 1 (2014),Status Released,Original Language English,Runtime 2h 3m,"Budget $125,000,000.00","Revenue $752,100,229.00",Homepage http://www.thehungergames.movie/,Release Information,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Donald Sutherland,Philip Seymour Hoffman,Full Cast & Crew,
The Secret Life of Pets (2016),Status Released,Original Language English,Runtime 1h 27m,"Budget $75,000,000.00","Revenue $342,472,030.00",Homepage http://www.thesecretlifeofpets.com/,Release Information,Louis C.K.,Eric Stonestreet,Kevin Hart,Jenny Slate,Lake Bell,Bobby Moynihan,Full Cast & Crew,
The Angry Birds Movie (2016),Status Released,Original Language English,Runtime 1h 35m,"Budget $73,000,000.00","Revenue $346,450,645.00",Homepage http://www.angrybirds-movie.com/en/,Release Information,Jason Sudeikis,Josh Gad,Danny McBride,Maya Rudolph,Bill Hader,Peter Dinklage,Full Cast & Crew,
Minions (2015),Status Released,Original Language English,Runtime 1h 31m,"Budget $74,000,000.00","Revenue $1,156,730,962.00",Homepage http://www.minionsmovie.com/,Release Information,Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan,Jennifer Saunders,Full Cast & Crew,
Insurgent (2015),Status Released,Original Language English,Runtime 1h 59m,"Budget $110,000,000.00","Revenue $295,238,201.00",Homepage http://www.thedivergentseries.movie/#insurgent,Release Information,Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort,Miles Teller,Naomi Watts,Full Cast & Crew,
The Huntsman: Winter's War (2016),Status Released,Original Language English,Runtime 1h 54m,"Budget $115,000,000.00","Revenue $164,602,163.00",Homepage http://www.thehuntsmanmovie.com/,Release Information,Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain,Nick Frost,Sheridan Smith,Full Cast & Crew,
Terminator Genisys (2015),Status Released,Original Language English,Runtime 2h 5m,"Budget $155,000,000.00","Revenue $440,603,537.00",Homepage http://www.terminatormovie.com/,Release Information,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons,Dayo Okeniyi,Full Cast & Crew,
The Martian (2015),Status Released,Original Language English,Runtime 2h 21m,"Budget $108,000,000.00","Revenue $595,380,321.00",Homepage http://www.foxmovies.com/movies/the-martian,Release Information,Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael Peña,Sean Bean,Full Cast & Crew,
Gone Girl (2014),Status Released,Original Language English,Runtime 2h 25m,"Budget $61,000,000.00","Revenue $369,330,363.00",Homepage http://www.gonegirlmovie.com/,Release Information,Ben Affleck,Rosamund Pike,Tyler Perry,Neil Patrick Harris,Missi Pyle,Patrick Fugit,Full Cast & Crew,
The Imitation Game (2014),Status Released,Original Language English,Runtime 1h 53m,"Budget $14,000,000.00","Revenue $233,555,708.00",Homepage http://theimitationgamemovie.com/,Release Information,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech,Matthew Beard,Full Cast & Crew,
Star Wars: The Force Awakens (2015),Status Released,Original Language English,Runtime 2h 16m,"Budget $200,000,000.00","Revenue $2,068,178,225.00",Homepage http://www.starwars.com/films/star-wars-episode-vii,Release Information,Daisy Ridley,John Boyega,Adam Driver,Harrison Ford,Carrie Fisher,Oscar Isaac,Full Cast & Crew,
Guardians of the Galaxy (2014),Status Released,Original Language English,Runtime 2h 1m,"Budget $170,000,000.00","Revenue $773,312,399.00",Homepage http://marvel.com/guardians,Release Information,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Lee Pace,Full Cast & Crew,
The Maze Runner (2014),Status Released,Original Language English,Runtime 1h 53m,"Budget $34,000,000.00","Revenue $348,319,861.00",Homepage http://themazerunnermovie.com/,Release Information,Dylan O'Brien,Aml Ameen,Ki Hong Lee,Blake Cooper,Thomas Brodie-Sangster,Will Poulter,Full Cast & Crew,
Allegiant (2016),Status Released,Original Language English,Runtime 2h 1m,"Budget $110,000,000.00","Revenue $179,246,868.00",Homepage http://www.thedivergentseries.movie/#allegiant,Release Information,Shailene Woodley,Theo James,Zoë Kravitz,Miles Teller,Naomi Watts,Ansel Elgort,Full Cast & Crew,
The Conjuring 2 (2016),Status Released,Original Language English,Runtime 2h 14m,"Budget $40,000,000.00","Revenue $315,816,419.00",Homepage http://www.warnerbros.com/conjuring-2,Release Information,Patrick Wilson,Vera Farmiga,Madison Wolfe,Frances O'Connor,Simon McBurney,Maria Doyle Kennedy,Full Cast & Crew,
Pixels (2015),Status Released,Original Language English,Runtime 1h 45m,"Budget $88,000,000.00","Revenue $243,637,091.00",Homepage http://www.pixels-movie.com/,Release Information,Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James,Ashley Benson,Full Cast & Crew,
San Andreas (2015),Status Released,Original Language English,Runtime 1h 54m,"Budget $110,000,000.00","Revenue $470,490,832.00",Homepage http://www.sanandreasmovie.com/,Release Information,Alexandra Daddario,Dwayne Johnson,Carla Gugino,Archie Panjabi,Hugo Johnstone-Burt,Art Parkinson,Full Cast & Crew,
Jason Bourne (2016),Status Released,Original Language English,Runtime 2h 3m,"Budget $120,000,000.00","Revenue $254,351,812.00",Homepage http://www.jasonbournemovie.com,Release Information,Matt Damon,Tommy Lee Jones,Alicia Vikander,Vincent Cassel,Julia Stiles,Riz Ahmed,Full Cast & Crew,
Now You See Me (2013),Status Released,Original Language English,Runtime 1h 55m,"Budget $75,000,000.00","Revenue $117,698,894.00",Homepage -,Release Information,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,Mélanie Laurent,Isla Fisher,Dave Franco,Full Cast & Crew,
Free State of Jones (2016),Status Released,Original Language English,Runtime 2h 19m,"Budget $65,000,000.00",Revenue -,Homepage http://stxmovies.com/freestateofjones/,Release Information,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,Jacob Lofland,Sean Bridgers,Full Cast & Crew,
Hardcore Henry (2015),Status Released,Original Language English,Runtime 1h 37m,"Budget $10,000,000.00","Revenue $14,333,790.00",Homepage http://stxmovies.com/hardcorehenry/,Release Information,Sharlto Copley,Haley Bennett,Danila Kozlovskiy,Tim Roth,Andrei Dementiev,Cyrus Arnold,Full Cast & Crew,
The Revenant (2015),Status Released,Original Language English,Runtime 2h 36m,"Budget $135,000,000.00","Revenue $532,925,985.00",Homepage http://www.foxmovies.com/movies/the-revenant,Release Information,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson,Brad Carter,Full Cast & Crew,
Russian Lolita (2007),Original Title Russkaya Lolita,Status Released,Original Language Russian,Runtime 1h 33m,Budget -,Revenue -,Homepage -,Release Information,Valerja Nemchenko,Vladimir Sorokin,Marina Zasimova,Natalia Belova,Armen Oganezov,Diana Sosnova,Full Cast & Crew
The Hobbit: The Battle of the Five Armies (2014),Status Released,Original Language English,Runtime 2h 24m,"Budget $250,000,000.00","Revenue $955,119,788.00",Homepage http://www.thehobbit.com/,Release Information,Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish,William Kircher,Full Cast & Crew,
