0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Serenity (2005),Status Released,Original Language English,Runtime 1h 59m,"Budget $39,000,000.00","Revenue $38,869,464.00",Homepage -,Release Information,Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Full Cast & Crew,
La Femme Nikita (1990),Original Title Nikita,Status Released,Original Language French,Runtime 1h 55m,Budget -,"Revenue $5,000,000.00",Homepage -,Release Information,Anne Parillaud,Marc Duret,Patrick Fontana,Alain Lathière,Jean Reno,Tchéky Karyo,Full Cast & Crew
Magnolia (1999),Status Released,Original Language English,Runtime 3h 8m,"Budget $37,000,000.00","Revenue $48,451,803.00",Homepage http://www.magnoliamovie.com/,Release Information,Julianne Moore,William H. Macy,John C. Reilly,Tom Cruise,Philip Baker Hall,Philip Seymour Hoffman,Full Cast & Crew,
Yes Man (2008),Status Released,Original Language English,Runtime 1h 44m,"Budget $70,000,000.00","Revenue $225,990,978.00",Homepage -,Release Information,Jim Carrey,Zooey Deschanel,Rhys Darby,Sasha Alexander,Fionnula Flanagan,Luis Guzmán,Full Cast & Crew,
The Manchurian Candidate (2004),Status Released,Original Language English,Runtime 2h 9m,"Budget $80,000,000.00","Revenue $96,105,964.00",Homepage -,Release Information,Denzel Washington,Meryl Streep,Liev Schreiber,Jon Voight,Kimberly Elise,Vera Farmiga,Full Cast & Crew,
Rango (2011),Status Released,Original Language English,Runtime 1h 47m,"Budget $135,000,000.00","Revenue $245,724,603.00",Homepage http://www.rangomovie.com/,Release Information,Johnny Depp,Isla Fisher,Ned Beatty,Bill Nighy,Alfred Molina,Abigail Breslin,Full Cast & Crew,
The Informant! (2009),Status Released,Original Language English,Runtime 1h 48m,"Budget $22,000,000.00","Revenue $35,424,826.00",Homepage http://theinformantmovie.warnerbros.com/,Release Information,Matt Damon,Melanie Lynskey,Scott Bakula,Patton Oswalt,Joel McHale,Ann Dowd,Full Cast & Crew,
Little Lips (1978),Original Title Piccole labbra,Status Released,Original Language English,Runtime 1h 26m,Budget -,Revenue -,Homepage -,Release Information,Pierre Clémenti,Katya Berger,Ugo Bologna,Bárbara Rey,Michele Soavi,Maria Monti,Full Cast & Crew
Alvin and the Chipmunks: The Squeakquel (2009),Status Released,Original Language English,Runtime 1h 28m,"Budget $75,000,000.00","Revenue $443,140,005.00",Homepage http://www.munkyourself.com/,Release Information,Zachary Levi,David Cross,Jason Lee,Justin Long,Matthew Gray Gubler,Jesse McCartney,Full Cast & Crew,
The Island (2005),Status Released,Original Language English,Runtime 2h 16m,"Budget $126,000,000.00","Revenue $162,949,164.00",Homepage http://www.theisland-themovie.com/,Release Information,Ewan McGregor,Scarlett Johansson,Djimon Hounsou,Sean Bean,Steve Buscemi,Michael Clarke Duncan,Full Cast & Crew,
Air Force One (1997),Status Released,Original Language English,Runtime 2h 4m,"Budget $85,000,000.00","Revenue $315,156,409.00",Homepage -,Release Information,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,William H. Macy,Jürgen Prochnow,Full Cast & Crew,
Knowing (2009),Status Released,Original Language English,Runtime 2h 1m,"Budget $50,000,000.00","Revenue $155,446,362.00",Homepage http://knowing-themovie.com/,Release Information,Nicolas Cage,Rose Byrne,Chandler Canterbury,Ben Mendelsohn,Nadia Townsend,D.G. Maloney,Full Cast & Crew,
Pride (2014),Status Released,Original Language English,Runtime 1h 57m,Budget -,"Revenue $7,523,634.00",Homepage -,Release Information,Bill Nighy,George MacKay,Dominic West,Andrew Scott,Imelda Staunton,Paddy Considine,Full Cast & Crew,
Contraband (2012),Status Released,Original Language English,Runtime 1h 49m,"Budget $25,000,000.00","Revenue $63,100,000.00",Homepage http://www.contrabandmovie.net,Release Information,Mark Wahlberg,Kate Beckinsale,Ben Foster,Giovanni Ribisi,J.K. Simmons,William Lucking,Full Cast & Crew,
Friday the 13th (1980),Status Released,Original Language English,Runtime 1h 35m,"Budget $550,000.00","Revenue $59,754,601.00",Homepage -,Release Information,Betsy Palmer,Adrienne King,Harry Crosby,Laurie Bartram,Jeannine Taylor,Kevin Bacon,Full Cast & Crew,
The Mask of Zorro (1998),Status Released,Original Language English,Runtime 2h 16m,"Budget $95,000,000.00","Revenue $250,288,523.00",Homepage -,Release Information,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones,Stuart Wilson,Diego Sieres,José María de Tavira,Full Cast & Crew,
The Cobbler (2014),Status Released,Original Language English,Runtime 1h 38m,Budget -,Revenue -,Homepage -,Release Information,Adam Sandler,Dan Stevens,Steve Buscemi,Dustin Hoffman,Ellen Barkin,Dascha Polanco,Full Cast & Crew,
The Last Samurai (2003),Status Released,Original Language English,Runtime 2h 34m,"Budget $140,000,000.00","Revenue $456,758,981.00",Homepage -,Release Information,Tom Cruise,Ken Watanabe,William Atherton,Chad Lindberg,Billy Connolly,Tony Goldwyn,Full Cast & Crew,
Breakfast at Tiffany's (1961),Status Released,Original Language English,Runtime 1h 50m,"Budget $2,500,000.00","Revenue $9,500,000.00",Homepage -,Release Information,Audrey Hepburn,George Peppard,Patricia Neal,Buddy Ebsen,Martin Balsam,Mickey Rooney,Full Cast & Crew,
Saw: The Final Chapter (2010),Original Title Saw 3D,Status Released,Original Language English,Runtime 1h 30m,"Budget $20,000,000.00","Revenue $136,150,434.00",Homepage http://www.saw3dmovie.com,Release Information,Tobin Bell,Costas Mandylor,Betsy Russell,Cary Elwes,Sean Patrick Flanery,Gina Holden,Full Cast & Crew
Vehicle 19 (2013),Status Released,Original Language English,Runtime 1h 25m,Budget -,Revenue -,Homepage -,Release Information,Paul Walker,Naima McLean,Gys de Villiers,Leyla Haidarian,Tshepo Maseko,Andrian Mazive,Full Cast & Crew,
Spaceballs (1987),Status Released,Original Language English,Runtime 1h 36m,"Budget $22,700,000.00","Revenue $38,119,483.00",Homepage http://www.mgm.com/view/movie/1873/Spaceballs/,Release Information,Mel Brooks,Rick Moranis,Bill Pullman,Daphne Zuniga,John Candy,George Wyner,Full Cast & Crew,
A Hologram for the King (2016),Status Released,Original Language English,Runtime 1h 37m,"Budget $30,000,000.00",Revenue -,Homepage http://www.ahologramforthekingfilm.com/,Release Information,Tom Hanks,Sarita Choudhury,Sidse Babett Knudsen,Ben Whishaw,Tom Skerritt,Tracey Fairaway,Full Cast & Crew,
The Aviator (2004),Status Released,Original Language English,Runtime 2h 50m,"Budget $116,000,000.00","Revenue $102,000,000.00",Homepage -,Release Information,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly,Alec Baldwin,Alan Alda,Full Cast & Crew,
Dirty Dancing (1987),Status Released,Original Language English,Runtime 1h 40m,"Budget $6,000,000.00","Revenue $213,954,274.00",Homepage http://lionsgateathome.com/dirty-dancing,Release Information,Jennifer Grey,Patrick Swayze,Jerry Orbach,Cynthia Rhodes,Jack Weston,Jane Brucker,Full Cast & Crew,
Monty Python and the Holy Grail (1975),Status Released,Original Language English,Runtime 1h 31m,"Budget $400,000.00","Revenue $5,028,948.00",Homepage http://www.sonypictures.com/cthe/montypython/,Release Information,Graham Chapman,John Cleese,Eric Idle,Michael Palin,Terry Gilliam,Terry Jones,Full Cast & Crew,
Starship Troopers 2: Hero of the Federation (2004),Status Released,Original Language English,Runtime 1h 28m,"Budget $7,000,000.00",Revenue -,Homepage -,Release Information,Billy Brown,Richard Burgi,Kelly Carlson,Cy Carter,Sandrine Holt,Ed Lauter,Full Cast & Crew,
Philadelphia (1993),Status Released,Original Language English,Runtime 2h 5m,"Budget $26,000,000.00","Revenue $206,678,440.00",Homepage -,Release Information,Tom Hanks,Denzel Washington,Jason Robards,Mary Steenburgen,Antonio Banderas,Ron Vawter,Full Cast & Crew,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Status Released,Original Language English,Runtime 1h 35m,"Budget $1,800,000.00","Revenue $9,440,272.00",Homepage -,Release Information,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,Slim Pickens,Peter Bull,Full Cast & Crew,
The Patriot (2000),Status Released,Original Language English,Runtime 2h 45m,"Budget $110,000,000.00","Revenue $215,294,342.00",Homepage -,Release Information,Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs,Tchéky Karyo,Chris Cooper,Full Cast & Crew,
As Good as It Gets (1997),Status Released,Original Language English,Runtime 2h 19m,"Budget $50,000,000.00","Revenue $314,178,011.00",Homepage -,Release Information,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,Skeet Ulrich,Shirley Knight,Full Cast & Crew,
Redistributors (2015),Status Released,Original Language English,Runtime 1h 22m,Budget -,Revenue -,Homepage -,Release Information,Login to Edit Cast & Crew,,,,,,,
Moneyball (2011),Status Released,Original Language English,Runtime 2h 13m,"Budget $50,000,000.00","Revenue $110,206,216.00",Homepage http://www.moneyball-movie.com/,Release Information,Brad Pitt,Jonah Hill,Robin Wright,Philip Seymour Hoffman,Chris Pratt,Stephen Bishop,Full Cast & Crew,
Perfume: The Story of a Murderer (2006),Status Released,Original Language English,Runtime 2h 27m,"Budget $50,000,000.00","Revenue $132,180,323.00",Homepage http://www.parfum.film.de/,Release Information,Ben Whishaw,Simon Chandler,David Calder,Richard Felix,Birgit Minichmayr,Sian Thomas,Full Cast & Crew,
The Blair Witch Project (1999),Status Released,Original Language English,Runtime 1h 21m,"Budget $25,000.00","Revenue $248,000,000.00",Homepage http://www.blairwitch.com/,Release Information,Heather Donahue,Joshua Leonard,Michael C. Williams,Bob Griffith,Jim King,Sandra Sánchez,Full Cast & Crew,
Rush Hour 2 (2001),Status Released,Original Language English,Runtime 1h 30m,"Budget $90,000,000.00","Revenue $347,325,802.00",Homepage -,Release Information,Chris Tucker,Jackie Chan,Zhang Ziyi,Roselyn Sánchez,"Ernie Reyes, Jr.",Don Cheadle,Full Cast & Crew,
Rage (2014),Original Title Tokarev,Status Released,Original Language English,Runtime 1h 38m,"Budget $21,000,000.00",Revenue -,Homepage -,Release Information,Nicolas Cage,Aubrey Peeples,Rachel Nichols,Peter Stormare,Danny Glover,Max Ryan,Full Cast & Crew
The Descendants (2011),Status Released,Original Language English,Runtime 1h 55m,"Budget $20,000,000.00","Revenue $177,243,185.00",Homepage http://www.foxsearchlight.com/thedescendants/,Release Information,George Clooney,Shailene Woodley,Amara Miller,Nick Krause,Robert Forster,Judy Greer,Full Cast & Crew,
The English Patient (1996),Status Released,Original Language English,Runtime 2h 42m,"Budget $27,000,000.00","Revenue $231,976,425.00",Homepage -,Release Information,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,Naveen Andrews,Colin Firth,Full Cast & Crew,
American Pie (1999),Status Released,Original Language English,Runtime 1h 35m,"Budget $11,000,000.00","Revenue $235,483,004.00",Homepage -,Release Information,Jason Biggs,Chris Klein,Thomas Ian Nicholas,Alyson Hannigan,Shannon Elizabeth,Tara Reid,Full Cast & Crew,
Bridge to Terabithia (2007),Status Released,Original Language English,Runtime 1h 36m,"Budget $60,000,000.00","Revenue $137,587,063.00",Homepage http://disney.go.com/disneyvideos/liveaction/bridgetoterabithia/,Release Information,Josh Hutcherson,AnnaSophia Robb,Zooey Deschanel,Kate Butler,Bailee Madison,Robert Patrick,Full Cast & Crew,
Contact (1997),Status Released,Original Language English,Runtime 2h 30m,"Budget $90,000,000.00","Revenue $171,120,329.00",Homepage http://www.warnerbros.com/contact,Release Information,Jodie Foster,Matthew McConaughey,James Woods,John Hurt,Tom Skerritt,William Fichtner,Full Cast & Crew,
"Crazy, Stupid, Love. (2011)",Status Released,Original Language English,Runtime 1h 58m,"Budget $50,000,000.00","Revenue $142,851,197.00",Homepage http://crazystupidlove.warnerbros.com/index.html,Release Information,Steve Carell,Julianne Moore,Ryan Gosling,Emma Stone,Marisa Tomei,Kevin Bacon,Full Cast & Crew,
The Grudge (2004),Status Released,Original Language English,Runtime 1h 32m,"Budget $10,000,000.00","Revenue $183,474,602.00",Homepage -,Release Information,Sarah Michelle Gellar,Jason Behr,William Mapother,Clea DuVall,KaDee Strickland,Grace Zabriskie,Full Cast & Crew,
Friday the 13th (2009),Status Released,Original Language English,Runtime 1h 37m,"Budget $19,000,000.00","Revenue $91,379,051.00",Homepage http://www.fridaythe13thmovie.com,Release Information,Derek Mears,Jared Padalecki,Danielle Panabaker,Amanda Righetti,Travis Van Winkle,Aaron Yoo,Full Cast & Crew,
Alexander (2004),Status Released,Original Language English,Runtime 2h 55m,"Budget $155,000,000.00","Revenue $167,298,192.00",Homepage -,Release Information,Colin Farrell,Angelina Jolie,Val Kilmer,Jared Leto,Jonathan Rhys Meyers,Anthony Hopkins,Full Cast & Crew,
The Birds (1963),Status Released,Original Language English,Runtime 1h 59m,"Budget $2,500,000.00","Revenue $11,403,529.00",Homepage -,Release Information,Tippi Hedren,Rod Taylor,Suzanne Pleshette,Veronica Cartwright,Ethel Griffies,Charles McGraw,Full Cast & Crew,
Mean Girls (2004),Status Released,Original Language English,Runtime 1h 37m,"Budget $17,000,000.00","Revenue $129,042,871.00",Homepage http://www.meangirls.com/,Release Information,Lindsay Lohan,Rachel McAdams,Lacey Chabert,Amanda Seyfried,Tina Fey,Tim Meadows,Full Cast & Crew,
Eat Pray Love (2010),Status Released,Original Language English,Runtime 2h 13m,"Budget $60,000,000.00","Revenue $204,594,016.00",Homepage -,Release Information,Julia Roberts,James Franco,Javier Bardem,Billy Crudup,Richard Jenkins,Viola Davis,Full Cast & Crew,
Morgan (2016),Status Released,Original Language English,Runtime 1h 32m,"Budget $8,000,000.00",Revenue -,Homepage http://www.foxmovies.com/movies/morgan,Release Information,Kate Mara,Anya Taylor-Joy,Jennifer Jason Leigh,Paul Giamatti,Rose Leslie,Toby Jones,Full Cast & Crew,
Jackie Brown (1997),Status Released,Original Language English,Runtime 2h 34m,"Budget $12,000,000.00","Revenue $39,673,162.00",Homepage -,Release Information,Pam Grier,Samuel L. Jackson,Robert Forster,Bridget Fonda,Michael Keaton,Robert De Niro,Full Cast & Crew,
TRON (1982),Status Released,Original Language English,Runtime 1h 36m,"Budget $17,000,000.00","Revenue $33,000,000.00",Homepage -,Release Information,Jeff Bridges,Bruce Boxleitner,David Warner,Cindy Morgan,Barnard Hughes,Dan Shor,Full Cast & Crew,
Season of the Witch (2011),Status Released,Original Language English,Runtime 1h 35m,"Budget $40,000,000.00","Revenue $88,100,000.00",Homepage http://www.seasonofthewitchmovie.com,Release Information,Nicolas Cage,Ron Perlman,Ulrich Thomsen,Christopher Lee,Fernanda Dorogi,Stephen Graham,Full Cast & Crew,
Meet the Robinsons (2007),Status Released,Original Language English,Runtime 1h 35m,"Budget $150,000,000.00","Revenue $169,332,978.00",Homepage -,Release Information,Tom Selleck,Laurie Metcalf,Angela Bassett,Nicole Sullivan,Harland Williams,Daniel Hansen,Full Cast & Crew,
The Crow (1994),Status Released,Original Language English,Runtime 1h 42m,"Budget $15,000,000.00","Revenue $94,000,000.00",Homepage -,Release Information,Brandon Lee,Rochelle Davis,Ernie Hudson,Michael Wincott,Bai Ling,Sofia Shinas,Full Cast & Crew,
Blood Simple (1984),Status Released,Original Language English,Runtime 1h 37m,"Budget $1,500,000.00",Revenue -,Homepage -,Release Information,John Getz,Frances McDormand,Dan Hedaya,M. Emmet Walsh,Samm-Art Williams,Deborah Neumann,Full Cast & Crew,
War Horse (2011),Status Released,Original Language English,Runtime 2h 26m,"Budget $66,000,000.00","Revenue $177,584,879.00",Homepage http://www.warhorsemovie.com/,Release Information,Tom Hiddleston,Benedict Cumberbatch,Toby Kebbell,Emily Watson,Jeremy Irvine,David Thewlis,Full Cast & Crew,
The Wave (2015),Original Title Bølgen,Status Released,Original Language Norwegian,Runtime 1h 44m,"Budget $5,900,000.00","Revenue $177,404.00",Homepage -,Release Information,Kristoffer Joner,Thomas Bo Larsen,Ane Dahl Torp,Fridtjov Såheim,Laila Goody,Jonas Hoff Oftebro,Full Cast & Crew
Syriana (2005),Status Released,Original Language English,Runtime 2h 8m,"Budget $50,000,000.00","Revenue $94,000,000.00",Homepage http://syrianamovie.warnerbros.com/,Release Information,George Clooney,Matt Damon,Jeffrey Wright,Chris Cooper,Amanda Peet,William Hurt,Full Cast & Crew,
One Hundred and One Dalmatians (1961),Status Released,Original Language English,Runtime 1h 19m,"Budget $4,000,000.00","Revenue $215,880,014.00",Homepage -,Release Information,Rod Taylor,J. Pat O'Malley,Betty Lou Gerson,Martha Wentworth,Ben Wright,Cate Bauer,Full Cast & Crew,
The Nightmare Before Christmas (1993),Status Released,Original Language English,Runtime 1h 16m,"Budget $18,000,000.00","Revenue $75,634,409.00",Homepage -,Release Information,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,Glenn Shadix,Paul Reubens,Full Cast & Crew,
Ong Bak (2003),Status Released,Original Language Thai,Runtime 1h 45m,Budget -,Revenue $4.00,Homepage -,Release Information,Tony Jaa,Petchtai Wongkamlao,Pumwaree Yodkamol,Suchao Pongwilai,Chumphorn Thepphithak,Cheathavuth Watcharakhun,Full Cast & Crew,
Saw IV (2007),Status Released,Original Language English,Runtime 1h 33m,"Budget $10,000,000.00","Revenue $139,352,633.00",Homepage http://movies.break.com/saw4/,Release Information,Tobin Bell,Scott Patterson,Costas Mandylor,Betsy Russell,Lyriq Bent,Louis Ferreira,Full Cast & Crew,
Clip (2012),Original Title Klip,Status Released,Original Language Serbian,Runtime 1h 40m,Budget -,Revenue -,Homepage -,Release Information,Isidora Simijonović,Vukašin Jasnić,Sanja Mikitišin,Jovo Maksić,Monja Savic,Katarina Pešić,Full Cast & Crew
Operation Avalanche (2016),Status Released,Original Language English,Runtime 1h 34m,Budget -,Revenue -,Homepage -,Release Information,Matt Johnson,Sharon Belle,Krista Madison,Samantha Michelle,Owen Williams,Emilie Paquet,Full Cast & Crew,
Redemption (2013),Status Released,Original Language English,Runtime 1h 40m,"Budget $20,000,000.00","Revenue $8,352,885.00",Homepage http://www.hummingbirdmovie.co.uk,Release Information,Jason Statham,Agata Buzek,Vicky McClure,Lee Asquith-Coe,Benedict Wong,Siobhan Hewlett,Full Cast & Crew,
Need for Speed (2014),Status Released,Original Language English,Runtime 2h 10m,"Budget $66,000,000.00","Revenue $203,277,636.00",Homepage -,Release Information,Aaron Paul,Dominic Cooper,Imogen Poots,Rami Malek,Ramón Rodríguez,Harrison Gilbertson,Full Cast & Crew,
9 Songs (2004),Status Released,Original Language English,Runtime 1h 6m,"Budget $1,000,000.00","Revenue $332,323.00",Homepage -,Release Information,Kieran O'Brien,Margo Stilley,The Dandy Warhols,Elbow,Franz Ferdinand,Black Rebel Motorcycle Club,Full Cast & Crew,
Foxcatcher (2014),Status Released,Original Language English,Runtime 2h 14m,"Budget $24,000,000.00","Revenue $12,096,300.00",Homepage -,Release Information,Steve Carell,Channing Tatum,Mark Ruffalo,Sienna Miller,Vanessa Redgrave,Anthony Michael Hall,Full Cast & Crew,
The Bounty Hunter (2010),Status Released,Original Language English,Runtime 1h 50m,"Budget $40,000,000.00","Revenue $136,000,000.00",Homepage http://www.thebountyhunter-movie.net/,Release Information,Gerard Butler,Jennifer Aniston,Gio Perez,Siobhan Fallon,Joel Garland,Jason Kolotouros,Full Cast & Crew,
Unfinished Business (2015),Status Released,Original Language English,Runtime 1h 30m,"Budget $35,000,000.00","Revenue $14,431,253.00",Homepage -,Release Information,Vince Vaughn,Dave Franco,James Marsden,June Diane Raphael,Sienna Miller,Nick Frost,Full Cast & Crew,
Tremors (1990),Status Released,Original Language English,Runtime 1h 36m,"Budget $11,000,000.00","Revenue $48,572,000.00",Homepage -,Release Information,Kevin Bacon,Fred Ward,Finn Carter,Michael Gross,Reba McEntire,Robert Jayne,Full Cast & Crew,
Brother Nature (2016),Status Released,Original Language English,Runtime 1h 37m,Budget -,Revenue -,Homepage -,Release Information,Taran Killam,Bill Pullman,Rita Wilson,Rachael Harris,David Wain,Bobby Moynihan,Full Cast & Crew,
Madame Bovary (2015),Status Released,Original Language English,Runtime 1h 58m,Budget -,Revenue -,Homepage -,Release Information,Mia Wasikowska,Ezra Miller,Laura Carmichael,Henry Lloyd-Hughes,Paul Giamatti,Rhys Ifans,Full Cast & Crew,
Zero Days (2016),Status Released,Original Language English,Runtime 1h 56m,Budget -,Revenue -,Homepage -,Release Information,Joanne Tucker,Yossi Melman,Ralph Langner,Emad Kiyaei,Richard A. Clarke,Eric Chien,Full Cast & Crew,
Escape from New York (1981),Status Released,Original Language English,Runtime 1h 39m,"Budget $6,000,000.00","Revenue $50,000,000.00",Homepage http://www.theofficialjohncarpenter.com/escape-from-new-york/,Release Information,Kurt Russell,Lee Van Cleef,Ernest Borgnine,Donald Pleasence,Isaac Hayes,Harry Dean Stanton,Full Cast & Crew,
13 Going On 30 (2004),Status Released,Original Language English,Runtime 1h 38m,"Budget $37,000,000.00","Revenue $96,455,697.00",Homepage -,Release Information,Jennifer Garner,Mark Ruffalo,Judy Greer,Andy Serkis,Christa Brittany  Allen,Sean Marquette,Full Cast & Crew,
Gattaca (1997),Status Released,Original Language English,Runtime 1h 46m,"Budget $36,000,000.00","Revenue $12,532,777.00",Homepage -,Release Information,Ethan Hawke,Jude Law,Gore Vidal,Uma Thurman,Alan Arkin,Xander Berkeley,Full Cast & Crew,
Bandits (2001),Status Released,Original Language English,Runtime 2h 3m,"Budget $75,000,000.00","Revenue $67,631,903.00",Homepage -,Release Information,Bruce Willis,Billy Bob Thornton,Cate Blanchett,Troy Garity,William Converse-Roberts,Brían F. O'Byrne,Full Cast & Crew,
The Ladykillers (2004),Status Released,Original Language English,Runtime 1h 44m,Budget -,Revenue -,Homepage -,Release Information,Tom Hanks,Irma P. Hall,Marlon Wayans,J.K. Simmons,Tzi Ma,Ryan Hurst,Full Cast & Crew,
Tschick (2016),Status Released,Original Language German,Runtime 1h 35m,Budget -,Revenue -,Homepage -,Release Information,Anand Batbileg,Tristan Göbel,Nicole Mercedes Müller,Full Cast & Crew,,,,
We Are Your Friends (2015),Status Released,Original Language English,Runtime 1h 36m,"Budget $6,000,000.00","Revenue $11,122,090.00",Homepage -,Release Information,Zac Efron,Emily Ratajkowski,Wes Bentley,Nick Rotteveel,Alessandro Lindblad,Jon Abrahams,Full Cast & Crew,
Cop Car (2015),Status Released,Original Language English,Runtime 1h 26m,Budget -,"Revenue $134,552.00",Homepage -,Release Information,Kevin Bacon,James Freedson-Jackson,Hays Wellford,Shea Whigham,Camryn Manheim,Sean Hartley,Full Cast & Crew,
You Don't Mess With the Zohan (2008),Status Released,Original Language English,Runtime 1h 53m,"Budget $90,000,000.00","Revenue $201,596,308.00",Homepage http://www.youdontmesswiththezohan.com/,Release Information,Adam Sandler,John Turturro,Emmanuelle Chriqui,Nick Swardson,Lainie Kazan,Daoud Heidami,Full Cast & Crew,
What Did We Do to Deserve This? (2014),Original Title Qu'est-ce qu'on a fait au Bon Dieu,Status Released,Original Language French,Runtime 1h 34m,"Budget $13,000,000.00",Revenue -,Homepage -,Release Information,Christian Clavier,Chantal Lauby,Ary Abittan,Medi Sadoun,Frédéric Chau,Noom Diawara,Full Cast & Crew
Song of the Sea (2014),Status Released,Original Language English,Runtime 1h 33m,Budget -,Revenue -,Homepage http://www.cartoonsaloon.ie/2009/06/feature-films-song-of-the-sea/,Release Information,Brendan Gleeson,Fionnula Flanagan,David Rawle,Pat Shortt,Jon Kenny,Lisa Hannigan,Full Cast & Crew,
The Goonies (1985),Status Released,Original Language English,Runtime 1h 54m,"Budget $19,000,000.00","Revenue $61,389,680.00",Homepage -,Release Information,Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,Robert Davi,Kerri Green,Full Cast & Crew,
Asterix & Obelix: Mission Cleopatra (2002),Original Title Astérix & Obélix Mission Cléopâtre,Status Released,Original Language French,Runtime 1h 48m,Budget -,"Revenue $111,127,553.00",Homepage -,Release Information,Gérard Depardieu,Christian Clavier,Monica Bellucci,Alain Chabat,Jamel Debbouze,Gérard Darmon,Full Cast & Crew
The Faculty (1998),Status Released,Original Language English,Runtime 1h 44m,"Budget $15,000,000.00","Revenue $40,283,321.00",Homepage -,Release Information,Jordana Brewster,Elijah Wood,Clea DuVall,Laura Harris,Josh Hartnett,Shawn Hatosy,Full Cast & Crew,
Mrs. Doubtfire (1993),Status Released,Original Language English,Runtime 2h 5m,"Budget $25,000,000.00","Revenue $441,286,195.00",Homepage -,Release Information,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,Polly Holliday,Lisa Jakub,Full Cast & Crew,
Johnny English (2003),Status Released,Original Language English,Runtime 1h 28m,"Budget $40,000,000.00","Revenue $160,583,018.00",Homepage -,Release Information,Rowan Atkinson,John Malkovich,Natalie Imbruglia,Tasha de Vasconcelos,Ben Miller,Greg Wise,Full Cast & Crew,
The Graduate (1967),Status Released,Original Language English,Runtime 1h 46m,"Budget $3,000,000.00","Revenue $104,397,102.00",Homepage -,Release Information,Anne Bancroft,Dustin Hoffman,Katharine Ross,Murray Hamilton,Buck Henry,Brian Avery,Full Cast & Crew,
The Bélier Family (2014),Original Title La Famille Bélier,Status Released,Original Language French,Runtime 1h 45m,"Budget $11,000,000.00",Revenue -,Homepage -,Release Information,Karin Viard,François Damiens,Eric Elmosnino,Louane Emera,Roxane Duran,Ilian Bergala,Full Cast & Crew
Evil Dead (2013),Status Released,Original Language English,Runtime 1h 30m,"Budget $17,000,000.00","Revenue $97,542,952.00",Homepage http://www.evildead-movie.com/,Release Information,Jane Levy,Jessica Lucas,Shiloh Fernandez,Lou Taylor Pucci,Elizabeth Blackmore,Rupert Degas,Full Cast & Crew,
The Man in the Iron Mask (1998),Status Released,Original Language English,Runtime 2h 12m,Budget -,Revenue -,Homepage -,Release Information,Leonardo DiCaprio,Jeremy Irons,Gérard Depardieu,Gabriel Byrne,John Malkovich,Anne Parillaud,Full Cast & Crew,
Patch Adams (1998),Status Released,Original Language English,Runtime 1h 55m,"Budget $50,000,000.00","Revenue $202,292,902.00",Homepage -,Release Information,Robin Williams,Philip Seymour Hoffman,Bob Gunton,Peter Coyote,Michael Jeter,Monica Potter,Full Cast & Crew,
Aladdin and the King of Thieves (1996),Status Released,Original Language English,Runtime 1h 20m,Budget -,Revenue -,Homepage -,Release Information,Robin Williams,Scott Weinger,Linda Larkin,John Rhys-Davies,Gilbert Gottfried,Jerry Orbach,Full Cast & Crew,
27 Dresses (2008),Status Released,Original Language English,Runtime 1h 51m,"Budget $30,000,000.00","Revenue $160,259,319.00",Homepage http://www.27dressesthemovie.com/,Release Information,Katherine Heigl,James Marsden,Malin Åkerman,Judy Greer,Edward Burns,Melora Hardin,Full Cast & Crew,
Jaws 2 (1978),Status Released,Original Language English,Runtime 1h 56m,"Budget $20,000,000.00","Revenue $187,884,007.00",Homepage -,Release Information,Roy Scheider,Lorraine Gary,Murray Hamilton,Joseph Mascolo,Jeffrey Kramer,Collin Wilcox,Full Cast & Crew,
Chocolat (2000),Status Released,Original Language English,Runtime 2h 1m,"Budget $25,000,000.00","Revenue $152,500,343.00",Homepage -,Release Information,Juliette Binoche,Alfred Molina,Johnny Depp,Carrie-Anne Moss,Judi Dench,Lena Olin,Full Cast & Crew,
Resident Evil (2002),Status Released,Original Language English,Runtime 1h 40m,"Budget $33,000,000.00","Revenue $102,441,078.00",Homepage -,Release Information,Milla Jovovich,Michelle Rodriguez,Eric Mabius,Ryan McCluskey,Oscar Pearce,Indra Ové,Full Cast & Crew,
The Signal (2014),Status Released,Original Language English,Runtime 1h 35m,"Budget $4,000,000.00","Revenue $600,896.00",Homepage https://www.facebook.com/thesignalfilm,Release Information,Brenton Thwaites,Laurence Fishburne,Olivia Cooke,Lin Shaye,Beau Knapp,Robert Longstreet,Full Cast & Crew,
