Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
2 Fast 2 Furious,Uni.,"$127,154,901","3,418","$50,472,480","3,408",6/6/2003
2 Guns,Uni.,"$75,612,460","3,028","$27,059,130","3,025",8/2/2013
2 Jacks,BGP,n/a,n/a,n/a,n/a,10/18/2013
2 States,UTV,"$2,238,174",137,"$1,073,898",135,4/18/2014
20 Centimeters,TLA,"$6,635",2,"$2,177",1,10/27/2006
20 Dates,FoxS,"$541,636",43,"$40,244",3,2/26/1999
20 Feet from Stardom,RTWC,"$4,946,445",147,"$54,596",3,6/14/2013
20 Million Miles to Earth,Col.,n/a,n/a,n/a,n/a,Jun 1957
20 Once Again,CJ,"$234,573",13,"$92,827",13,1/16/2015
"20,000 Days on Earth",Drft.,"$279,558",28,"$27,879",1,9/17/2014
200 Cartas,VF,"$9,338",2,"$9,338",2,6/14/2013
200 Cigarettes,Par.,"$6,852,450",978,"$3,244,277",976,2/26/1999
2001: A Space Odyssey,MGM,"$56,715,371*",n/a,n/a,n/a,4/3/1968
2001: A Space Odyssey (2013 re-release),WB,"$214,618*",n/a,n/a,n/a,1/2/2013
2001: A Space Odyssey (Re-issue),WB,"$239,621*",n/a,n/a,n/a,10/5/2001
2005 Academy Award Nominated Short Films,Magn.,"$157,415",12,"$28,571",6,2/24/2006
The 2006 Academy Award Nominated Short Films,Magn.,"$335,090",38,"$105,709",38,2/16/2007
2007 Academy Award Nominated Short Films,Magn.,"$508,695",65,"$197,664",65,2/15/2008
2007 Academy Award Nominated Short Films,Magn.,"$508,695",n/a,"$197,664",65,2/15/2008
2009 Oscar Shorts,Shrts.,"$644,635",60,"$150,203",41,2/6/2009
2010,MGM,"$40,400,657","1,213","$7,393,361","1,126",12/7/1984
2010 Oscar Shorts,Shrts.,"$1,018,169",95,"$291,360",95,2/19/2010
2011 Oscar Shorts,Shrts.,"$1,352,152",117,"$300,706",95,2/11/2011
2012,Sony,"$166,112,167","3,444","$65,237,614","3,404",11/13/2009
2012 Oscar Nominated Short Films,Shrts.,"$1,702,415",146,"$412,304",120,2/10/2012
2012: Time for Change,Mang.,"$68,339",2,"$9,009",1,4/9/2010
2013 Oscar Nominated Short Films,Shrts.,"$2,142,342",266,"$371,605",105,2/1/2013
2014 Oscar Nominated Short Films,Shrts.,"$2,171,849",167,"$329,505",105,1/31/2014
2015 Oscar Nominated Short Films,Shrts.,"$2,412,593",280,"$416,850",118,1/30/2015
2016 Obama's America,RM,"$33,449,086","2,017","$31,610",1,7/13/2012
2016 Oscar Nominated Short Films,Shrts.,"$2,816,816",260,"$559,502",123,1/29/2016
2046,SPC,"$1,444,588",61,"$113,074",4,8/5/2005
21,Sony,"$81,159,365","2,952","$24,105,943","2,648",3/28/2008
21 and Over,Rela.,"$25,682,380","2,771","$8,754,168","2,771",3/1/2013
21 Grams,Focus,"$16,290,476",411,"$274,454",8,11/21/2003
21 Jump Street,Sony,"$138,447,667","3,148","$36,302,612","3,121",3/16/2012
22 Bullets,Cdgm.,n/a,n/a,n/a,n/a,Jan 2013
22 Jump Street,Sony,"$191,719,337","3,426","$57,071,445","3,306",6/13/2014
