Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
Flannel Pajamas,Giga.,"$123,301",4,"$11,069",1,11/15/2006
Flash Gordon,Uni.,"$27,107,960",n/a,"$3,934,030",823,12/5/1980
Flash of Genius,Uni.,"$4,442,377","1,098","$2,251,075","1,098",10/3/2008
Flash Point,TRR,"$5,151",10,"$3,271",10,3/14/2008
Flashback,Par.,"$6,488,114",875,"$2,910,116",875,2/2/1990
Flashbacks of a Fool,Anch.,"$1,664",2,"$1,020",2,10/17/2008
Flashdance,Par.,"$92,921,203","1,140","$4,076,124","1,140",4/15/1983
Flashpoint (1984),TriS,"$3,854,833","1,022","$1,916,222","1,022",8/31/1984
The Flat,IFC,"$471,842",27,"$19,916",3,10/19/2012
Flatliners,Col.,"$61,489,265","1,483","$10,034,685","1,319",8/10/1990
Flatliners (2017),SGem,n/a,n/a,n/a,n/a,8/18/2017
Flavors,NEM,"$93,370",14,"$56,000",14,7/16/2004
Flawless (1999),MGM,"$4,488,529",483,"$1,590,155",478,11/26/1999
Flawless (2008),Magn.,"$1,200,234",65,"$181,910",35,3/28/2008
Fled,MGM,"$17,193,231","2,104","$5,405,855","2,104",7/19/1996
Flesh and Blood,Orion,n/a,n/a,n/a,n/a,8/30/1985
Flesh and Bone,Par.,"$9,709,451","1,200","$4,517,066","1,200",11/5/1993
Flesh and the Devil,MGM,n/a,n/a,n/a,n/a,12/25/1926
Fletch,Uni.,"$50,612,888","1,303","$7,022,970","1,225",5/31/1985
Fletch Lives,Uni.,"$35,150,960","1,512","$8,045,760","1,479",3/17/1989
Fleur Bleue (Apprentice),Amb.,n/a,n/a,n/a,n/a,1971
Flex is Kings,BBFR,"$5,418",1,"$3,152",1,4/4/2014
Flicka,Fox,"$21,000,147","2,877","$7,703,551","2,877",10/20/2006
Flight,Par.,"$93,772,375","2,638","$24,900,566","1,884",11/2/2012
Flight from Glory,RKO,n/a,n/a,n/a,n/a,8/20/1937
Flight of the Intruder,Par.,"$14,587,732","1,489","$5,725,133","1,489",1/18/1991
Flight of the Navigator,BV,"$18,564,613","1,024","$3,115,097",952,7/30/1986
Flight of the Phoenix,Fox,"$21,009,180","2,604","$5,019,430","2,604",12/17/2004
The Flight of the Phoenix (1965),Fox,n/a,n/a,n/a,n/a,12/15/1965
The Flight of the Red Balloon,IFC,"$461,674",14,"$35,222",2,4/4/2008
Flightplan,BV,"$89,707,299","3,424","$24,629,938","3,424",9/23/2005
The Flintstones,Uni.,"$130,531,208","2,594","$29,688,730","2,498",5/27/1994
The Flintstones in Viva Rock Vegas,Uni.,"$35,268,275","3,125","$10,518,435","3,040",4/28/2000
Flipped,WB,"$1,755,212",442,"$224,233",45,8/6/2010
Flipper,Uni.,"$20,080,020","2,419","$4,209,525","2,385",5/17/1996
Flirt,Lions,"$263,192",7,"$15,040",1,8/7/1996
Flirting,Gold.,"$2,415,396",33,"$10,125",1,11/6/1992
Flirting with Disaster,Mira.,"$14,702,438",969,"$164,458",7,3/22/1996
The Flock,BMD,n/a,n/a,n/a,n/a,N/A
Flock of Dudes,SM,n/a,n/a,n/a,n/a,9/30/2016
Florence Foster Jenkins,Par.,"$26,266,682","1,528","$6,601,313","1,528",8/12/2016
Floundering,Strand,"$20,031",2,"$2,604",1,11/4/1994
FLOW: For Love of Water,Osci.,"$142,569",11,"$3,644",1,3/21/2008
Flower Drum Song,Uni.,n/a,n/a,n/a,n/a,11/9/1961
The Flower of Evil,Palm,"$182,163",16,"$12,419",2,10/10/2003
The Flower of My Secret,SPC,"$1,032,180",n/a,n/a,n/a,3/8/1996
Flowers,MBox,"$61,568",5,"$6,572",1,10/30/2015
Flowers in the Attic,NW,"$15,151,736","1,095","$5,020,317","1,051",11/20/1987
The Flowers of War,WHE,"$311,434",30,"$48,448",30,1/20/2012
Flubber,BV,"$92,977,226","2,679","$26,725,207","2,641",11/26/1997
The Fluffer,FRun,"$563,373",6,"$19,280",1,11/16/2001
The Fluffy Movie,ORF,"$2,827,393",432,"$1,311,446",432,7/25/2014
Fluke,MGM,"$3,987,768","1,200","$1,435,709","1,200",6/2/1995
Flushed Away,P/DW,"$64,665,672","3,707","$18,814,323","3,707",11/3/2006
The Fly,Fox,"$40,456,565","1,201","$7,007,423","1,195",8/15/1986
Fly Away Home,Sony,"$25,143,818","1,401","$4,708,044","1,320",9/13/1996
The Fly II,Fox,"$20,021,322","1,528","$6,751,371","1,524",2/10/1989
Fly Me to the Moon,Sum.,"$13,816,982",713,"$1,900,523",452,8/15/2008
The Flyboys,DCoa.,"$144,680",17,"$6,845",1,8/15/2008
Flyboys,MGM,"$13,090,630","2,033","$6,004,219","2,033",9/22/2006
Flying Down to Rio,RKO,n/a,n/a,n/a,n/a,12/22/1933
Flying Leathernecks,RKO,n/a,n/a,n/a,n/a,8/28/1951
Flying Monsters,NGE,"$5,705,874",27,n/a,6,10/7/2011
The Flying Scotsman,MGM,"$171,817",100,"$78,337",100,5/4/2007
Flying Swords of Dragon Gate,IM,"$170,276",15,"$95,452",15,8/31/2012
Flying Tigers,Rep.,n/a,n/a,n/a,n/a,10/8/1942
Flying: Confessions of a Free Woman,AL,"$20,157",1,"$4,347",1,7/4/2007
Flypaper,IFC,"$5,043",2,"$1,098",2,8/19/2011
Focus,ParC,"$645,418",62,"$24,139",2,10/19/2001
Focus (2015),WB,"$53,862,963","3,323","$18,685,137","3,323",2/27/2015
The Fog,AVCO,"$21,378,361",n/a,n/a,n/a,2/1/1980
The Fog (2005),SonR,"$29,550,869","2,972","$11,752,917","2,972",10/14/2005
The Fog of War,SPC,"$4,198,566",261,"$41,449",3,12/19/2003
Folks!,Fox,"$6,132,924","1,402","$2,177,518","1,402",5/1/1992
Follow Me Home,NMl.,"$52,155",3,"$17,319",3,2/28/1997
Follow Me: The Yoni Netanyahu Story,ICir,"$112,679",19,"$7,882",1,5/4/2012
Follow That Bird (Sesame St.),WB,"$13,961,370","1,129","$2,415,626","1,129",8/2/1985
Follow That Dream,UA,n/a,n/a,n/a,n/a,4/11/1962
Follow the Fleet,RKO,n/a,n/a,n/a,n/a,2/20/1936
Following,Zeit.,"$48,482",2,"$3,668",1,4/2/1999
A Fond Kiss,Castle,"$30,148",2,"$11,250",2,11/26/2004
Food Beware,FRun,"$1,181",1,$595,1,10/16/2009
Food of Love,TLA,"$43,922",4,"$3,692",1,10/25/2002
"Food, Inc.",Magn.,"$4,417,674",155,"$60,513",3,6/12/2009
Foodfight!,LGF,n/a,n/a,n/a,n/a,N/A
A Fool (Yi ge shao zi),CL,"$8,212",2,"$5,741",2,11/27/2015
Fool for Love,Can.,"$836,156",57,"$55,637",2,12/6/1985
Fool's Gold,WB,"$70,231,041","3,125","$21,589,295","3,125",2/8/2008
Fool's Parade,Col.,n/a,n/a,n/a,n/a,8/18/1971
Foolish,Art.,"$6,033,999",410,"$2,184,633",305,4/9/1999
Foolproof,Ode.,"$460,978",189,"$230,312",189,10/3/2003
Fools of Fortune,NL,"$83,490",9,"$11,422",3,9/14/1990
Fools Rush In,Sony,"$29,481,428","1,701","$8,588,068","1,674",2/14/1997
The Foot Fist Way,ParV,"$234,286",25,"$36,391",4,5/30/2008
Footlight Parade,WB,n/a,n/a,n/a,n/a,10/21/1933
Footloose,Par.,"$80,035,402","1,384","$8,556,935","1,384",2/17/1984
Footloose (2011),Par.,"$51,802,742","3,555","$15,556,113","3,549",10/14/2011
Footnote,SPC,"$2,007,758",101,"$47,528",2,3/9/2012
For a Few Bullets,CL,"$30,142",15,"$17,138",15,7/22/2016
For a Few Dollars More,UA,"$15,000,000",n/a,n/a,n/a,5/10/1967
"For a Good Time, Call... ",Focus,"$1,251,749",107,"$143,935",23,8/31/2012
For a Woman,FM,"$32,286",4,"$6,530",2,5/2/2014
For All Mankind,Apol.,"$770,132",9,"$33,777",6,11/1/1989
For Better or Worse,Sony,"$41,628",24,n/a,n/a,3/17/1995
For Colored Girls,LGF,"$37,729,698","2,127","$19,497,324","2,127",11/5/2010
For Ellen,Trib.,"$12,396",3,"$4,616",1,9/5/2012
For Ever Mozart,NYer,"$25,000",n/a,n/a,n/a,7/4/1997
For Greater Glory,ArcEnt,"$5,672,846",757,"$1,885,608",757,6/1/2012
For Keeps,TriS,"$17,514,553",959,"$4,839,790",922,1/15/1988
For Love of the Game,Uni.,"$35,188,640","2,933","$13,041,685","2,829",9/17/1999
For Love or Money,Uni.,"$11,146,270","1,644","$4,016,220","1,626",10/1/1993
For Me and My Gal,MGM,n/a,n/a,n/a,n/a,10/21/1942
For No Good Reason,SPC,"$67,421",21,"$4,516",2,4/25/2014
For Queen and Country,Atl,"$191,051",33,"$62,771",33,5/19/1989
For Richer or Poorer,Uni.,"$31,642,995","1,954","$6,015,970","1,904",12/12/1997
For Roseanna,FL,"$123,330",6,n/a,n/a,6/18/1997
For the Bible Tells Me So,FRun,"$312,751",15,"$7,412",1,10/5/2007
For the Boys,Fox,"$17,860,280","1,308","$71,348",2,11/22/1991
For the Love of Benji,Fox,"$17,732,000",n/a,n/a,n/a,1/1/1977
For the Moment,JAR,"$121,548",3,"$7,917",3,4/19/1996
For Whom the Bell Tolls,Par.,n/a,n/a,n/a,n/a,7/14/1943
For Your Consideration,WIP,"$5,549,923",625,"$372,012",23,11/17/2006
For Your Eyes Only,MGM,"$54,812,802",n/a,"$6,834,967",952,6/26/1981
The Forbidden Dance,Col.,"$1,823,154",637,"$720,864",637,3/16/1990
Forbidden Films,Zeit.,n/a,n/a,n/a,n/a,5/13/2015
Forbidden Games (1952),Rialto,"$19,889",1,"$4,316",1,4/24/2015
The Forbidden Kingdom,LGF,"$52,075,270","3,151","$21,401,121","3,151",4/18/2008
Forbidden Planet,MGM,n/a,n/a,n/a,n/a,3/15/1956
The Forbidden Room,KL,"$34,404",5,n/a,n/a,10/7/2015
Force,FoxS,n/a,58,n/a,58,9/30/2011
Force 10 From Navarone,AIP,"$7,230,000",n/a,n/a,n/a,12/22/1978
Force Majeure,Magn.,"$1,359,497",68,"$23,309",2,10/24/2014
Forced Vengeance,MGM,"$6,660,333",576,"$1,109,011",576,7/30/1982
Forces of Nature,DW,"$52,888,180","2,335","$13,510,728","2,058",3/19/1999
The Forecaster,FOR,"$10,172",1,n/a,n/a,3/27/2015
A Foreign Affair,Inn.,"$28,909",10,"$12,820",10,5/7/2004
Foreign Correspondent,UA,n/a,n/a,n/a,n/a,8/16/1940
The Forest,Focus,"$26,594,261","2,509","$12,741,176","2,451",1/8/2016
Forever,Icar.,"$23,828",1,"$5,202",1,9/12/2007
Forever (2015),Mont.,"$1,598",1,n/a,n/a,9/11/2015
Forever Strong,Crane,"$719,556",259,"$218,090",259,9/19/2008
Forever Young,WB,"$55,956,187","1,710","$5,609,875","1,710",12/18/1992
Forever Young (2015),CL,"$149,761",14,"$70,047",14,7/10/2015
"Forever, Lulu",TriS,"$36,786",1,"$10,126",1,4/24/1987
Forget Baghdad,Arab,"$3,741",1,"$2,207",1,12/5/2003
Forget Paris,Sony,"$33,177,694","1,609","$5,812,656","1,069",5/19/1995
Forgetting Sarah Marshall,Uni.,"$63,172,463","2,872","$17,725,330","2,798",4/18/2008
Forgive Me Father,MyrE,"$582,787",6,"$4,220",5,1/26/2001
Forgiveness of Blood,IFC,"$126,700",12,"$26,724",3,2/24/2012
Forgiving Dr. Mengele,FRun,"$10,403",1,"$2,754",1,2/24/2006
Forgiving the Franklins,Reg.,n/a,n/a,n/a,n/a,N/A
The Forgotten,SonR,"$67,133,509","3,144","$21,022,111","3,104",9/24/2004
Forgotten Silver,FRun,"$26,459",1,"$1,740",1,10/3/1997
Forks Over Knives,Pas.,"$739,561",39,"$17,645",1,1/7/2011
Formosa Betrayed,Scre.,"$225,341",16,"$77,326",15,2/26/2010
The Formula,MGM,"$8,894,289",n/a,"$842,985",477,12/19/1980
Formula 17,Strand,"$15,427",1,"$5,124",1,8/26/2005
Formula 51,SGem,"$5,204,007","1,857","$2,817,719","1,857",10/18/2002
Forrest Gump,Par.,"$329,694,499*","2,365","$24,450,602","1,595",7/6/1994
Forrest Gump (IMAX),Par.,"$557,683*",337,"$398,560",337,9/5/2014
The Forsaken,SGem,"$7,288,451","1,514","$3,020,159","1,514",4/27/2001
Forsaken,MOM,n/a,n/a,n/a,n/a,2015
Fort Apache,RKO,n/a,n/a,n/a,n/a,3/9/1948
"Fort Apache, The Bronx",Fox,"$29,200,000",n/a,n/a,n/a,2/6/1981
Fort Courageous,Fox,n/a,n/a,n/a,n/a,5/1/1965
Fort McCoy,Mont.,"$78,948",14,"$4,070",2,8/15/2014
Fortress,Mira.,"$6,739,141","1,204","$4,040,711","1,204",9/3/1993
The Fortune,Col.,n/a,n/a,n/a,n/a,7/3/1975
Forty Guns,Fox,n/a,n/a,n/a,n/a,1957
Forty Shades of Blue,Vita.,"$75,828",7,"$11,940",3,9/30/2005
Forza del Destino at Florence,Emr.,"$52,577",7,"$4,959",2,3/31/2008
Foul Play,Par.,"$44,999,621",n/a,n/a,n/a,7/19/1978
Found Memories,FM,"$10,575",1,"$3,874",1,6/1/2012
The Founder,Wein.,n/a,n/a,n/a,n/a,1/20/2017
The Fountain,WB,"$10,144,010","1,472","$3,768,702","1,472",11/22/2006
The Fountainhead,WB,n/a,n/a,n/a,n/a,7/2/1949
Four Adventures of Reinette and Mirabelle (2011 re-release),FDesk,"$22,039",1,"$5,051",1,7/20/2011
Four Brothers,Par.,"$74,494,381","2,649","$21,176,925","2,533",8/12/2005
Four Christmases,WB (NL),"$120,146,040","3,540","$31,069,826","3,310",11/26/2008
Four Days in September,Mira.,"$397,517",43,"$32,017",6,1/30/1998
Four Eyed Monsters,4Eye,"$3,135",1,"$1,886",1,12/1/2006
The Four Feathers,Par.,"$18,306,166","2,187","$6,857,879","1,912",9/20/2002
The Four Horsemen of the Apocalypse,MPC,"$9,183,673",n/a,n/a,n/a,3/6/1921
Four Lane Highway,SkyI,"$1,393",1,$955,1,6/1/2007
A Four Letter Word,Embr.,"$72,568",5,"$12,101",1,3/28/2008
Four Lions,Drft.,"$304,616",18,"$41,512",8,11/5/2010
Four Rooms,Mira.,"$4,257,354",319,"$427,733",280,12/22/1995
The Four Seasons,Uni.,"$50,427,646",n/a,"$4,365,643",623,5/22/1981
Four Seasons Lodge,FRun,"$58,334",3,"$11,667",1,11/11/2009
Four Weddings and a Funeral,Gram.,"$52,700,832","1,069","$138,486",5,3/11/1994
The Fourth Kind,Uni.,"$25,486,040","2,530","$12,231,160","2,527",11/6/2009
The Fourth Protocol,Lori,"$12,423,831","1,061","$3,636,831","1,061",8/28/1987
The Fourth War,Can.,"$1,305,887","1,005","$776,449","1,005",3/23/1990
The Fox and the Child,PicH,n/a,n/a,n/a,n/a,TBD
The Fox and the Hound,BV,"$39,900,000*",n/a,n/a,n/a,7/10/1981
The Fox and the Hound (re-issue),BV,"$23,556,988*","1,567","$4,819,215","1,567",3/25/1988
Foxcatcher,SPC,"$12,096,300",759,"$270,877",6,11/14/2014
Foxes,MGM,"$7,470,348",n/a,"$221,141",34,2/29/1980
Foxfire,Gold.,"$269,300",218,"$141,617",218,8/23/1996
The FP,Drft.,"$40,557",28,"$15,465",28,3/16/2012
Fracture,NL,"$39,015,018","2,443","$11,014,657","2,443",4/20/2007
Fragile,BMD,n/a,n/a,n/a,n/a,N/A
Frailty,Lions,"$13,110,448","1,497","$4,208,655","1,497",4/12/2002
Framed,Par.,"$2,122,703",n/a,n/a,n/a,2/26/1975
Frances,Uni.,n/a,n/a,n/a,n/a,1982
Frances Ha,IFC,"$4,069,826",233,"$137,398",4,5/17/2013
Francofonia,MBox,"$307,040",25,"$22,083",2,4/1/2016
Frank,Magn.,"$645,186",75,"$16,056",1,8/15/2014
Frank & Jesse,Trim.,"$50,004",n/a,n/a,n/a,10/28/1994
Frank Miller's Sin City: A Dame to Kill For,W/Dim.,"$13,757,804","2,894","$6,317,683","2,894",8/22/2014
Frankenhooker,SGE,"$205,068",n/a,n/a,n/a,6/1/1990
Frankenstein,Uni.,n/a,n/a,n/a,n/a,11/21/1931
Frankenstein Unbound,Fox,"$334,748",34,n/a,n/a,11/2/1990
Frankenweenie,BV,"$35,291,068","3,005","$11,412,213","3,005",10/5/2012
Frankie & Alice,Free,"$10,670*",1,n/a,n/a,2011
Frankie & Alice (2014),LGF,"$695,876*",171,"$350,647",171,4/4/2014
Frankie and Johnny (1966),UA,n/a,n/a,n/a,n/a,3/31/1966
Frankie and Johnny (1991),Par.,"$22,773,535","1,150","$4,768,177","1,150",10/11/1991
Frankie and Johnny Are Married,IFC,"$22,900",4,"$3,730",1,5/26/2004
Frankie Starlight,FL,"$103,365",5,"$12,694",5,11/22/1995
Frantic,WB,"$17,637,950","1,101","$4,359,424","1,101",2/26/1988
Fraternity Row,Par.,"$290,674",n/a,n/a,n/a,2/18/1977
Fraternity Vacation,NW,"$3,333,306",348,"$1,023,186",348,4/12/1985
Fratricide,Koch,"$5,428",2,"$4,343",2,2/16/2007
Fraude,Maya,"$3,637",5,"$2,369",5,10/10/2008
Fraulein,FM,"$5,715",1,"$2,449",1,9/19/2008
Freaked,Fox,"$29,296",2,"$6,957",2,10/1/1993
Freakonomics,Magn.,"$101,270",20,"$31,893",20,10/1/2010
Freaks of Nature,Sony,"$70,958",107,"$42,713",107,10/30/2015
Freaky Friday,BV,"$110,230,332","3,067","$22,203,007","2,954",8/6/2003
Freaky Friday,Dis.,"$25,642,000*",n/a,n/a,n/a,1/21/1977
Freaky Friday (Re-issue),BV,"$300,000*",n/a,n/a,n/a,6/12/1981
Fred Claus,WB,"$72,006,777","3,603","$18,515,473","3,603",11/9/2007
Freddie as F.R.o.7.,Mira.,"$1,119,368","1,257","$501,230","1,257",8/28/1992
Freddy Got Fingered,Fox,"$14,254,993","2,271","$7,098,459","2,271",4/20/2001
Freddy Vs. Jason,NL,"$82,622,655","3,014","$36,428,066","3,014",8/15/2003
Freddy's Dead: The Final Nightmare,NL,"$34,872,033","1,862","$12,966,525","1,862",9/13/1991
Free Angela and All Political Prisoners,Code,"$194,102",16,"$69,306",16,4/5/2013
Free Birds,Rela.,"$55,750,480","3,736","$15,805,237","3,736",11/1/2013
Free Enterprise,Reg.,"$30,229",9,"$13,086",9,6/4/1999
Free Fire,A24,n/a,n/a,n/a,n/a,TBD
Free Men,FM,"$53,810",4,n/a,n/a,3/16/2012
Free Radicals,Kino,"$1,443",1,"$1,443",1,7/23/2004
Free Radicals: A History of Experimental Film,KL,"$3,804",1,"$1,350",1,8/3/2012
The Free Speech Apocalypse,PMD,"$3,726",5,n/a,n/a,11/5/2015
Free State of Jones,STX,"$20,810,036","2,815","$7,572,206","2,815",6/24/2016
Free Style,Gold.,"$141,108",260,"$97,764",260,10/9/2009
Free the Mind,ICir,"$157,201",6,"$12,215",1,5/3/2013
Free the Nipple,IFC,"$4,198",1,$606,1,12/12/2014
Free Willy,WB,"$77,698,625","1,937","$7,868,829","1,476",7/16/1993
Free Willy 2: The Adventure Home,WB,"$30,077,111","2,301","$7,039,608","1,931",7/21/1995
Free Willy 3: The Rescue,WB,"$3,446,539","1,258","$992,651","1,258",8/8/1997
Free Zone,NYer,"$32,381",2,"$8,618",2,4/7/2006
The Freebie,P4,"$16,613",4,"$4,309",1,9/17/2010
Freedom on My Mind,Tara,"$71,176",1,"$4,272",1,6/22/1994
Freedom Writers,Par.,"$36,605,602","2,286","$9,405,582","1,360",1/5/2007
Freedomland,SonR,"$12,512,886","2,361","$5,833,562","2,361",2/17/2006
Freeheld,LGF,"$573,335",148,"$37,983",5,10/2/2015
Freejack,WB,"$17,129,026","1,560","$6,736,243","1,551",1/17/1992
Freeriders,WM,"$2,750,064",30,"$264,548",11,10/20/1998
Freestyle: The Art of Rhyme,Palm,"$12,600",1,"$4,842",1,7/16/2004
Freetown,Purd.,"$401,328",124,"$118,553",124,4/8/2015
Freeway,Roxie,"$295,493",9,"$14,945",6,8/23/1996
Freeze Frame,First,"$1,100",1,"$1,100",1,12/10/2004
The French Connection,Fox,"$51,700,000",n/a,n/a,n/a,10/7/1971
The French Connection 2,Fox,"$12,484,444",n/a,n/a,n/a,5/18/1975
French Gigolo (Cliente),IFC,"$3,021",n/a,n/a,n/a,3/21/2014
French Kiss,Fox,"$38,896,854","1,754","$9,018,022","1,721",5/5/1995
The French Lieutenant's Woman,MGM,"$26,890,068",n/a,n/a,n/a,9/18/1981
The French Minister,IFC,"$12,027",1,"$3,800",1,3/21/2014
French Twist,Mira.,"$1,026,646",n/a,n/a,n/a,1/19/1996
Frenzy,Uni.,n/a,n/a,n/a,n/a,6/21/1972
Frequency,NL,"$45,010,278","2,631","$9,025,584","2,621",4/28/2000
Frequently Asked Questions About Time Travel,PicH,n/a,n/a,n/a,n/a,N/A
Fresh,Mira.,"$8,094,616",413,"$2,921,660",411,8/19/1994
Fresh (2010),REI,"$25,115",3,n/a,n/a,4/9/2010
Fresh Horses,Col.,"$6,640,346","1,276","$3,074,292","1,272",11/18/1988
The Freshman,TriS,"$21,460,601","1,044","$205,876",6,7/20/1990
Freshman Orientation,Reg.,"$10,718",2,$930,1,8/31/2007
Frida,Mira.,"$25,885,000",794,"$205,996",5,10/25/2002
Friday,NL,"$27,467,564",883,"$6,589,341",865,4/28/1995
Friday After Next,NL,"$33,253,609","1,621","$13,010,767","1,616",11/22/2002
Friday Night,Wells,"$156,918",5,"$9,381",3,5/23/2003
Friday Night Lights,Uni.,"$61,255,921","3,004","$20,269,025","2,667",10/8/2004
Friday the 13th (1980),Par.,"$39,754,601",n/a,"$5,816,321","1,100",5/9/1980
Friday the 13th (2009),WB (NL),"$65,002,019","3,105","$40,570,365","3,105",2/13/2009
Friday the 13th (2016),Par.,n/a,n/a,n/a,n/a,1/13/2017
Friday the 13th - Part V,Par.,"$21,930,418","1,759","$8,032,883","1,759",3/22/1985
Friday the 13th Part 2,Par.,"$21,722,776",n/a,"$6,429,784","1,350",4/30/1981
Friday the 13th Part 2 in 3D,WB,n/a,n/a,n/a,n/a,TBD
Friday the 13th Part III,Par.,"$34,581,519*","1,079","$9,406,522","1,079",8/13/1982
Friday the 13th Part III (Re-issue),Par.,"$2,108,548*",520,"$788,797",520,5/13/1983
Friday the 13th Part VI,Par.,"$19,472,057","1,610","$6,750,837","1,610",8/1/1986
Friday the 13th Part VII,Par.,"$19,170,001","1,796","$8,245,038","1,796",5/13/1988
Friday the 13th Part VIII,Par.,"$14,343,976","1,683","$6,251,310","1,683",7/28/1989
Friday the 13th: Final Chapter,Par.,"$32,980,880","1,600","$11,183,148","1,594",4/13/1984
Fried Green Tomatoes,Uni.,"$82,418,501","1,331","$105,317",5,12/27/1991
Friend Request,Free,n/a,n/a,n/a,n/a,10/7/2016
Friended to Death,N/A,n/a,n/a,n/a,n/a,5/2/2014
Friends and Family,Reg.,"$127,212",4,"$8,804",1,5/16/2003
Friends and Lovers,Lions,"$33,543",53,"$33,543",53,4/16/1999
Friends and Romans,Pala.,"$20,136",14,n/a,1,10/23/2015
Friends with Benefits,SGem,"$55,802,754","2,926","$18,622,150","2,926",7/22/2011
Friends with Kids,RAtt.,"$7,251,073",640,"$2,019,083",369,3/9/2012
Friends with Money,SPC,"$13,368,437","1,010","$589,332",28,4/7/2006
Fright Night,Col.,"$24,922,237","1,545","$6,118,543","1,542",8/2/1985
Fright Night (2011),BV,"$18,302,607","3,114","$7,714,388","3,114",8/19/2011
Fright Night II,NCeV,"$2,983,784",161,"$548,231",148,5/19/1989
The Frightened City,AAP,n/a,n/a,n/a,n/a,7/20/1962
The Frighteners,Uni.,"$16,759,216","1,675","$5,565,495","1,669",7/19/1996
The Frisco Kid,WB,"$9,346,177",n/a,"$160,292",26,7/13/1979
Frisk,Strand,"$87,433",4,"$10,110",1,3/22/1996
Fritz Lang's 'M' (2013 re-release),KL,"$35,566",3,"$6,123",1,3/15/2013
Fritz Lang's Destiny (2016 re-release),KL,"$12,156",1,"$2,334",1,5/20/2016
Frogs for Snakes,Art.,"$21,589",29,"$12,191",29,5/21/1999
From Afar,Strand,"$30,169",3,"$5,136",1,6/8/2016
From Beneath,Noct.,"$144,123",18,"$47,628",18,8/10/2012
From Beyond,EP,"$1,261,000",190,"$514,417",190,10/24/1986
From Dusk Till Dawn,Mira.,"$25,836,616","2,007","$10,240,805","2,004",1/19/1996
From Hell,Fox,"$31,602,566","2,334","$11,014,818","2,305",10/19/2001
From Here to Eternity (50th Anniversary),SRep,"$36,416",5,"$18,176",5,12/5/2003
From Justin to Kelly,Fox,"$4,928,883","2,001","$2,715,848","2,001",6/20/2003
From Mao to Mozart,MGM,"$1,205,934",n/a,n/a,n/a,4/10/1981
From Mayerling to Sarajevo (2015 re-issue),FDesk,"$5,247",1,"$5,247",1,3/27/2015
From Mexico with Love,RAtt.,"$548,787",279,"$334,340",279,10/9/2009
From Paris with Love,LGF,"$24,077,427","2,722","$8,158,860","2,722",2/5/2010
From Prada to Nada,LGF,"$3,033,623",261,"$1,115,638",256,1/28/2011
"From Russia, with Love",UA,"$24,796,765",n/a,n/a,n/a,4/8/1964
From the East,Icar.,"$2,436",1,$564,1,4/17/2016
From the Hip,DEG,"$9,518,342",971,"$2,645,437",970,2/6/1987
From the Rough,Free,n/a,n/a,n/a,n/a,4/25/2014
From this Day Forward,Argo.,n/a,n/a,n/a,n/a,6/24/2016
From Up on Poppy Hill,GK,"$1,002,895",49,"$57,585",2,3/15/2013
The Front,Col.,n/a,n/a,n/a,n/a,9/17/1976
Front Cover,Strand,"$23,001",3,"$6,907",1,8/5/2016
The Front Line,WGUSA,"$11,018",6,"$7,188",6,1/20/2012
The Front Page,Uni.,n/a,n/a,n/a,n/a,12/17/1974
Frontera,Magn.,"$59,696",14,"$10,962",3,9/5/2014
Frontrunners,Osci.,"$26,976",6,"$6,888",1,10/15/2008
Frost/Nixon,Uni.,"$18,622,031","1,105","$180,708",3,12/5/2008
Frozen,BV,"$400,738,009","3,742","$243,390",1,11/22/2013
Frozen (2010),Anch.,"$246,176",106,"$131,395",106,2/5/2010
Frozen River,SPC,"$2,511,476",96,"$70,234",7,8/1/2008
Fruitvale Station,Wein.,"$16,101,339","1,086","$386,291",7,7/12/2013
Fuel,N/A,"$32,465",4,"$12,386",4,9/18/2009
The Fugitive,WB,"$183,875,760","2,425","$23,758,855","2,340",8/6/1993
The Fugitive (1947),RKO,n/a,n/a,n/a,n/a,11/3/1947
Fugitive Pieces,Gold.,"$635,783",38,"$102,212",30,5/2/2008
Fukrey,Excel,"$125,279",57,"$74,110",57,6/14/2013
Full Battle Rattle,MEnd,"$12,306",1,"$3,216",1,7/9/2008
Full Frontal,Mira.,"$2,512,846",214,"$739,834",208,8/2/2002
Full Grown Men,Emr.,"$13,716",2,"$3,757",1,6/27/2008
Full Metal Jacket,WB,"$46,357,676","1,075","$2,217,307",215,6/26/1987
The Full Monty,FoxS,"$45,950,122",783,"$176,585",6,8/15/1997
Full Moon in Blue Water,TWE,"$450,726",56,"$212,963",56,11/23/1988
Full Moon in Paris,FM,"$15,726",1,"$5,040",1,4/17/2015
Full of It,NL,"$14,273",15,"$11,431",15,3/2/2007
The Full Picture,N/A,"$3,467",1,"$1,358",1,6/11/2010
Full-Tilt Boogie,Mira.,"$15,313",6,"$9,895",6,7/31/1998
Fullmetal Alchemist: The Sacred Star of Milos,Elev.,"$177,802",42,"$119,300",42,1/20/2012
Fulltime Killer,Palm,"$23,124",5,"$3,676",1,3/21/2003
The Fun House,Uni.,"$7,886,857",n/a,"$2,765,456",814,3/13/1981
Fun Size,Par.,"$9,409,538","3,016","$4,101,017","3,014",10/26/2012
Fun with Dick and Jane,Sony,"$110,332,737","3,239","$14,383,515","3,056",12/21/2005
The Funeral,Oct.,"$1,227,324",70,"$41,768",2,11/1/1996
