studio,genres,num_voted_users,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes,Type,Year,Runtime,Budget,budget.diff,Revenue,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6
Par.,Biography,275869,389,7.9,2.35,36000,R,2010,116,25000000,-18423745.41,129190869,2,2,2,2,3,3
BV,Biography,197412,720,7.4,2.35,71000,PG13,2012,149,65000000,22417764.86,275293450,4,3,2,2,3,3
Par.,Comedy,168717,178,6.2,2.35,24000,R,2011,108,25000000,-14249103.35,147780440,2,2,2,4,3,3
BV,Action,66308,225,5.5,2.35,0,PG,2005,95,56000000,15231497.34,113006880,2,1,2,2,3,3
ORF,Action,28429,110,5.8,2.35,0,R,2015,115,40000000,-2177171.7,10664749,2,3,2,5,3,3
LGF,Fantasy,277172,986,7,2.35,66000,R,2012,95,30000000,-12582235.14,66486080,1,3,1,2,3,3
DW,Comedy,303864,596,7.3,1.85,16000,PG13,2004,128,60000000,16641175.81,219417255,2,2,2,2,3,3
Sony,Action,145350,643,5.5,2.35,0,PG13,2000,98,92000000,47222477.06,264105545,2,3,2,4,3,3
Dis.,Animation,133348,204,7.7,1.37,0,Approved,1937,83,1488423,0,184925486,1,3,4,4,3,3
Orion,Biography,270790,549,8.3,2.35,16000,R,1984,160,18000000,4613488.68,51973029,1,3,4,2,3,3
BV,Drama,318955,460,8.1,1.85,75000,PG13,2011,146,25000000,-14249103.35,124272124,2,2,4,4,3,3
Sony,Action,255257,374,7,2.35,0,R,2008,111,27000000,-13963509.83,42431017,2,2,2,2,3,3
LGS,Drama,351274,457,8,1.85,131000,PG13,2012,102,13000000,-29582235.14,33400000,2,2,2,2,3,3
Wein.,Biography,503631,636,8,1.85,64000,R,2010,118,15000000,-28423745.41,414211549,2,3,2,2,3,3
SonR,Action,142569,737,5.8,2.35,10000,PG13,2002,124,70000000,28955704.27,277448382,2,3,4,4,3,3
Sony,Action,12276,117,6.3,2.35,21000,PG13,2016,107,20000000,-38895023.74,46069568,2,2,2,2,3,3
BV,Action,151424,252,6.3,2.35,0,PG13,2009,89,80000000,39698754.96,122444772,2,1,2,2,3,3
Uni.,Action,316018,2618,7.2,2.35,0,PG13,2005,187,207000000,166231497.3,550000000,2,3,2,2,3,3
MGM,Action,72085,263,6.8,2.35,2000,PG,1981,127,28000000,17180555.56,195312802,2,3,2,2,3,3
Par.,Action,219171,388,6.9,1.33,19000,PG,1986,110,15000000,2017016.47,356830601,1,3,2,2,3,3
ORF,Comedy,9509,53,3.5,0,11000,R,2016,92,20000000,-38895023.74,21164799,2,3,4,4,3,3
Fox,Comedy,79094,129,5.4,1.85,0,PG,2009,89,30000000,-10301245.04,114663461,2,3,3,4,3,3
Uni.,Action,142448,319,7.9,1.85,14000,R,1980,133,27000000,12932608.7,115229890,2,3,4,3,3,3
Lions,Horror,188679,864,6.6,1.85,0,R,2005,92,4000000,-36768502.66,152925093,3,3,3,2,3,3
Sony,Action,178126,511,6.6,2.35,0,R,2003,147,130000000,85940108.04,273339556,2,2,3,2,3,3
Uni.,Action,212106,1445,5.7,1.85,0,PG13,2003,138,137000000,92940108.04,245360480,2,2,2,2,3,3
Uni.,Comedy,200260,431,6.4,1.85,0,R,2001,108,30000000,-12636662.38,287553595,2,3,2,4,3,3
TriS,Drama,6276,55,6.8,1.85,16000,PG,2016,117,16000000,-42895023.74,77000000,2,3,4,2,3,3
Sony,Comedy,310540,669,6.7,2.35,97000,R,2013,107,32000000,-12204533.29,126041322,2,3,2,2,3,3
WB,Comedy,95294,363,7.8,2.35,12000,R,1974,93,2600000,-3860384.615,119500000,1,3,4,3,3,3
Rog.,Comedy,395921,859,8,2.35,19000,R,2004,99,4000000,-39358824.19,30039392,3,2,3,2,3,3
Fox,Comedy,92712,294,5.1,1.85,6000,R,2009,100,16000000,-24301245.04,31556061,2,2,4,4,3,3
WBNL,Comedy,353442,387,6.9,2.35,31000,R,2011,98,35000000,-4249103.35,117000000,2,3,1,4,3,3
MGM,Biography,235133,494,8.3,1.85,0,R,1980,129,18000000,3932608.7,23000000,2,3,4,2,3,3
WB,Action,172217,405,6.3,2.35,0,PG13,1996,106,70000000,35010939.14,101371017,2,5,2,2,3,3
Focus,Biography,32382,99,7,2.35,13000,R,2014,112,5000000,-36642067.61,2450846,2,2,2,2,3,3
Fox,Crime,80861,431,5.3,2.35,24000,R,2013,117,25000000,-19204533.29,71009334,2,2,1,1,3,3
MGM,Comedy,139184,243,6.4,1.85,12000,R,2010,101,36000000,-7423745.41,64572262,2,2,2,2,3,3
LGF,Action,65709,194,5.1,2.35,15000,PG13,2014,92,65000000,23357932.39,71154592,2,2,2,4,3,3
WB,Comedy,157051,261,6.7,1.85,29000,R,2012,88,12000000,-30582235.14,100000000,1,1,5,4,3,3
Uni.,Comedy,172112,181,6.7,1.85,39000,R,2012,113,50000000,7417764.86,234989584,4,3,2,3,3,3
BV,Action,259492,415,7.4,2.35,51000,R,1996,136,75000000,40010939.14,335062621,2,2,2,2,3,3
WB,Action,87451,660,3.3,2.35,0,PG13,2004,104,100000000,56641175.81,82102379,2,2,2,4,3,3
Fox,Animation,57276,146,5.2,1.85,0,PG,2007,92,60000000,20615497.1,361366633,2,3,2,2,3,3
Fox,Horror,87494,540,6.1,1.85,0,R,2003,84,12600000,-31459891.96,28650575,2,2,4,2,3,3
BV,Adventure,101178,283,6.3,2.35,10000,G,2011,106,200000000,160750896.7,559852396,2,3,2,3,3,3
Uni.,Thriller,18656,137,6.7,1.85,933,Approved,1966,128,3000000,-2324000,13000000,2,3,2,4,3,3
WBNL,Horror,81699,291,5.4,2.35,45000,R,2014,99,6500000,-35142067.61,255273813,1,3,4,1,3,3
EXCL,Drama,23334,87,6.2,2.35,0,R,2013,100,16000000,-28204533.29,318982,2,3,2,4,3,3
MGM,Action,74374,225,6.6,2.35,0,PG,1983,131,27500000,11822600,183700000,2,3,2,2,3,3
Sony,Action,221521,1049,7.2,1.85,0,R,1997,129,105000000,61931143.78,121214377,4,4,4,4,3,3
Dim.,Action,98472,492,5.9,1.85,0,PG13,2005,118,88000000,47231497.34,105316267,2,2,4,4,3,3
PDW,Adventure,211971,326,6.1,1.85,0,PG,2007,93,160000000,120615497.1,798958165,4,2,2,2,3,3
Uni.,Action,202382,751,5.9,2.35,44000,PG13,2012,131,209000000,166417764.9,303025485,2,3,4,4,3,3
Mira.,Comedy,119590,548,5.2,1.85,0,R,2001,83,45000000,2363337.62,141220678,1,1,2,4,3,3
Par.,Action,99035,289,6.2,2.35,17000,PG13,2014,105,60000000,18357932.39,50549107,2,2,1,4,3,3
BV,Action,68720,191,5.8,2.35,0,PG,2004,120,110000000,66641175.81,72178895,2,3,3,2,3,3
Uni.,Action,208422,342,7,1.85,3000,PG13,2008,120,85000000,44036490.17,160388063,2,1,4,2,3,3
PDW,Adventure,119213,154,6.9,1.85,17000,PG,2012,93,145000000,102417764.9,746921274,2,3,4,4,3,3
WB,Adventure,120798,444,6.6,2.35,10000,G,2004,100,165000000,121641175.8,305875730,2,3,4,1,3,3
Fox,Drama,50041,116,7.1,2.35,23000,PG13,2015,128,34000000,-8177171.7,63013281,1,3,4,4,3,3
Dis.,Animation,90360,147,7.5,1.37,0,Approved,1940,88,2600000,558000,84300000,4,3,2,2,3,3
BV,Action,72591,289,6.8,2.35,0,PG,2001,95,120000000,77363337.62,186053725,2,3,4,4,3,3
Par.,Action,283967,535,7.3,2.35,11000,R,1997,138,80000000,36931143.78,245676146,2,2,2,3,3,3
Sony,Action,172405,203,6.8,1.85,0,R,1995,118,19000000,-13026455.82,141407024,2,3,3,4,3,3
Wein.,Drama,105144,405,7.1,1.85,27000,R,2012,137,32000000,-10582235.14,28258060,1,3,2,4,3,3
Fox,Adventure,103022,269,6.3,1.85,0,PG,2005,91,75000000,34231497.34,260696994,1,2,2,1,3,3
WB,Crime,305929,633,7.7,2.35,0,R,2001,122,45000000,2363337.62,104876233,2,3,1,3,3,3
Fox,Action,141533,786,5.8,2.35,0,PG13,2003,110,78000000,33940108.04,179265204,4,3,2,2,3,3
Sony,Comedy,181443,311,6,1.85,12000,PG13,2010,102,80000000,36576254.59,271430189,2,1,2,2,3,3
Uni.,Adventure,208817,296,7.6,2.35,5000,PG,1995,140,52000000,19973544.18,355237933,2,2,1,4,3,3
Wein.,Drama,86251,260,6.5,2.35,58000,PG13,2014,94,25000000,-16642067.61,66980456,2,3,2,2,3,3
BV,Adventure,294810,387,7.8,1.85,29000,PG,2010,100,260000000,216576254.6,591794936,2,4,4,4,3,3
Sony,Action,176598,374,6,2.35,25000,PG13,2010,103,100000000,56576254.59,278346189,2,2,2,4,3,3
Sony,Comedy,422606,555,7.6,1.85,0,R,2007,113,20000000,-19384502.9,169860655,1,1,4,4,3,3
Uni.,Comedy,217507,325,7.2,1.85,0,R,2008,111,30000000,-10963509.83,105173115,1,1,1,2,3,3
LGS,Comedy,184641,326,6.9,2.35,81000,PG13,2013,97,35000000,-9204533.29,116980662,2,3,2,3,3,3
Lions,Horror,299127,1509,7.7,1.85,0,R,2004,103,1200000,-42158824.19,103911669,4,4,3,4,3,3
Sony,Comedy,266103,456,6.8,2.35,11000,PG13,2004,99,75000000,31641175.81,196482882,2,3,2,4,3,3
WB,Drama,259519,431,7.5,2.35,11000,R,1997,144,57000000,13931143.78,152944660,2,3,2,4,3,3
Sony,Biography,338383,611,8,2.35,32000,PG13,2006,117,55000000,17105274.32,307077295,2,3,4,4,3,3
WB,Adventure,238747,2153,7.1,1.85,11000,PG13,2001,146,100000000,57363337.62,235926552,2,1,4,2,3,3
WBNL,Drama,83893,132,6.8,2.35,15000,PG13,2014,106,11000000,-30642067.61,78874843,3,3,1,4,3,3
Fox,Adventure,176169,548,6.6,2.35,0,R,2000,119,40000000,-4777522.94,144056873,2,3,2,4,3,3
BV,Adventure,119675,216,6.6,1.78,0,G,1995,81,55000000,22973544.18,346079773,4,2,4,1,3,3
Uni.,Adventure,213226,648,7.7,2.35,15000,R,1998,118,18500000,-25092584.27,10680275,1,3,1,2,3,3
BV,Comedy,209133,962,7.6,2.35,0,R,2001,110,21000000,-21636662.38,71441250,1,3,2,2,3,3
BV,Action,225282,339,6.8,2.35,0,R,1997,115,75000000,31931143.78,224012234,2,3,2,2,3,3
Rela.,Action,138190,405,6.1,1.85,30000,R,2011,110,75000000,35750896.65,226904017,1,3,2,4,3,3
WB,Action,101840,193,6.2,2.35,0,PG13,1985,107,12305523,-1388309.55,36230219,1,3,4,1,3,3
LGF,Horror,88529,262,5.8,1.85,0,R,2008,92,10800000,-30163509.83,113857533,2,2,1,2,3,3
Par.,Adventure,240962,724,7.7,2.35,36000,PG13,2010,110,38000000,-5423745.41,252276927,2,3,2,4,3,3
Par.,Action,43743,293,5.4,2.35,0,PG,1989,107,30000000,11333530.35,70200000,4,3,4,2,3,3
Focus,Comedy,76791,100,6.1,2.35,0,R,2014,94,8000000,-33642067.61,26049082,2,1,2,2,3,3
Uni.,Action,116994,324,6.3,2.35,35000,PG13,2013,118,175000000,130795466.7,150962475,2,3,4,4,3,3
BV,Action,33042,90,5.1,2.35,0,PG,2009,88,150000000,109698755,292817841,1,3,2,2,3,3
Par.,Adventure,61621,219,7.3,2.35,0,PG,1986,119,24000000,11017016.47,133000000,2,3,2,2,3,3
WBNL,Adventure,106416,205,6.3,2.35,22000,PG13,2013,114,195000000,150795466.7,197687603,2,3,2,4,3,3
BV,Action,149922,438,6.6,2.35,0,PG,2008,150,225000000,184036490.2,419651413,4,3,4,4,3,3
Uni.,Comedy,296904,604,6.7,1.85,0,PG13,2003,101,80000000,35940108.04,484572835,2,3,2,2,3,3
Wein.,Action,48675,214,6.8,1.85,16000,R,2015,103,5000000,-37177171.7,54418872,2,3,2,4,3,3
NL,Action,191437,582,7.1,2.35,0,R,1998,120,45000000,1407415.73,131183530,2,3,1,2,3,3
WB,Action,126357,497,7.3,2.35,0,PG,1978,143,55000000,46954992.41,300218018,4,3,4,4,3,3
Focus,Biography,497946,761,8.5,1.85,21000,R,2002,150,35000000,-6044295.73,120072577,2,2,4,4,3,3
Fox,Comedy,171151,513,6.8,1.85,0,R,2004,108,25000000,-18358824.19,30411183,2,3,1,3,3,3
Fox,Action,105478,291,6.2,1.37,0,R,1990,108,35000000,11289980.87,57120318,1,2,4,4,3,3
Fox,Adventure,131217,380,7.6,2.35,0,PG13,1989,139,70000000,51333530.35,90000098,4,3,2,2,3,3
Sony,Action,136019,443,5.8,2.35,14000,PG13,2011,119,120000000,80750896.65,227817248,2,2,2,2,3,3
Uni.,Adventure,192462,334,7,2.35,42000,R,2011,104,40000000,750896.65,97552050,2,3,2,5,3,3
BV,Comedy,213476,271,6.9,1.85,11000,R,1990,119,14000000,-9710019.13,463000000,2,2,4,1,3,3
WB,Action,53786,211,6.3,2.35,0,PG,2007,90,34000000,-5384502.9,95608995,2,3,4,2,3,3
LGS,Drama,145270,322,7.6,2.35,54000,PG13,2012,113,42000000,-582235.14,180274123,2,2,2,4,3,3
Fox,Drama,224013,2319,7.6,2.35,10000,PG13,2001,127,52500000,9863337.62,179213434,2,2,2,4,3,3
Sony,Comedy,163665,169,6.5,2.35,9000,R,2009,96,38000000,-2301245.04,205298907,2,2,4,2,3,3
DW,Crime,200359,1009,7.7,2.35,0,R,2002,117,80000000,38955704.27,181001478,2,1,2,2,3,3
Uni.,Action,28621,58,5.9,2.35,0,PG13,2016,102,40000000,-18895023.74,124000000,2,2,2,4,3,3
NL,SciFi,357579,1100,7.7,1.85,15000,R,2004,113,13000000,-30358824.19,96060858,1,1,1,2,3,3
Fox,Action,128629,348,5.9,2.35,98000,R,2012,94,69000000,26417764.86,112265139,2,2,2,2,3,3
SGem,Drama,145852,164,6.8,2.35,32000,PG13,2012,104,30000000,-12582235.14,196114570,2,2,1,1,3,3
WB,Action,173530,264,6.7,2.35,40000,R,2013,113,60000000,15795466.71,105200903,2,3,2,4,3,3
Poly,Drama,261069,506,7.8,2.35,25000,R,1997,129,50000000,6931143.78,109423648,2,3,1,4,3,3
Col.,Adventure,149444,273,8.2,2.35,0,PG,1957,161,3000000,977500,33300000,1,3,4,2,3,3
Par.,Action,135601,493,6.1,2.35,0,PG13,1998,120,75000000,31407415.73,140464664,2,3,2,2,3,3
WB,Action,48636,214,6.2,2.35,0,PG,1983,134,36000000,20322600,160000000,2,1,2,1,3,3
Uni.,Comedy,260442,507,7,1.85,0,PG13,2000,108,55000000,10222477.06,330444045,2,2,4,2,3,3
Par.,Action,118951,1382,4.2,2.35,18000,PG,2010,103,150000000,106576254.6,318502923,4,3,2,4,3,3
Par.,Drama,111841,413,8.3,1.33,12000,NotRated,1927,153,92620000,0,650422,1,3,3,2,3,3
Uni.,Action,110364,261,6.9,2.35,0,R,2010,115,100000000,56576254.59,94882889,2,3,2,1,3,3
Par.,Biography,161972,356,8.2,2.35,9000,PG,1980,124,5000000,-9067391.3,26010864,2,2,4,2,3,3
Focus,Adventure,40883,122,6.8,1.85,11000,PG,2014,97,60000000,18357932.39,108255770,2,2,2,3,3,3
LGS,Horror,155153,524,6.8,2.35,58000,R,2012,110,3000000,-39582235.14,77712439,3,3,3,2,3,3
Wein.,Comedy,149835,243,6.6,1.85,0,R,2008,102,24000000,-16963509.83,42105111,2,2,4,2,3,3
SGem,Comedy,276746,264,7.1,1.85,19000,PG13,2010,92,8000000,-35423745.41,74952305,2,4,2,2,3,3
Uni.,Drama,187181,564,7,2.35,0,R,2002,110,41000000,-44295.73,215000000,2,1,2,2,3,3
Uni.,Action,203963,420,7.6,2.35,58000,R,2013,121,40000000,-4204533.29,149295601,2,3,2,2,3,3
WB,Action,127497,287,6.6,2.35,0,R,1998,127,140000000,96407415.73,285444603,2,3,2,4,3,3
DW,Action,103787,615,5.9,2.35,3000,PG13,2002,96,80000000,38955704.27,123729176,2,3,4,2,3,3
BV,Animation,142496,399,7.1,2.35,0,PG,2007,107,85000000,45615497.1,340487652,4,2,2,1,3,3
LGF,Action,65044,173,5,2.35,13000,PG13,2011,106,35000000,-4249103.35,82087155,2,2,2,2,3,3
TriS,Biography,21034,153,5.8,2.35,23000,PG,2014,99,12000000,-29642067.61,101332962,2,1,4,2,3,3
BV,Action,43328,110,5.7,2.35,0,PG,2009,98,50000000,9698754.96,106303988,2,3,4,5,3,3
Uni.,Comedy,29867,181,6.2,2.35,27000,PG13,2015,98,15000000,-27177171.7,61548707,2,5,5,4,3,3
BV,Adventure,38438,241,6.5,1.85,0,PG,2000,82,127500000,82722477.06,354248063,4,3,2,2,3,3
PDW,Adventure,485430,492,8.2,2.35,33000,PG,2010,98,165000000,121576254.6,494878759,2,2,4,2,3,3
WB,Comedy,199039,479,6.2,1.85,82000,PG13,2012,113,150000000,107417764.9,245527149,2,3,2,2,3,3
TriS,Action,84508,308,5.6,2.35,20000,PG13,2014,105,130000000,88357932.39,117831631,2,3,2,2,3,3
WB,Comedy,189413,306,7.5,1.85,15000,PG,1988,92,15000000,706842.11,73326666,2,2,1,4,3,3
Fox,Adventure,106446,227,6.3,1.78,11000,PG,2010,113,155000000,111576254.6,415686217,2,3,2,2,3,3
PDW,Adventure,85086,122,6.7,1.85,0,PG,2006,85,149000000,111105274.3,64459316,2,2,2,2,3,3
Sony,Comedy,244840,372,6.6,2.35,0,PG13,2005,118,70000000,29231497.34,368100420,2,3,4,2,3,3
Uni.,Drama,235992,1768,8,1.85,16000,R,2001,147,15000000,-27636662.38,20117339,1,3,4,2,3,3
Fox,Action,58023,281,6.3,2.35,0,R,1998,116,70000000,26407415.73,116672912,2,2,2,2,3,3
Sony,Crime,31124,313,4.2,2.35,764,R,2006,114,70000000,32105274.32,38629478,2,4,2,2,3,3
Rela.,Crime,83171,231,6.8,2.35,17000,R,2013,116,22000000,-22204533.29,15400000,2,3,2,2,3,3
Uni.,Crime,199056,387,7.8,2.35,14000,R,2008,141,55000000,14036490.17,113020255,2,2,2,2,3,3
WB,Action,194489,192,7.3,2.35,12000,R,2008,114,18000000,-22963509.83,25739015,4,2,2,4,3,3
Uni.,Action,242599,1594,8,2.35,14000,PG13,2005,119,39000000,-1768502.66,38869464,1,3,1,4,3,3
NL,Drama,241030,1437,8,2.35,13000,R,1999,188,37000000,-5518279.65,48451803,2,2,2,4,3,3
WB,Comedy,271691,243,6.8,2.35,0,PG13,2008,104,70000000,29036490.17,225990978,2,2,4,2,3,3
Par.,Drama,86422,363,6.6,1.85,0,R,2004,129,80000000,36641175.81,96105964,2,2,2,2,3,3
Par.,Adventure,183208,337,7.2,2.35,26000,PG,2011,107,135000000,95750896.65,245724603,2,2,2,2,3,3
WB,Comedy,52888,175,6.5,1.85,0,R,2009,108,22000000,-18301245.04,35424826,2,4,4,2,3,3
Fox,Animation,31649,98,4.5,1.85,2000,PG,2009,88,75000000,34698754.96,443140005,2,3,2,2,3,3
DW,Action,263329,899,6.9,2.35,0,PG13,2005,136,126000000,85231497.34,162949164,2,5,2,4,3,3
Sony,Action,146134,393,6.4,2.35,0,R,1997,124,85000000,41931143.78,315156409,2,2,2,3,3,3
Sum.,Drama,186879,791,6.2,2.35,0,PG13,2009,121,50000000,9698754.96,155446362,2,3,3,4,3,3
Uni.,Action,101977,161,6.5,2.35,0,R,2012,109,25000000,-17582235.14,63100000,2,2,1,4,3,3
Sony,Action,135404,318,6.7,2.35,0,PG13,1998,136,95000000,51407415.73,250288523,2,2,2,2,3,3
WB,Action,317166,928,7.7,2.35,0,R,2003,154,140000000,95940108.04,456758981,2,3,2,2,3,3
MGM,Adventure,136667,273,7.1,1.85,13000,PG,1987,96,22700000,9539999.87,38119483,4,1,2,2,3,3
Mira.,Biography,264318,799,7.5,2.35,0,PG13,2004,170,116000000,72641175.81,102000000,2,3,2,3,3,3
Col.,Adventure,382240,660,8.3,1.66,14000,PG,1975,91,400000,-3900000,5028948,3,5,3,5,3,3
TriS,Drama,178731,261,7.7,1.85,0,PG13,1993,125,26000000,3441048.15,206678440,1,3,4,4,3,3
Col.,Comedy,342585,839,8.5,1.66,18000,PG,1964,95,1800000,-2106895.125,9440272,2,3,4,2,3,3
Sony,Action,207613,1144,7.1,2.35,4000,R,2000,165,110000000,65222477.06,215294342,2,3,2,2,3,3
Sony,Comedy,224671,470,7.7,1.85,11000,PG13,1997,139,50000000,6931143.78,314178011,2,1,2,2,3,3
Sony,Biography,283563,312,7.6,1.85,27000,PG13,2011,133,50000000,10750896.65,110206216,2,3,2,3,3,3
Art.,Horror,186786,3400,6.4,1.33,0,R,1999,81,25000,-42493279.65,248000000,3,3,3,3,3,3
NL,Action,160440,394,6.6,2.35,0,PG13,2001,90,90000000,47363337.62,347325802,4,2,2,4,3,3
FoxS,Comedy,205284,439,7.3,2.35,22000,R,2011,115,20000000,-19249103.35,177243185,2,3,4,1,3,3
Mira.,Drama,142067,457,7.4,1.85,0,R,1996,162,27000000,-7989060.86,231976425,2,3,2,4,3,3
Uni.,Comedy,315549,789,7,1.85,0,R,1999,95,11000000,-31518279.65,235483004,1,2,4,4,3,3
BV,Adventure,110390,522,7.2,1.85,6000,PG,2007,96,60000000,20615497.1,137587063,2,3,2,2,3,3
WB,Drama,200556,611,7.4,2.35,15000,PG,1997,150,90000000,46931143.78,171120329,4,2,2,2,3,3
WB,Comedy,375456,292,7.4,2.39,44000,PG13,2011,118,50000000,10750896.65,142851197,2,2,1,5,3,3
Sony,Horror,115050,911,5.9,1.85,4000,PG13,2004,92,10000000,-33358824.19,183474602,2,1,4,2,3,3
WB,Action,138863,1390,5.5,2.35,0,R,2004,175,155000000,111641175.8,167298192,2,2,2,4,3,3
Par.,Comedy,245989,554,7,1.85,0,PG13,2004,97,17000000,-26358824.19,129042871,2,2,2,2,3,3
Sony,Drama,63493,302,5.7,1.85,26000,PG13,2010,133,60000000,16576254.59,204594016,2,3,2,3,3,3
Mira.,Crime,239540,462,7.5,1.85,0,R,1997,154,12000000,-31068856.22,39673162,3,2,3,4,3,3
Mira.,Action,136580,545,7.6,1.85,15000,R,1994,102,15000000,-13472296.88,94000000,2,3,4,2,3,3
BV,Drama,116159,488,7.2,2.35,28000,PG13,2011,146,66000000,26750896.65,177584879,4,3,2,2,3,3
WB,Drama,109188,625,7,2.35,0,R,2005,128,50000000,9231497.34,94000000,2,2,4,4,3,3
LGF,Horror,111087,319,5.9,1.85,0,R,2007,93,10000000,-29384502.9,139352633,2,3,2,2,3,3
BV,Action,136954,346,6.5,2.35,32000,PG13,2014,130,66000000,24357932.39,203277636,2,5,2,2,3,3
Sony,Action,96565,135,5.5,2.35,0,PG13,2010,110,40000000,-3423745.41,136000000,2,3,4,2,3,3
Fox,Comedy,23072,89,5.4,2.35,0,R,2015,90,35000000,-7177171.7,14431253,2,3,2,4,3,3
Uni.,Comedy,90070,248,7.1,1.85,11000,PG13,1990,96,11000000,-12710019.13,48572000,2,4,4,2,3,3
Emb,Action,91017,284,7.2,2.35,0,R,1981,99,6000000,-4819444.44,50000000,2,3,2,4,3,3
SonR,Comedy,122187,339,6.1,1.85,0,PG13,2004,98,37000000,-6358824.19,96455697,1,3,1,1,3,3
Sony,Drama,220591,641,7.8,2.35,17000,PG13,1997,106,36000000,-7068856.22,12532777,2,2,4,4,3,3
MGM,Comedy,57038,261,6.6,2.35,0,PG13,2001,123,75000000,32363337.62,67631903,2,2,2,4,3,3
WB,Drama,20885,60,6.1,1.85,0,R,2015,96,6000000,-36177171.7,11122090,2,3,2,4,3,3
Sony,Action,156348,380,5.5,1.85,0,PG13,2008,113,90000000,49036490.17,201596308,2,3,4,4,3,3
Mira.,Horror,92074,502,6.4,1.85,0,R,1998,104,15000000,-28592584.27,40283321,1,1,4,4,3,3
Fox,Comedy,181380,223,6.9,2.35,0,PG13,1993,125,25000000,2441048.15,441286195,2,1,2,4,3,3
Uni.,Action,114692,285,6.1,1.85,2000,PG,2003,88,40000000,-4059891.96,160583018,1,2,4,2,3,3
Uni.,Biography,80580,375,6.7,2.35,0,PG13,1998,115,50000000,6407415.73,202292902,2,2,2,5,3,3
Fox,Comedy,124501,154,6.1,2.35,0,PG13,2008,111,30000000,-10963509.83,160259319,1,3,3,4,3,3
Uni.,Adventure,51314,265,5.7,2.35,0,PG,1978,116,20000000,11954992.41,187884007,2,3,4,1,3,3
Mira.,Drama,150308,498,7.3,1.85,18000,PG13,2000,121,25000000,-19777522.94,152500343,1,2,2,4,3,3
SGem,Action,198701,1138,6.7,1.85,0,R,2002,100,33000000,-8044295.73,102441078,2,3,2,2,3,3
ORF,Action,105556,157,6.5,2.35,17000,R,2011,116,66000000,26750896.65,57777106,2,5,2,4,3,3
Par.,Action,60476,97,5.9,2.35,0,PG13,1990,107,60000000,36289980.87,157920733,2,2,2,4,3,3
Sony,Crime,25474,138,6.9,2.35,0,PG13,2005,130,50000000,9231497.34,42093706,4,2,2,4,3,3
Fox,Action,156267,340,6.3,2.35,0,PG13,2005,87,32000000,-8768502.66,85167639,2,3,4,2,3,3
WDim.,Comedy,93748,410,5.1,1.85,1000,PG13,2006,83,45000000,7105274.32,178262620,2,5,2,4,3,3
Uni.,Action,202967,378,6.6,2.35,36000,R,2013,103,28000000,-16204533.29,29000000,2,3,2,4,3,3
WB,Adventure,400292,657,8,2.35,14000,R,2006,143,100000000,62105274.32,170877916,2,4,2,2,3,3
BV,Drama,54096,494,7.5,2.35,0,R,2003,139,22000000,-22059891.96,68296293,2,5,2,1,3,3
UA,Action,59941,452,6.8,2.35,0,M,1969,142,7000000,1288978.25,81974493,1,3,1,4,3,3
Orion,Adventure,186485,382,8,2.35,0,PG13,1990,181,22000000,-1710019.13,424208848,2,3,4,1,3,3
NL,Action,156929,624,7.7,2.35,14000,R,1998,100,27000000,-16592584.27,27200316,1,3,2,2,3,3
Uni.,Crime,273108,646,7.6,2.35,0,R,2006,129,45000000,7105274.32,184376254,2,2,2,4,3,3
BV,Drama,271592,2335,6.7,1.85,0,PG13,2002,106,72000000,30955704.27,408247917,2,2,2,3,3,3
Think,Drama,72639,371,7,1.85,19000,PG13,2004,79,7000,-43351824.19,424760,3,3,3,1,3,3
Uni.,Comedy,144021,391,7.1,2.35,0,PG13,2002,101,27000000,-14044295.73,129000000,2,3,4,2,3,3
BV,Action,124185,238,6.1,2.35,11000,PG,2010,109,150000000,106576254.6,215283742,2,3,2,4,3,3
Sony,Action,100821,554,4.8,2.35,0,PG13,2003,106,120000000,75940108.04,259175788,2,1,2,2,3,3
BV,Comedy,72326,116,6.1,2.35,0,PG,2008,99,80000000,39036490.17,212874442,2,3,2,4,3,3
Sony,Animation,71137,229,6.6,2.35,0,PG,2006,91,75000000,37105274.32,73661010,4,3,4,4,3,3
Uni.,Comedy,175607,252,8.3,1.85,0,PG,1973,129,5500000,520272.727,159616327,1,3,1,2,3,3
WB,Adventure,30055,70,5.9,1.85,593,PG,2006,88,50000000,12105274.32,55181129,2,1,2,2,3,3
WB,Action,152826,253,5.8,1.85,19000,PG13,2012,99,150000000,107417764.9,301000000,2,3,2,4,3,3
Mira.,Action,93790,288,6.6,2.35,0,R,2005,113,52000000,11231497.34,77944725,2,3,1,2,3,3
SGem,Drama,104356,186,6.3,2.35,14000,PG13,2010,115,25000000,-18423745.41,114977104,2,2,4,3,3,3
Fox,Comedy,25484,189,5.1,1.85,13000,PG,2012,92,30000000,-12582235.14,54819301,1,3,4,4,3,3
WBNL,Action,54101,210,5.8,1.85,15000,PG13,2014,89,50000000,8357932.39,160602194,2,4,2,4,3,3
LGF,Action,196422,444,7,1.78,0,R,2006,88,12000000,-25894725.68,42931041,2,3,4,4,3,3
Uni.,Action,144337,309,6.1,1.85,0,PG13,1995,135,175000000,142973544.2,264218220,2,3,2,3,3,3
ParC,Drama,281649,458,7.7,2.35,21000,R,2004,101,5000000,-38358824.19,8203235,3,3,3,2,3,3
