studio,genres,num_voted_users,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes,Type,Year,Runtime,Budget,budget.diff,Revenue,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6
WB,Action,76010,205,6.6,2.35,15000,R,2015,114,50000000,7822828.3,71561644,2,2,2,3,2,3
SPC,Drama,399138,731,8.5,2.4,129000,R,2014,105,3300000,-38342067.61,13993092,2,2,3,2,3,3
Fox,Action,64322,145,7.2,2.35,24000,PG,2016,95,145000000,86104976.26,519881355,2,2,2,2,2,1
ORF,Action,32567,106,6.3,2.35,0,R,2016,115,28000000,-30895023.74,12639297,2,3,2,2,5,2
WB,Action,1144337,2701,8.5,2.35,164000,PG13,2012,165,250000000,207417764.9,1081041287,2,2,2,4,2,2
BV,Adventure,665575,704,8.3,1.85,27000,PG,2009,96,175000000,134698755,731342744,4,2,4,4,4,4
Fox,Action,886204,3054,7.9,1.78,33000,PG13,2009,162,237000000,196698755,2781505847,2,2,2,4,2,2
Fox,Drama,249688,548,7.8,1.85,93000,PG13,2014,125,12000000,-29642067.61,305151265,1,2,1,2,5,2
Atwentyfour,Drama,161288,351,8.3,2.35,72000,R,2015,117,6000000,-36177171.7,35401758,2,1,1,2,2,4
Uni.,Drama,220020,1360,4.1,2.35,101000,R,2015,125,40000000,-2177171.7,569651467,2,1,1,2,4,2
LGS,Adventure,341058,713,6.7,2.35,49000,PG13,2014,139,85000000,43357932.39,288747895,1,2,2,1,2,4
Uni.,Crime,87950,207,6.5,2.35,15000,R,2014,113,28000000,-13642067.61,53181600,2,3,2,2,5,5
LGF,Comedy,49671,166,6,2.35,11000,R,2016,102,11500000,-47395023.74,94073028,2,2,1,1,5,2
WBNL,Horror,300110,807,7.5,2.35,131000,R,2013,112,13000000,-31204533.29,318000141,2,2,1,2,5,5
Par.,Biography,780588,1138,8.2,2.35,138000,R,2013,180,100000000,55795466.71,392000694,2,2,4,2,4,2
Par.,Action,242420,918,5.7,2.35,56000,PG13,2014,165,210000000,168357932.4,245500000,2,2,4,2,2,4
BV,Action,414070,532,7.1,2.35,63000,PG13,2013,112,170000000,125795466.7,479765000,2,4,2,4,2,2
WB,Action,1217752,3646,8.7,2.35,25000,R,1999,136,63000000,20481720.35,463517383,2,2,2,2,5,5
BV,Action,809474,2113,8.1,2.35,10000,PG13,2003,143,140000000,95940108.04,655011224,2,3,2,2,2,2
NL,Action,1100446,2417,8.7,2.35,10000,PG13,2002,179,79000000,37955704.27,926287400,2,2,2,2,2,4
LGS,Crime,40568,185,6.4,2.35,18000,R,2015,137,50000000,7822828.3,3324330,2,2,2,4,2,2
Uni.,Action,92364,244,6.5,2.35,15000,R,2014,104,9000000,-32642067.61,108782847,2,1,1,2,3,5
Uni.,Comedy,97697,185,6.5,1.85,40000,PG13,2015,115,29000000,-13177171.7,286633264,2,1,2,2,2,5
LGF,Action,196217,461,7.6,2.39,59000,R,2015,121,30000000,-12177171.7,84025816,1,3,2,4,2,5
LGS,Action,51892,273,5.5,2.35,24000,PG13,2016,127,140000000,81104976.26,143055748,2,2,2,2,2,4
WBNL,Comedy,39440,83,6.1,2.35,15000,R,2016,110,38000000,-20895023.74,112000000,2,2,2,2,2,2
ORF,Crime,293304,552,7.9,2.35,65000,R,2014,117,8500000,-33142067.61,38697217,2,1,2,4,5,5
WB,Action,325264,916,7.3,2.35,112000,R,2014,134,58800000,17157932.39,542307423,2,3,3,4,4,4
Par.,Comedy,1251222,1398,8.8,2.35,59000,PG13,1994,142,55000000,26527703.12,677945399,2,3,2,2,2,4
Focus,Action,69484,323,5.9,2.35,28000,R,2016,99,60000000,1104976.26,195725584,2,2,2,1,2,2
Uni.,Fantasy,31915,159,4.4,2.35,18000,PG13,2014,89,5000000,-36642067.61,102529779,3,3,4,2,5,5
BV,Adventure,644348,656,8.5,1.66,17000,G,1994,89,45000000,16527703.12,788241776,4,3,1,1,2,4
Fox,Adventure,67223,126,6.2,1.85,11000,PG,2014,97,127000000,85357932.39,349424282,2,2,2,2,1,4
WB,Crime,136973,275,7.4,2.35,47000,R,2014,141,50000000,8357932.39,83719388,2,1,2,2,4,2
NL,Action,1215718,3189,8.9,2.35,16000,PG13,2003,201,94000000,49940108.04,1118888979,2,3,2,4,2,2
TriS,Action,744891,983,8.5,2.35,13000,R,1991,137,100000000,74800909.09,520000000,2,3,4,2,4,4
WB,Action,175960,360,7.3,2.35,43000,PG13,2015,116,75000000,32822828.3,108145109,2,3,2,2,4,4
WB,Action,477300,621,7.6,1.85,20000,PG13,2009,128,90000000,49698754.96,524028679,2,2,2,2,2,4
WB,Action,139593,720,5.4,2.35,44000,PG13,2015,124,176000003,133822831.3,183987723,2,2,2,2,2,2
Sony,Comedy,84382,158,5.1,1.85,0,R,2014,97,40000000,-1642067.61,126069509,2,3,2,2,2,4
Mira.,Crime,1324680,2195,8.9,2.35,45000,R,1994,154,8000000,-20472296.88,213928762,3,3,3,2,3,3
Uni.,Adventure,732212,809,8.5,1.18,39000,PG,1985,116,19000000,5306167.45,381109762,1,1,2,2,5,5
WB,Action,286095,974,6.6,2.35,0,PG13,2009,115,200000000,159698755,371353001,2,2,2,4,2,2
BV,Adventure,421658,904,7.6,2.24,58000,PG,2013,102,150000000,105795466.7,1274219009,1,3,4,2,4,4
BV,Action,370704,484,6.7,2.35,58000,PG13,2011,136,250000000,210750896.7,1021683000,2,3,3,2,4,4
Atwentyfour,Drama,289508,611,7.7,2.35,109000,R,2015,108,15000000,-27177171.7,36869414,2,2,4,2,5,5
BV,Adventure,62836,345,6.8,2.35,20000,PG,2015,93,175000000,132822828.3,331926147,4,3,2,2,4,4
Sony,Action,470483,2301,8,2.35,0,PG13,2006,144,150000000,112105274.3,599045960,2,3,2,4,2,2
Sony,Action,55617,266,5.2,2.35,14000,PG13,2016,112,38000000,-20895023.74,109902567,3,2,2,2,4,2
WBNL,Drama,146708,362,7.7,2.35,70000,PG13,2015,133,35000000,-7177171.7,137935567,2,3,2,2,3,4
BV,Action,471220,1238,7.1,2.35,0,PG13,2007,169,300000000,260615497.1,961000000,2,3,2,4,2,2
Par.,Drama,126893,440,7.3,2.35,33000,PG13,2016,103,15000000,-43895023.74,108286421,2,2,4,2,5,2
Sony,Action,408302,345,7.2,2.35,39000,R,2012,109,42000000,-582235.14,201585328,2,2,2,4,4,2
Fox,Adventure,60230,118,6.7,1.85,11000,PG,2014,92,132000000,90357932.39,373552094,4,4,4,2,1,1
Par.,Action,536314,738,7,2.35,63000,PG13,2011,115,150000000,110750896.7,444115007,2,2,4,2,3,2
BV,Action,557489,1187,7.2,2.35,95000,PG13,2013,130,200000000,155795466.7,1215439994,2,3,2,2,2,2
WB,Action,431620,741,7.9,2.35,77000,PG13,2014,113,178000000,136357932.4,370541256,2,3,2,4,2,2
Fox,Action,430055,856,6.9,2.35,16000,PG13,1996,145,75000000,40010939.14,816969268,2,3,2,2,4,2
Par.,Action,696338,1055,7.9,2.35,10000,PG13,2008,126,140000000,99036490.17,585174222,2,2,2,2,2,2
Fox,Action,317542,620,7.6,1.85,45000,PG13,2014,130,170000000,128357932.4,708200000,2,2,2,2,4,2
