0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
The Lost Boys (1987),Status Released,Original Language English,Runtime 1h 37m,"Budget $8,500,000.00","Revenue $32,222,567.00",Homepage -,Release Information,Jason Patric,Corey Feldman,Dianne Wiest,Corey Haim,Kiefer Sutherland,Jami Gertz,Full Cast & Crew,
One Deadly Summer (1983),Original Title L'Été meurtrier,Status Released,Original Language French,Runtime 2h 10m,Budget -,Revenue -,Homepage -,Release Information,Isabelle Adjani,Alain Souchon,Suzanne Flon,Jenny Clève,Evelyne Didi,Maria Machado,Full Cast & Crew
Seraphim Falls (2006),Status Released,Original Language English,Runtime 1h 55m,"Budget $18,000,000.00","Revenue $1,196,307.00",Homepage -,Release Information,Liam Neeson,Pierce Brosnan,Michael Wincott,Xander Berkeley,Ed Lauter,Kevin J. O'Connor,Full Cast & Crew,
Anita (1972),Status Released,Original Language Swedish,Runtime 1h 35m,Budget -,Revenue -,Homepage -,Release Information,Christina Lindberg,Stellan Skarsgård,Danièle Vlaminck,Michel David,Erika Wickman,Ewert Granholm,Full Cast & Crew,
Spellbound (1945),Status Released,Original Language English,Runtime 1h 51m,"Budget $1,500,000.00","Revenue $7,000,000.00",Homepage -,Release Information,Ingrid Bergman,Gregory Peck,Michael Chekhov,Rhonda Fleming,Leo G. Carroll,John Emery,Full Cast & Crew,
Robin Hood: Men in Tights (1993),Status Released,Original Language English,Runtime 1h 44m,"Budget $20,000,000.00","Revenue $35,739,755.00",Homepage -,Release Information,Cary Elwes,Dom DeLuise,Roger Rees,Dave Chappelle,Eric Allan Kramer,Patrick Stewart,Full Cast & Crew,
Crimes of Passion (1984),Status Released,Original Language English,Runtime 1h 52m,Budget -,Revenue -,Homepage -,Release Information,Kathleen Turner,Anthony Perkins,Bruce Davison,Annie Potts,John Laughlin,Stephen Lee,Full Cast & Crew,
Trade (2007),Status Released,Original Language English,Runtime 2h 0m,"Budget $12,000,000.00",Revenue -,Homepage http://www.trade-derfilm.de/,Release Information,Kevin Kline,Cesar Ramos,Paulina Gaitán,Alicja Bachleda-Curuś,Marco Pérez,Linda Emond,Full Cast & Crew,
National Security (2003),Status Released,Original Language English,Runtime 1h 28m,Budget -,"Revenue $50,097,949.00",Homepage -,Release Information,Martin Lawrence,Steve Zahn,Colm Feore,Bill Duke,Eric Roberts,Timothy Busfield,Full Cast & Crew,
Marshland (2014),Original Title La isla mínima,Status Released,Original Language Spanish,Runtime 1h 45m,"Budget $4,000,000.00","Revenue $5,169,755.00",Homepage -,Release Information,Raúl Arévalo,Javier Gutiérrez,Antonio de la Torre,Nerea Barros,Salva Reina,Jesús Castro,Full Cast & Crew
Seven Psychopaths (2012),Status Released,Original Language English,Runtime 1h 50m,"Budget $15,000,000.00","Revenue $19,422,261.00",Homepage http://www.sevenpsychopaths.com/,Release Information,Colin Farrell,Sam Rockwell,Christopher Walken,Woody Harrelson,Abbie Cornish,Tom Waits,Full Cast & Crew,
Like Minds (2006),Status Released,Original Language English,Runtime 1h 50m,Budget -,Revenue -,Homepage -,Release Information,Eddie Redmayne,Tom Sturridge,Toni Collette,Richard Roxburgh,Kate Maberly,Full Cast & Crew,,
Ink (2009),Status Released,Original Language English,Runtime 1h 46m,Budget -,Revenue -,Homepage -,Release Information,Chris Kelly,Jessica Duffy,Quinn Hunchar,Jeremy Make,Jennifer Batter,Eme Ikwuakor,Full Cast & Crew,
Shadow of a Doubt (1943),Status Released,Original Language English,Runtime 1h 48m,Budget -,Revenue -,Homepage -,Release Information,Teresa Wright,Joseph Cotten,Macdonald Carey,Henry Travers,Patricia Collinge,Hume Cronyn,Full Cast & Crew,
Metro (2013),Status Released,Original Language Russian,Runtime 2h 10m,"Budget $9,000,000.00",Revenue -,Homepage -,Release Information,Sergey Puskepalis,Anatoliy Belyy,Svetlana Khodchenkova,Katerina Shpitsa,Stanislav Duzhnikov,Ivan Makarevich,Full Cast & Crew,
The Tiger: An Old Hunter's Tale (2015),Original Title 대호,Status Released,Original Language Korean,Runtime 2h 19m,"Budget $5,000.00","Revenue $11,083,449.00",Homepage -,Release Information,Choi Min-sik,Jeong Man-sik,Kim Sang-ho,Seong yoo-bin,Jung Suk-won,Lee Eun-woo,Full Cast & Crew
Doc Hollywood (1991),Status Released,Original Language English,Runtime 1h 40m,Budget -,Revenue -,Homepage -,Release Information,Michael J. Fox,Julie Warner,Barnard Hughes,Woody Harrelson,David Ogden Stiers,Frances Sternhagen,Full Cast & Crew,
The Devil's Rejects (2005),Status Released,Original Language English,Runtime 1h 47m,Budget -,Revenue -,Homepage -,Release Information,Sid Haig,Bill Moseley,Sheri Moon Zombie,William Forsythe,Ken Foree,Matthew McGrory,Full Cast & Crew,
First Knight (1995),Status Released,Original Language English,Runtime 2h 14m,"Budget $55,000,000.00","Revenue $127,600,435.00",Homepage -,Release Information,Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham,Christopher Villiers,Full Cast & Crew,
Baby's Day Out (1994),Status Released,Original Language English,Runtime 1h 39m,"Budget $50,000,000.00","Revenue $16,671,505.00",Homepage -,Release Information,Joe Mantegna,Lara Flynn Boyle,Joe Pantoliano,Brian Haley,Cynthia Nixon,John Neville,Full Cast & Crew,
Junior (1994),Status Released,Original Language English,Runtime 1h 49m,"Budget $60,000,000.00","Revenue $37,000,000.00",Homepage -,Release Information,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,Frank Langella,Pamela Reed,Aida Turturro,Full Cast & Crew,
Love Me If You Dare (2003),Original Title Jeux d'enfants,Status Released,Original Language French,Runtime 1h 33m,Budget -,Revenue -,Homepage -,Release Information,Guillaume Canet,Marion Cotillard,Thibault Verhaeghe,Joséphine Lebas-Joly,Emmanuelle Grönvold,Frédéric Geerts,Full Cast & Crew
Eden (2015),Status Released,Original Language English,Runtime 1h 37m,"Budget $2,300,000.00",Revenue -,Homepage -,Release Information,Jessica Lowndes,Ethan Peck,Diego Boneta,Nate Parker,Mario Casas,Eugene Simon,Full Cast & Crew,
Wild Bill (1995),Status Released,Original Language English,Runtime 1h 38m,"Budget $30,000,000.00",Revenue -,Homepage -,Release Information,Jeff Bridges,Ellen Barkin,John Hurt,Diane Lane,Keith Carradine,David Arquette,Full Cast & Crew,
