0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Dr. Dolittle: Million Dollar Mutts (2009),Status Released,Original Language English,Runtime 1h 30m,Budget -,Revenue -,Homepage -,Release Information,Kyla Pratt,Jason Bryden,Doron Bell,Curtis Caravaggio,Judge Reinhold,Sarah Deakins,Full Cast & Crew,
Disorder (2015),Original Title Maryland,Status Released,Original Language French,Runtime 1h 40m,Budget -,Revenue -,Homepage -,Release Information,Matthias Schoenaerts,Diane Kruger,Paul Hamy,Victor Pontecorvo,Zaïd Errougui-Demonsant,Percy Kemp,Full Cast & Crew
Perfect Stranger (2007),Status Released,Original Language English,Runtime 1h 49m,"Budget $60,795,000.00","Revenue $73,090,611.00",Homepage -,Release Information,Halle Berry,Bruce Willis,Giovanni Ribisi,Richard Portnow,Gary Dourdan,Florencia Lozano,Full Cast & Crew,
The Squid and the Whale (2005),Status Released,Original Language English,Runtime 1h 21m,"Budget $1,500,000.00",Revenue -,Homepage -,Release Information,Jeff Daniels,Laura Linney,Jesse Eisenberg,Owen Kline,William Baldwin,Anna Paquin,Full Cast & Crew,
My Fair Lady (1964),Status Released,Original Language English,Runtime 2h 50m,"Budget $17,000,000.00","Revenue $72,000,000.00",Homepage -,Release Information,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,Gladys Cooper,Jeremy Brett,Full Cast & Crew,
The Big Bang (2011),Status Released,Original Language English,Runtime 1h 41m,"Budget $17,000,000.00",Revenue -,Homepage -,Release Information,Antonio Banderas,Thomas Kretschmann,Sienna Guillory,William Fichtner,Delroy Lindo,Sam Elliott,Full Cast & Crew,
The Anomaly (2014),Status Released,Original Language English,Runtime 1h 37m,Budget -,Revenue -,Homepage https://www.facebook.com/TheAnomalyMovie?fref=ts,Release Information,Ian Somerhalder,Alexis Knapp,Noel Clarke,Luke Hemsworth,Michael Bisping,Art Parkinson,Full Cast & Crew,
Julia X (2011),Status Released,Original Language English,Runtime 1h 32m,"Budget $4,000,000.00",Revenue -,Homepage -,Release Information,Valerie Azlynn,Kevin Sorbo,Alicia Leigh Willis,Joel David Moore,Ving Rhames,Saxon Sharbino,Full Cast & Crew,
Dear Wendy (2005),Status Released,Original Language English,Runtime 1h 45m,Budget -,Revenue -,Homepage -,Release Information,Jamie Bell,Bill Pullman,Michael Angarano,Danso Gordon,Alison Pill,Chris Owen,Full Cast & Crew,
Bilitis (1977),Status Released,Original Language French,Runtime 1h 35m,Budget -,Revenue -,Homepage -,Release Information,Patti D'Arbanville,Bernard Giraudeau,Mathieu Carrière,Gilles Kohler,Mona Kristensen,Irka Bochenko,Full Cast & Crew,
Fred Claus (2007),Status Released,Original Language English,Runtime 1h 56m,Budget -,"Revenue $97,838,349.00",Homepage http://fredclaus.warnerbros.com/,Release Information,Vince Vaughn,Paul Giamatti,John Michael Higgins,Miranda Richardson,Rachel Weisz,Kathy Bates,Full Cast & Crew,
Stone (2010),Status Released,Original Language English,Runtime 1h 45m,"Budget $22,000,000.00","Revenue $9,479,718.00",Homepage http://www.stonemovie.com/stone.html,Release Information,Frances Conroy,Robert De Niro,Edward Norton,Milla Jovovich,Full Cast & Crew,,,
The Visitors II: The Corridors of Time (1998),Original Title Les Visiteurs II : Les Couloirs du Temps,Status Released,Original Language French,Runtime 1h 58m,Budget -,Revenue -,Homepage -,Release Information,Christian Clavier,Jean Reno,Marie-Anne Chazel,Christian Bujeau,Muriel Robin,Claire Nadeau,Full Cast & Crew
Cruel Intentions 2 (2000),Status Released,Original Language English,Runtime 1h 27m,Budget -,Revenue -,Homepage -,Release Information,Robin Dunne,Sarah Thompson,Amy Adams,Barry Flatman,Mimi Rogers,Barclay Hope,Full Cast & Crew,
The Disappearance of Eleanor Rigby: Them (2014),Status Released,Original Language English,Runtime 1h 59m,Budget -,"Revenue $985,007.00",Homepage http://eleanorrigby-movie.com/,Release Information,James McAvoy,Jessica Chastain,Ciarán Hinds,Bill Hader,Viola Davis,Isabelle Huppert,Full Cast & Crew,
The Sorcerer and the White Snake (2011),Original Title Bai she chuan shuo,Status Released,Original Language English,Runtime 1h 40m,Budget -,Revenue -,Homepage -,Release Information,Jet Li,Huang Sheng-Yi,Raymond Lam Fung,Wen Zhang,Charlene Choi,Vivian Hsu,Full Cast & Crew
Joe Dirt (2001),Status Released,Original Language English,Runtime 1h 31m,"Budget $17,700,000.00","Revenue $30,987,695.00",Homepage -,Release Information,David Spade,Brittany Daniel,Dennis Miller,Adam Beach,Jaime Pressly,Fred Ward,Full Cast & Crew,
Eraserhead (1977),Status Released,Original Language English,Runtime 1h 29m,"Budget $10,000.00","Revenue $7,000,000.00",Homepage -,Release Information,Jack Nance,Charlotte Stewart,Allen Joseph,Jeanne Bates,Judith Roberts,Laurel Near,Full Cast & Crew,
The Package (1989),Status Released,Original Language English,Runtime 1h 48m,Budget -,Revenue -,Homepage -,Release Information,Gene Hackman,Joanna Cassidy,Tommy Lee Jones,John Heard,Dennis Franz,Pam Grier,Full Cast & Crew,
Outlaw (2007),Status Released,Original Language English,Runtime 1h 43m,Budget -,Revenue -,Homepage -,Release Information,Sean Bean,Danny Dyer,Rupert Friend,Sean Harris,Lennie James,Bob Hoskins,Full Cast & Crew,
The Hills Have Eyes 2 (2007),Original Title The Hills Have Eyes II,Status Released,Original Language English,Runtime 1h 29m,"Budget $15,000,000.00",Revenue -,Homepage -,Release Information,Michael Bailey Smith,Archie Kao,Jay Acovone,Jeff Kober,Philip Pavel,David Reynolds,Full Cast & Crew
The End of the Tour (2015),Status Released,Original Language English,Runtime 1h 46m,Budget -,"Revenue $3,002,884.00",Homepage http://a24films.com/films/the-end-of-the-tour/,Release Information,Jason Segel,Jesse Eisenberg,Anna Chlumsky,Mamie Gummer,Joan Cusack,Ron Livingston,Full Cast & Crew,
Ma Ma (2015),Original Title Ma ma,Status Released,Original Language Spanish,Runtime 1h 51m,Budget -,Revenue -,Homepage -,Release Information,Penélope Cruz,Luis Tosar,Àlex Brendemühl,Silvia Abascal,Jon Kortajarena,Asier Etxeandia,Full Cast & Crew
Leap of Faith (1992),Status Released,Original Language English,Runtime 1h 48m,Budget -,Revenue -,Homepage -,Release Information,Steve Martin,Debra Winger,Lolita Davidovich,Liam Neeson,Lukas Haas,Meat Loaf,Full Cast & Crew,
Beyond the Sea (2004),Status Released,Original Language English,Runtime 1h 58m,"Budget $23,000,000.00",Revenue -,Homepage -,Release Information,Kevin Spacey,Kate Bosworth,John Goodman,Bob Hoskins,Brenda Blethyn,Greta Scacchi,Full Cast & Crew,
Le Samouraï (1967),Status Released,Original Language French,Runtime 1h 45m,Budget -,"Revenue $39,481.00",Homepage -,Release Information,Alain Delon,François Périer,Nathalie Delon,Cathy Rosier,Catherine Jourdan,Jacques Leroy,Full Cast & Crew,
V/H/S/2 (2013),Status Released,Original Language English,Runtime 1h 35m,Budget -,"Revenue $21,833.00",Homepage -,Release Information,Adam Wingard,Lawrence Michael Levine,Kelsy Abbott,Hannah Hughes,L.C. Holt,Hannah Al Rashid,Full Cast & Crew,
Stay (2005),Status Released,Original Language English,Runtime 1h 39m,"Budget $50,000,000.00","Revenue $8,342,132.00",Homepage -,Release Information,Ewan McGregor,Ryan Gosling,Naomi Watts,Kate Burton,Elizabeth Reaser,Bob Hoskins,Full Cast & Crew,
The Inbetweeners 2 (2014),Status Released,Original Language English,Runtime 1h 36m,Budget -,Revenue -,Homepage -,Release Information,Simon Bird,James Buckley,Blake Harrison,Joe Thomas,Freddie Stroma,Tamla Kari,Full Cast & Crew,
We Are What We Are (2013),Status Released,Original Language English,Runtime 1h 45m,Budget -,"Revenue $81,381.00",Homepage -,Release Information,Bill Sage,Ambyr Childers,Julia Garner,Michael Parks,Wyatt Russell,Kelly McGillis,Full Cast & Crew,
Dinner for Schmucks (2010),Status Released,Original Language English,Runtime 1h 54m,"Budget $69,000,000.00","Revenue $86,387,857.00",Homepage http://www.dinnerforschmucks.com/,Release Information,Steve Carell,Paul Rudd,Stephanie Szostak,Jemaine Clement,Zach Galifianakis,Lucy Punch,Full Cast & Crew,
Fire and Ice: The Dragon Chronicles (2008),Status Released,Original Language English,Runtime 1h 24m,"Budget $3,000,000.00",Revenue -,Homepage http://www.fireandice.ro/,Release Information,Amy Acker,Tom Wisdom,John Rhys-Davies,Arnold Vosloo,Oana Pellea,Răzvan Vasilescu,Full Cast & Crew,
Top Five (2014),Status Released,Original Language English,Runtime 1h 42m,Budget -,"Revenue $25,434,291.00",Homepage http://www.topfivemovie.com/,Release Information,Chris Rock,Rosario Dawson,J.B. Smoove,Gabrielle Union,Romany Malco,Hayley Marie Norman,Full Cast & Crew,
Field of Dreams (1989),Status Released,Original Language English,Runtime 1h 47m,Budget -,"Revenue $84,431,625.00",Homepage -,Release Information,Kevin Costner,Amy Madigan,Gaby Hoffmann,Ray Liotta,Timothy Busfield,James Earl Jones,Full Cast & Crew,
Serpico (1973),Status Released,Original Language English,Runtime 2h 9m,Budget -,"Revenue $29,800,000.00",Homepage -,Release Information,Al Pacino,John Randolph Jones,Jack Kehoe,Biff McGuire,Barbara Eda-Young,Cornelia Sharpe,Full Cast & Crew,
Omen IV: The Awakening (1991),Status Released,Original Language English,Runtime 1h 37m,Budget -,Revenue -,Homepage -,Release Information,Faye Grant,Michael Woods,Michael Lerner,Madison Mason,Ann Hearn,Jim Byrnes,Full Cast & Crew,
White Bird in a Blizzard (2014),Status Released,Original Language English,Runtime 1h 31m,Budget -,Revenue -,Homepage http://www.magpictures.com/whitebirdinablizzard/,Release Information,Shailene Woodley,Eva Green,Christopher Meloni,Shiloh Fernandez,Gabourey Sidibe,Thomas Jane,Full Cast & Crew,
6 Years (2015),Status Released,Original Language English,Runtime 1h 24m,Budget -,Revenue -,Homepage -,Release Information,Taissa Farmiga,Ben Rosenfield,Lindsay Burdge,Joshua Leonard,Jennifer Lafleur,Peter Vack,Full Cast & Crew,
1900 (1976),Original Title Novecento,Status Released,Original Language Italian,Runtime 5h 17m,"Budget $9,000,000.00",Revenue -,Homepage -,Release Information,Robert De Niro,Gérard Depardieu,Dominique Sanda,Stefania Sandrelli,Laura Betti,Donald Sutherland,Full Cast & Crew
Harley Davidson and the Marlboro Man (1991),Status Released,Original Language English,Runtime 1h 38m,"Budget $23,000,000.00",Revenue -,Homepage -,Release Information,Mickey Rourke,Don Johnson,Chelsea Field,Daniel Baldwin,Giancarlo Esposito,Vanessa Williams,Full Cast & Crew,
Dostana (2008),Status Released,Original Language Hindi,Runtime 2h 22m,"Budget $10,000,000.00","Revenue $20,000,000.00",Homepage http://www.dostanathefilm.com/,Release Information,John Abraham,Priyanka Chopra,Bobby Deol,Abhishek Bachchan,Shilpa Shetty,Boman Irani,Full Cast & Crew,
Spring Breakdown (2009),Status Released,Original Language English,Runtime 1h 24m,"Budget $12,300,000.00",Revenue -,Homepage -,Release Information,Amy Poehler,Parker Posey,Rachel Dratch,Amber Tamblyn,Seth Meyers,Will Arnett,Full Cast & Crew,
Teen Beach Movie (2013),Status Released,Original Language English,Runtime 1h 50m,Budget -,Revenue -,Homepage http://www.disneychannel.disney.com/teen-beach-movie,Release Information,Ross Lynch,Maia Mitchell,Grace Phipps,Garrett Clayton,John DeLuca,Chrissie Fit,Full Cast & Crew,
Another 48 Hrs. (1990),Status Released,Original Language English,Runtime 1h 35m,"Budget $38,000,000.00","Revenue $153,518,974.00",Homepage -,Release Information,Eddie Murphy,Nick Nolte,Brion James,Kevin Tighe,Ed O'Ross,Andrew Divoff,Full Cast & Crew,
The Doors (1991),Status Released,Original Language English,Runtime 2h 20m,"Budget $38,000,000.00","Revenue $34,416,893.00",Homepage -,Release Information,Val Kilmer,Meg Ryan,Kyle MacLachlan,Frank Whaley,Kevin Dillon,Michael Wincott,Full Cast & Crew,
Honeymoon in Vegas (1992),Status Released,Original Language English,Runtime 1h 36m,"Budget $25,000,000.00",Revenue -,Homepage -,Release Information,Nicolas Cage,James Caan,Sarah Jessica Parker,Peter Boyle,Pat Morita,Anne Bancroft,Full Cast & Crew,
Little Ashes (2008),Status Released,Original Language English,Runtime 1h 52m,"Budget $2,500,000.00",Revenue -,Homepage -,Release Information,Javier Beltrán,Robert Pattinson,Matthew McNulty,Marina Gatell,Adria Allue,Bruno Oro,Full Cast & Crew,
The First Great Train Robbery (1979),Status Released,Original Language English,Runtime 1h 50m,"Budget $6,000,000.00",Revenue -,Homepage -,Release Information,Sean Connery,Donald Sutherland,Lesley-Anne Down,Alan Webb,Malcolm Terris,Robert Lang,Full Cast & Crew,
Domestic Disturbance (2001),Status Released,Original Language English,Runtime 1h 29m,"Budget $75,000,000.00","Revenue $54,249,294.00",Homepage -,Release Information,John Travolta,Vince Vaughn,Teri Polo,Matt O'Leary,Steve Buscemi,James Lashly,Full Cast & Crew,
Howl (2015),Status Released,Original Language English,Runtime 1h 29m,Budget -,Revenue -,Homepage -,Release Information,Ed Speleers,Shauna Macdonald,Elliot Cowan,Holly Weston,Amit Shah,Rosie Day,Full Cast & Crew,
The Unbearable Lightness of Being (1988),Status Released,Original Language English,Runtime 2h 51m,Budget -,Revenue -,Homepage -,Release Information,Daniel Day-Lewis,Juliette Binoche,Lena Olin,Derek de Lint,Stellan Skarsgård,Erland Josephson,Full Cast & Crew,
Strange Magic (2015),Status Released,Original Language English,Runtime 1h 39m,Budget -,"Revenue $13,603,453.00",Homepage http://lucasfilm.com/strange-magic,Release Information,Alan Cumming,Evan Rachel Wood,Elijah Kelley,Meredith Anne Bull,Sam Palladio,Kristin Chenoweth,Full Cast & Crew,
Avanti! (1972),Status Released,Original Language English,Runtime 2h 20m,Budget -,Revenue -,Homepage -,Release Information,Jack Lemmon,Juliet Mills,Clive Revill,Edward Andrews,Gianfranco Barra,Franco Angrisano,Full Cast & Crew,
8 Women (2002),Original Title 8 femmes,Status Released,Original Language French,Runtime 1h 51m,"Budget $8,000,000.00",Revenue -,Homepage -,Release Information,Catherine Deneuve,Isabelle Huppert,Emmanuelle Béart,Fanny Ardant,Virginie Ledoyen,Ludivine Sagnier,Full Cast & Crew
Murder Ahoy (1964),Status Released,Original Language English,Runtime 1h 33m,Budget -,Revenue -,Homepage -,Release Information,Margaret Rutherford,Stringer Davis,Lionel Jeffries,Charles 'Bud' Tingwell,William Mervyn,Henry Oscar,Full Cast & Crew,
"Jeff, Who Lives at Home (2011)",Status Released,Original Language English,Runtime 1h 23m,"Budget $10,000,000.00","Revenue $4,417,580.00",Homepage -,Release Information,Jason Segel,Ed Helms,Susan Sarandon,Judy Greer,Rae Dawn Chong,Joe Chrest,Full Cast & Crew,
Gigantic (2008),Status Released,Original Language English,Runtime 1h 39m,Budget -,"Revenue $165,888.00",Homepage http://www.thegiganticmovie.com/,Release Information,Zooey Deschanel,John Goodman,Paul Dano,Ed Asner,Jane Alexander,Ian Roberts,Full Cast & Crew,
Practical Magic (1998),Status Released,Original Language English,Runtime 1h 44m,"Budget $75,000,000.00","Revenue $46,683,377.00",Homepage -,Release Information,Sandra Bullock,Nicole Kidman,Evan Rachel Wood,Goran Visnjic,Stockard Channing,Dianne Wiest,Full Cast & Crew,
Romeo and Juliet (1968),Status Released,Original Language English,Runtime 2h 18m,Budget -,"Revenue $38,901,218.00",Homepage -,Release Information,Leonard Whiting,Olivia Hussey,John McEnery,Michael York,Milo O'Shea,Pat Heywood,Full Cast & Crew,
Man of the House (2005),Status Released,Original Language English,Runtime 1h 40m,"Budget $40,000,000.00",Revenue -,Homepage -,Release Information,Tommy Lee Jones,Cedric the Entertainer,Christina Milian,Paula Garcés,Monica Keena,Vanessa Ferlito,Full Cast & Crew,
One Life (2011),Status Released,Original Language English,Runtime 1h 25m,Budget -,Revenue -,Homepage http://www.bbcearth.com/movies/modal/one-life-movie/,Release Information,Daniel Craig,Full Cast & Crew,,,,,,
Christmas with the Kranks (2004),Status Released,Original Language English,Runtime 1h 39m,"Budget $60,000,000.00",Revenue -,Homepage -,Release Information,Tim Allen,Jamie Lee Curtis,Dan Aykroyd,M. Emmet Walsh,Elizabeth Franz,Erik Per Sullivan,Full Cast & Crew,
Dante's Inferno: An Animated Epic (2010),Status Released,Original Language English,Runtime 1h 24m,Budget -,Revenue -,Homepage -,Release Information,Steve Blum,Mark Hamill,Kevin Michael Richardson,Graham McTavish,Victoria Tennant,Vanessa Branch,Full Cast & Crew,
Blue Lagoon: The Awakening (2012),Status Released,Original Language English,Runtime 1h 25m,Budget -,Revenue -,Homepage http://www.lifetime.com,Release Information,Indiana Evans,Brenton Thwaites,Denise Richards,Frank John Hughes,Alix Elizabeth Gitter,Jacob Artist,Full Cast & Crew,
Ernest & Celestine (2012),Original Title Ernest et Célestine,Status Released,Original Language French,Runtime 1h 18m,"Budget $12,516,654.00","Revenue $8,109,160.00",Homepage -,Release Information,Anne-Marie Loop,Lambert Wilson,Pauline Brunner,Patrice Melennec,Brigitte Virtudes,Léonard Louf,Full Cast & Crew
Amen. (2002),Status Released,Original Language English,Runtime 2h 12m,Budget -,Revenue -,Homepage -,Release Information,Ulrich Tukur,Mathieu Kassovitz,Ulrich Mühe,Michel Duchaussoy,Marcel Iureș,Ion Caramitru,Full Cast & Crew,
Once Upon a Time in China III (1993),Original Title Wong Fei Hung III: Si wong jaang ba,Status Released,Original Language Cantonese,Runtime 1h 45m,Budget -,"Revenue $27,540,561.00",Homepage -,Release Information,Jet Li,Rosamund Kwan,Max Mok Siu-Chung,Xiong Xin-Xin,Lau Shun,John Wakefield,Full Cast & Crew
Careful What You Wish For (2015),Status Released,Original Language English,Runtime 1h 31m,"Budget $8,000,000.00",Revenue -,Homepage -,Release Information,Dermot Mulroney,Kandyse McClure,Isabel Lucas,Graham Rogers,Nick Jonas,Paul Sorvino,Full Cast & Crew,
The Secret of Moonacre (2008),Status Released,Original Language English,Runtime 1h 43m,"Budget $12,000,000.00","Revenue $7,070,330.00",Homepage -,Release Information,Ioan Gruffudd,Dakota Blue Richards,Tim Curry,Augustus Prew,Natascha McElhone,Juliet Stevenson,Full Cast & Crew,
Joyeux Noël (2005),Status Released,Original Language French,Runtime 1h 56m,"Budget $22,000,000.00","Revenue $17,709,155.00",Homepage -,Release Information,Diane Kruger,Natalie Dessay,Benno Fürmann,Guillaume Canet,Gary Lewis,Dany Boon,Full Cast & Crew,
Take This Waltz (2012),Status Released,Original Language English,Runtime 1h 56m,Budget -,Revenue -,Homepage http://www.magpictures.com/takethiswaltz/,Release Information,Michelle Williams,Seth Rogen,Luke Kirby,Sarah Silverman,Aaron Abrams,Jennifer Podemski,Full Cast & Crew,
Hedwig and the Angry Inch (2001),Status Released,Original Language English,Runtime 1h 35m,Budget -,Revenue -,Homepage -,Release Information,John Cameron Mitchell,Michael Aronov,Andrea Martin,Miriam Shor,Stephen Trask,Theodore Liscinski,Full Cast & Crew,
Down with Love (2003),Status Released,Original Language English,Runtime 1h 41m,"Budget $35,000,000.00","Revenue $20,298,207.00",Homepage -,Release Information,Renée Zellweger,Ewan McGregor,Sarah Paulson,David Hyde Pierce,Rachel Dratch,Jack Plotnick,Full Cast & Crew,
Bullhead (2011),Original Title Rundskop,Status Released,Original Language English,Runtime 2h 4m,"Budget $2,000,000.00","Revenue $42,070.00",Homepage http://rundskop.be/,Release Information,Matthias Schoenaerts,Jeroen Perceval,Jeanne Dandoy,Barbara Sarafian,Tibo Vandenborre,Frank Lammers,Full Cast & Crew
2-Headed Shark Attack (2012),Status Released,Original Language English,Runtime 1h 30m,Budget -,Revenue -,Homepage http://www.theasylum.cc/product.php?id=194,Release Information,Carmen Electra,Charlie O'Connell,Brooke Hogan,Gerald Webb,David Gallegos,Christina Bach,Full Cast & Crew,
Fly Me to the Moon (2008),Status Released,Original Language English,Runtime 1h 24m,Budget -,Revenue -,Homepage -,Release Information,Tim Curry,Robert Patrick,Kelly Ripa,Trevor Gagnon,Philip Bolden,Nicollette Sheridan,Full Cast & Crew,
Sabrina (1995),Status Released,Original Language English,Runtime 2h 7m,"Budget $58,000,000.00",Revenue -,Homepage -,Release Information,Harrison Ford,Julia Ormond,Greg Kinnear,Angie Dickinson,Nancy Marchand,John Wood,Full Cast & Crew,
The Five-Year Engagement (2012),Status Released,Original Language English,Runtime 2h 4m,"Budget $30,000,000.00","Revenue $53,909,751.00",Homepage http://www.thefiveyearengagementmovie.com/,Release Information,Emily Blunt,Alison Brie,Jason Segel,Rhys Ifans,Chris Pratt,Jacki Weaver,Full Cast & Crew,
The Shamer's Daughter (2015),Original Title Skammerens datter,Status Released,Original Language Danish,Runtime 1h 36m,"Budget $7,500,000.00",Revenue -,Homepage -,Release Information,Rebecca Emilie Sattrup,Petra Maria Scott,Allan Hyde,Jakob Oftebro,Maria Bonnevie,Søren Malling,Full Cast & Crew
The Lost Future (2010),Status Released,Original Language French,Runtime 1h 30m,Budget -,Revenue -,Homepage -,Release Information,Sean Bean,Annabelle Wallis,Corey Sevier,Eleanor Tomlinson,Jonathan Pienaar,Hannah Tointon,Full Cast & Crew,
Midnight Cowboy (1969),Status Released,Original Language English,Runtime 1h 53m,"Budget $3,600,000.00","Revenue $44,785,053.00",Homepage -,Release Information,Dustin Hoffman,Jon Voight,Sylvia Miles,John McGiver,Brenda Vaccaro,Barnard Hughes,Full Cast & Crew,
Fish Tank (2009),Status Released,Original Language English,Runtime 2h 3m,"Budget $3,000,000.00",Revenue -,Homepage -,Release Information,Katie Jarvis,Michael Fassbender,Kierston Wareing,Rebecca Griffiths,Harry Treadaway,Jason Maza,Full Cast & Crew,
