Movie Name,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
The Mechanic (2011),Released,English,1h 33m,"$40,000,000.00","$51,070,807.00",Jason Statham,Ben Foster,Donald Sutherland,Mini Anden,Tony Goldwyn,Christa Campbell,Full Cast & Crew
Indiana Jones and the Last Crusade (1989),Released,English,2h 7m,"$48,000,000.00","$474,171,806.00",Harrison Ford,Sean Connery,Denholm Elliott,Alison Doody,John Rhys-Davies,Julian Glover,Full Cast & Crew
Reservoir Dogs (1992),Released,English,1h 39m,"$1,200,000.00","$14,661,007.00",Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,Steve Buscemi,Lawrence Tierney,Full Cast & Crew
The Diary of a Teenage Girl (2015),Released,English,1h 42m,"$2,000,000.00","$1,477,002.00",Bel Powley,Kristen Wiig,Alexander SkarsgÌ´rd,Christopher Meloni,Margarita Levieva,Quinn Nagle,Full Cast & Crew
Monsters University (2013),Released,English,1h 44m,"$200,000,000.00","$743,559,607.00",Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Joel Murray,Peter Sohn,Full Cast & Crew
The Untouchables (1987),Released,English,1h 59m,"$25,000,000.00","$76,270,454.00",Kevin Costner,Sean Connery,Robert De Niro,Andy GarcÌ_a,Charles Martin Smith,Richard Bradford,Full Cast & Crew
Underworld: Blood Wars (2017),In Production,English,-,-,-,Kate Beckinsale,Theo James,India Eisley,Charles Dance,Bradley James,Daisy Head,Full Cast & Crew
The SpongeBob Movie: Sponge Out of Water (2015),Released,English,1h 33m,"$74,000,000.00","$311,594,032.00",Tom Kenny,Bill Fagerbakke,Rodger Bumpass,Clancy Brown,Carolyn Lawrence,Antonio Banderas,Full Cast & Crew
The Sixth Sense (1999),Released,English,1h 47m,"$40,000,000.00","$672,806,292.00",Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,Mischa Barton,Donnie Wahlberg,Full Cast & Crew
Absolutely Anything (2015),Released,English,1h 25m,-,"$5,189,646.00",Simon Pegg,Kate Beckinsale,Robin Williams,Terry Gilliam,Michael Palin,John Cleese,Full Cast & Crew
The Iron Giant (1999),Released,English,1h 26m,"$70,000,000.00","$23,159,305.00",Jennifer Aniston,Harry Connick Jr.,Vin Diesel,Cloris Leachman,James Gammon,Christopher McDonald,Full Cast & Crew
Automata (2014),Released,English,1h 50m,"$7,000,000.00",-,Antonio Banderas,Birgitte Hjort SÌürensen,Dylan McDermott,Robert Forster,Tim McInnerny,Andy Nyman,Full Cast & Crew
Die Another Day (2002),Released,English,2h 13m,"$140,000,000.00","$431,971,116.00",Pierce Brosnan,Halle Berry,Rosamund Pike,Rick Yune,Toby Stephens,John Cleese,Full Cast & Crew
Minority Report (2002),Released,English,2h 25m,"$102,000,000.00","$358,372,926.00",Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,Lois Smith,Peter Stormare,Full Cast & Crew
American Hustle (2013),Released,English,2h 18m,"$40,000,000.00","$251,171,807.00",Christian Bale,Bradley Cooper,Amy Adams,Jeremy Renner,Jennifer Lawrence,Louis C.K.,Full Cast & Crew
Wild Tales (2014),Released,Spanish,2h 5m,-,"$27,007,072.00",Ricardo DarÌ_n,Leonardo Sbaraglia,DarÌ_o Grandinetti,Erica Rivas,Erica Rivas,Nancy DuplÌÁa,Full Cast & Crew
Julieta (2016),Released,Spanish,1h 36m,"$1,490,000.00",-,Emma SuÌÁrez,Adriana Ugarte,Daniel Grao,Inma Cuesta,Michelle Jenner,DarÌ_o Grandinetti,Full Cast & Crew
The Notebook (2004),Released,English,2h 3m,"$29,000,000.00","$115,603,229.00",Rachel McAdams,Ryan Gosling,Gena Rowlands,James Garner,Sam Shepard,Joan Allen,Full Cast & Crew
Jack Reacher (2012),Released,English,2h 10m,"$60,000,000.00","$218,340,595.00",Tom Cruise,Rosamund Pike,Richard Jenkins,David Oyelowo,Werner Herzog,Jai Courtney,Full Cast & Crew
Harry Potter and the Goblet of Fire (2005),Released,English,2h 37m,"$150,000,000.00","$895,921,036.00",Daniel Radcliffe,Rupert Grint,Emma Watson,Ralph Fiennes,Michael Gambon,Alan Rickman,Full Cast & Crew
The Bourne Legacy (2012),Released,English,2h 0m,"$130,000,000.00","$276,572,938.00",Jeremy Renner,Rachel Weisz,Edward Norton,Scott Glenn,Stacy Keach,Joan Allen,Full Cast & Crew
Batman Forever (1995),Released,English,2h 1m,"$100,000,000.00","$336,529,144.00",Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,Chris O'Donnell,Michael Gough,Full Cast & Crew
Sin City (2005),Released,English,2h 4m,"$40,000,000.00","$158,733,820.00",Jessica Alba,Devon Aoki,Alexis Bledel,Powers Boothe,Rosario Dawson,Benicio del Toro,Full Cast & Crew
Hancock (2008),Released,English,1h 32m,"$150,000,000.00","$624,029,371.00",Will Smith,Charlize Theron,Jason Bateman,Jae Head,Eddie Marsan,David Mattey,Full Cast & Crew
Wreck-It Ralph (2012),Released,English,1h 48m,"$165,000,000.00","$471,222,889.00",John C. Reilly,Sarah Silverman,Jane Lynch,Jack McBrayer,Jamie Elman,Adam Carolla,Full Cast & Crew
Zero Dark Thirty (2012),Released,English,2h 37m,"$40,000,000.00","$132,820,716.00",Jessica Chastain,Jason Clarke,Mark Strong,Joel Edgerton,Chris Pratt,Kyle Chandler,Full Cast & Crew
Paul Blart: Mall Cop 2 (2015),Released,English,1h 34m,"$30,000,000.00","$107,275,897.00",Kevin James,Raini Rodriguez,Eduardo VerÌÁstegui,Daniella Alonso,Neal McDonough,David Henrie,Full Cast & Crew
Fuck You Goethe (2013),Released,German,1h 59m,"$5,000,000.00",-,Elyas M‰ÛªBarek,Karoline Herfurth,Katja Riemann,Jana Pallaske,Alwara HÌ_fels,Jonas Holdenrieder,Full Cast & Crew
Mr. Nobody (2009),Released,English,2h 21m,"$47,000,000.00","$3,547,209.00",Jared Leto,Diane Kruger,Linh €êan Ph‡_Ám,Sarah Polley,Rhys Ifans,Natasha Little,Full Cast & Crew
Toy Story 2 (1999),Released,English,1h 32m,"$90,000,000.00","$485,015,179.00",Tom Hanks,Tim Allen,Kelsey Grammer,Joan Cusack,Don Rickles,Jim Varney,Full Cast & Crew
Eternal Sunshine of the Spotless Mind (2004),Released,English,1h 48m,"$20,000,000.00","$72,258,126.00",Jim Carrey,Kate Winslet,Elijah Wood,Mark Ruffalo,Kirsten Dunst,Tom Wilkinson,Full Cast & Crew
Hell or High Water (2016),Released,English,1h 42m,-,-,Chris Pine,Jeff Bridges,Ben Foster,Katy Mixon,Dale Dickey,Kevin Rankin,Full Cast & Crew
Pitch Perfect (2012),Released,English,1h 52m,"$17,000,000.00","$115,350,426.00",Anna Kendrick,Skylar Astin,Ben Platt,Brittany Snow,Anna Camp,Rebel Wilson,Full Cast & Crew
Ocean's Eleven (2001),Released,English,1h 56m,"$85,000,000.00","$450,717,150.00",George Clooney,Brad Pitt,Matt Damon,Andy GarcÌ_a,Julia Roberts,Casey Affleck,Full Cast & Crew
From Russia With Love (1963),Released,English,1h 55m,"$2,500,000.00","$78,898,765.00",Sean Connery,Daniela Bianchi,Lotte Lenya,Robert Shaw,Bernard Lee,Eunice Gayson,Full Cast & Crew
The Forest (2016),Released,English,1h 35m,"$10,000,000.00","$30,894,815.00",Natalie Dormer,Taylor Kinney,Yukiyoshi Ozawa,Eoin Macken,Rina Takasaki,Noriko Sakura,Full Cast & Crew
Flight (2012),Released,English,2h 18m,"$31,000,000.00","$161,772,375.00",Denzel Washington,Don Cheadle,Bruce Greenwood,Kelly Reilly,John Goodman,Brian Geraghty,Full Cast & Crew
Imperium (2016),Released,English,1h 49m,-,-,Daniel Radcliffe,Toni Collette,Tracy Letts,Sam Trammell,Burn Gorman,Nestor Carbonell,Full Cast & Crew
Mr. Holmes (2015),Released,English,1h 43m,-,"$29,355,203.00",Ian McKellen,Milo Parker,Laura Linney,Hattie Morahan,Patrick Kennedy,Hiroyuki Sanada,Full Cast & Crew
The Matrix Reloaded (2003),Released,English,2h 18m,"$150,000,000.00","$738,599,701.00",Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,Hugo Weaving,Helmut Bakaitis,Steve Bastoni,Full Cast & Crew
Ice Age: Continental Drift (2012),Released,English,1h 28m,"$95,000,000.00","$877,244,782.00",John Leguizamo,Ray Romano,Chris Wedge,Denis Leary,Seann William Scott,Jennifer Lopez,Full Cast & Crew
Bone Tomahawk (2015),Released,English,2h 12m,"$1,800,000.00",-,Kurt Russell,Richard Jenkins,Matthew Fox,Lili Simmons,Sean Young,Patrick Wilson,Full Cast & Crew
Shrek Forever After (2010),Released,English,1h 33m,"$165,000,000.00","$752,600,867.00",Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Julie Andrews,Jon Hamm,Full Cast & Crew
Youth (2015),Released,Italian,1h 58m,"$13,360,000.00","$2,000,000.00",Michael Caine,Harvey Keitel,Rachel Weisz,Paul Dano,Jane Fonda,M€Äd€Älina Diana Ghenea,Full Cast & Crew
Goldfinger (1964),Released,English,1h 50m,"$3,500,000.00","$124,900,000.00",Sean Connery,Honor Blackman,Gert FrÌ_be,Shirley Eaton,Tania Mallet,Harold Sakata,Full Cast & Crew
Underworld: Evolution (2006),Released,English,1h 46m,"$50,000,000.00","$111,340,801.00",Kate Beckinsale,Scott Speedman,Tony Curran,Shane Brolly,Derek Jacobi,Bill Nighy,Full Cast & Crew
Jaws (1975),Released,English,2h 4m,"$7,000,000.00","$470,654,000.00",Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,Murray Hamilton,Carl Gottlieb,Full Cast & Crew
Cloudy with a Chance of Meatballs (2009),Released,English,1h 30m,"$100,000,000.00","$242,988,466.00",Bill Hader,Anna Faris,James Caan,Mr. T,Benjamin Bratt,Bruce Campbell,Full Cast & Crew
Steve Jobs (2015),Released,English,2h 2m,"$30,000,000.00","$34,441,873.00",Michael Fassbender,Kate Winslet,Seth Rogen,Katherine Waterston,Jeff Daniels,Michael Stuhlbarg,Full Cast & Crew
Ice Age: Dawn of the Dinosaurs (2009),Released,English,1h 34m,"$90,000,000.00","$886,686,817.00",Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Simon Pegg,Ethan Juan,Full Cast & Crew
Looper (2012),Released,English,1h 58m,"$30,000,000.00","$47,042,000.00",Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano,Noah Segan,Piper Perabo,Full Cast & Crew
Percy Jackson: Sea of Monsters (2013),Released,English,1h 46m,"$90,000,000.00","$174,578,751.00",Logan Lerman,Alexandra Daddario,Douglas Smith,Leven Rambin,Brandon T. Jackson,Jake Abel,Full Cast & Crew
Nymphomaniac: Vol. II (2013),Released,English,2h 3m,-,"$2,227,167.00",Charlotte Gainsbourg,Stellan SkarsgÌ´rd,Shia LaBeouf,Willem Dafoe,Stacy Martin,Udo Kier,Full Cast & Crew
The Da Vinci Code (2006),Released,English,2h 29m,"$125,000,000.00","$758,239,851.00",Tom Hanks,Audrey Tautou,Ian McKellen,Paul Bettany,Jean Reno,Alfred Molina,Full Cast & Crew
Armageddon (1998),Released,English,2h 31m,"$140,000,000.00","$553,799,566.00",Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,Will Patton,Steve Buscemi,Full Cast & Crew
The Departed (2006),Released,English,2h 31m,"$90,000,000.00","$289,847,354.00",Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone,Full Cast & Crew
Alice Through the Looking Glass (2016),Released,English,1h 58m,"$170,000,000.00",-,Johnny Depp,Mia Wasikowska,Anne Hathaway,Helena Bonham Carter,Alan Rickman,Michael Sheen,Full Cast & Crew
Shark Tale (2004),Released,English,1h 30m,"$75,000,000.00","$367,275,019.00",Will Smith,Robert De Niro,RenÌ©e Zellweger,Jack Black,Angelina Jolie,Ziggy Marley,Full Cast & Crew
Die Hard: With a Vengeance (1995),Released,English,2h 8m,"$90,000,000.00","$366,101,666.00",Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,Colleen Camp,Larry Bryggman,Full Cast & Crew
Ocean's Twelve (2004),Released,English,2h 5m,"$110,000,000.00","$362,744,280.00",George Clooney,Brad Pitt,Catherine Zeta-Jones,Julia Roberts,Andy GarcÌ_a,Casey Affleck,Full Cast & Crew
Bridesmaids (2011),Released,English,2h 5m,"$32,500,000.00","$288,383,523.00",Kristen Wiig,Rose Byrne,Maya Rudolph,Wendi McLendon-Covey,Ellie Kemper,Melissa McCarthy,Full Cast & Crew
Monella (1998),Released,Italian,1h 45m,-,-,Anna Ammirati,Serena Grandi,Patrick Mower,Max Parodi,Susanna MartinkovÌÁ,Susanna MartinkovÌÁ,Full Cast & Crew
Solace (2015),Released,English,1h 41m,-,"$22,354,572.00",Abbie Cornish,Jeffrey Dean Morgan,Colin Farrell,Anthony Hopkins,Marley Shelton,Kenny Johnson,Full Cast & Crew
The Transporter (2002),Released,English,1h 32m,"$21,000,000.00","$43,928,932.00",Jason Statham,Shu Qi,FranÌ_ois BerlÌ©and,Matt Schulze,Ric Young,Doug Rand,Full Cast & Crew
The Boss (2016),Released,English,1h 31m,"$29,000,000.00","$78,636,257.00",Melissa McCarthy,Peter Dinklage,Kristen Bell,Kathy Bates,Kristen Schaal,Cecily Strong,Full Cast & Crew
Angels & Demons (2009),Released,English,2h 18m,"$150,000,000.00","$356,613,439.00",Tom Hanks,Ewan McGregor,Ayelet Zurer,Stellan SkarsgÌ´rd,Pierfrancesco Favino,Nikolaj Lie Kaas,Full Cast & Crew
Ender's Game (2013),Released,English,1h 54m,"$110,000,000.00","$125,537,191.00",Asa Butterfield,Harrison Ford,Hailee Steinfeld,Abigail Breslin,Ben Kingsley,Viola Davis,Full Cast & Crew
Harry Potter and the Half-Blood Prince (2009),Released,English,2h 33m,"$250,000,000.00","$933,959,197.00",Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Julie Walters,Jim Broadbent,Full Cast & Crew
Legend (2015),Released,English,2h 11m,"$25,000,000.00","$42,972,994.00",Tom Hardy,Emily Browning,Taron Egerton,David Thewlis,Colin Morgan,Christopher Eccleston,Full Cast & Crew
The Living Daylights (1987),Released,English,2h 10m,"$40,000,000.00","$191,185,897.00",Timothy Dalton,Maryam d'Abo,Jeroen KrabbÌ©,Joe Don Baker,John Rhys-Davies,Art Malik,Full Cast & Crew
Vacation (2015),Released,English,1h 39m,"$31,000,000.00","$104,384,188.00",Ed Helms,Christina Applegate,Skyler Gisondo,Steele Stebbins,Chris Hemsworth,Leslie Mann,Full Cast & Crew
The Lion King 2: Simba's Pride (1998),Released,English,1h 21m,-,-,Matthew Broderick,Moira Kelly,Neve Campbell,Liz Callaway,Andy Dick,Robert Guillaume,Full Cast & Crew
2 Guns (2013),Released,English,1h 49m,"$61,000,000.00","$131,940,411.00",Denzel Washington,Mark Wahlberg,Paula Patton,Bill Paxton,Fred Ward,James Marsden,Full Cast & Crew
Brooklyn (2015),Released,English,1h 51m,"$11,000,000.00","$62,076,141.00",Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Emily Bett Rickards,Eileen O'Higgins,Julie Walters,Full Cast & Crew
Return of the Jedi (1983),Released,English,2h 15m,"$32,350,000.00","$572,700,000.00",Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels,Peter Mayhew,Full Cast & Crew
The Green Mile (1999),Released,English,3h 9m,"$60,000,000.00","$284,600,000.00",Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Patricia Clarkson,Full Cast & Crew
Anomalisa (2015),Released,English,1h 30m,"$8,000,000.00","$3,759,286.00",Jennifer Jason Leigh,David Thewlis,Tom Noonan,Full Cast & Crew,,,
The Wild Life (2016),Released,French,1h 30m,"$13,500,000.00","$3,342,697.00",Ilka Bessin,Dieter Hallervorden,Matthias SchweighÌ_fer,Aylin Tezel,Kaya Yanar,Ron Allen,Full Cast & Crew
The Visit (2015),Released,English,1h 34m,"$5,000,000.00","$98,450,062.00",Olivia DeJonge,Ed Oxenbould,Kathryn Hahn,Benjamin Kanes,Deanna Dunagan,Peter McRobbie,Full Cast & Crew
Non-Stop (2014),Released,English,1h 46m,"$50,000,000.00","$222,809,600.00",Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Nate Parker,Corey Stoll,Full Cast & Crew
The Mummy Returns (2001),Released,English,2h 10m,"$98,000,000.00","$433,013,274.00",Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Oded Fehr,Dwayne Johnson,Full Cast & Crew
Platoon (1986),Released,English,2h 0m,"$6,000,000.00","$138,530,565.00",Tom Berenger,Charlie Sheen,Willem Dafoe,Forest Whitaker,John C. McGinley,Kevin Dillon,Full Cast & Crew
Transcendence (2014),Released,English,1h 59m,"$100,000,000.00","$103,039,258.00",Johnny Depp,Paul Bettany,Rebecca Hall,Kate Mara,Morgan Freeman,Cillian Murphy,Full Cast & Crew
The Twilight Saga: Breaking Dawn - Part 1 (2011),Released,English,1h 57m,"$110,000,000.00","$712,171,856.00",Kristen Stewart,Robert Pattinson,Taylor Lautner,Ashley Greene,Peter Facinelli,Elizabeth Reaser,Full Cast & Crew
Argo (2012),Released,English,2h 0m,"$44,500,000.00","$232,324,128.00",Ben Affleck,Bryan Cranston,Alan Arkin,John Goodman,Victor Garber,Tate Donovan,Full Cast & Crew
Stonehearst Asylum (2014),Released,English,1h 52m,-,-,Kate Beckinsale,Jim Sturgess,Ben Kingsley,Michael Caine,Brendan Gleeson,David Thewlis,Full Cast & Crew
Dumb and Dumber To (2014),Released,English,1h 50m,"$40,000,000.00","$169,837,010.00",Jim Carrey,Jeff Daniels,Rachel Melvin,Kathleen Turner,Brady Bluhm,Laurie Holden,Full Cast & Crew
Blow (2001),Released,English,2h 4m,"$53,000,000.00","$83,282,296.00",Johnny Depp,PenÌ©lope Cruz,Ethan Suplee,Ray Liotta,Franka Potente,Rachel Griffiths,Full Cast & Crew
Live Free or Die Hard (2007),Released,English,2h 8m,"$110,000,000.00","$383,531,464.00",Bruce Willis,Justin Long,Timothy Olyphant,Cliff Curtis,Maggie Q,Mary Elizabeth Winstead,Full Cast & Crew
The Italian Job (2003),Released,English,1h 51m,"$60,000,000.00","$176,070,171.00",Mark Wahlberg,Charlize Theron,Jason Statham,Edward Norton,Fausto Callegarini,Seth Green,Full Cast & Crew
Catch Me If You Can (2002),Released,English,2h 21m,"$52,000,000.00","$352,114,312.00",Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Amy Adams,James Brolin,Full Cast & Crew
The Punisher (2004),Released,English,2h 4m,"$33,000,000.00","$54,700,105.00",Thomas Jane,John Travolta,Will Patton,Samantha Mathis,Rebecca Romijn,James Carpinello,Full Cast & Crew
Seven Pounds (2008),Released,English,2h 3m,"$55,000,000.00","$168,167,691.00",Will Smith,Rosario Dawson,Sarah Jane Morris,Woody Harrelson,Michael Ealy,Connor Cruise,Full Cast & Crew
Star Wars: Episode II - Attack of the Clones (2002),Released,English,2h 22m,"$120,000,000.00","$649,398,328.00",Ewan McGregor,Natalie Portman,Hayden Christensen,Ian McDiarmid,Samuel L. Jackson,Christopher Lee,Full Cast & Crew
Stargate (1994),Released,English,2h 1m,"$55,000,000.00","$196,567,262.00",Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors,Alexis Cruz,Mili Avital,Full Cast & Crew
Asterix: The Land of the Gods (2014),Released,French,1h 25m,"$30,000,000.00",-,Roger Carel,Alexandre Astier,Lionnel Astier,Serge Papagalli,FranÌ_ois Morel,Elie Semoun,Full Cast & Crew
Shrek 2 (2004),Released,English,1h 33m,"$150,000,000.00","$919,838,758.00",Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews,Antonio Banderas,John Cleese,Full Cast & Crew
Cast Away (2000),Released,English,2h 23m,"$90,000,000.00","$429,632,142.00",Tom Hanks,Helen Hunt,Chris Noth,Paul Sanchez,Lari White,Leonid Citer,Full Cast & Crew
Just Go with It (2011),Released,English,1h 57m,"$80,000,000.00","$214,918,407.00",Jennifer Aniston,Adam Sandler,Nicole Kidman,Bailee Madison,Griffin Gluck,Brooklyn Decker,Full Cast & Crew
Chronicle (2012),Released,English,1h 24m,"$15,000,000.00","$145,000,000.00",Dane DeHaan,Alex Russell,Michael B. Jordan,Michael Kelly,Anna Wood,Ashley Hinshaw,Full Cast & Crew
National Treasure (2004),Released,English,2h 11m,"$100,000,000.00","$347,451,894.00",Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,Jon Voight,Harvey Keitel,Full Cast & Crew
Concussion (2015),Released,English,2h 3m,"$35,000,000.00","$48,623,572.00",Will Smith,Bitsie Tulloch,Gugu Mbatha-Raw,Alec Baldwin,Matthew Willig,Luke Wilson,Full Cast & Crew
The Expendables 2 (2012),Released,English,1h 43m,"$100,000,000.00","$312,573,423.00",Sylvester Stallone,Jason Statham,Dolph Lundgren,Bruce Willis,Arnold Schwarzenegger,Jean-Claude Van Damme,Full Cast & Crew
You Only Live Twice (1967),Released,English,1h 57m,"$9,500,000.00","$111,584,787.00",Sean Connery,Akiko Wakabayashi,Karin Dor,Mie Hama,TetsurÅç Tamba,Teru Shimada,Full Cast & Crew
Rear Window (1954),Released,English,1h 52m,"$1,000,000.00","$36,764,313.00",James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Raymond Burr,Judith Evelyn,Full Cast & Crew
A View to a Kill (1985),Released,English,2h 11m,"$30,000,000.00","$152,427,960.00",Roger Moore,Christopher Walken,Tanya Roberts,Grace Jones,Patrick Macnee,Patrick Bauchau,Full Cast & Crew
The Theory of Everything (2014),Released,English,2h 3m,"$15,000,000.00","$121,201,940.00",Eddie Redmayne,Felicity Jones,Harry Lloyd,David Thewlis,Emily Watson,Simon McBurney,Full Cast & Crew
Irrational Man (2015),Released,English,1h 36m,"$11,000,000.00","$27,391,084.00",Emma Stone,Joaquin Phoenix,Jamie Blackley,Parker Posey,Meredith Hagner,Ethan Phillips,Full Cast & Crew
In the Heart of the Sea (2015),Released,English,2h 2m,"$100,000,000.00","$93,820,758.00",Chris Hemsworth,Benjamin Walker,Cillian Murphy,Brendan Gleeson,Ben Whishaw,Michelle Fairley,Full Cast & Crew
Escape Plan (2013),Released,English,1h 55m,"$50,000,000.00","$122,915,111.00",Sylvester Stallone,Arnold Schwarzenegger,Jim Caviezel,Vinnie Jones,50 Cent,Vincent D'Onofrio,Full Cast & Crew
Bolt (2008),Released,English,1h 36m,"$150,000,000.00","$309,979,994.00",John Travolta,Miley Cyrus,Susie Essman,Mark Walton,Malcolm McDowell,James Lipton,Full Cast & Crew
Howl's Moving Castle (2004),Released,Japanese,1h 59m,"$24,000,000.00","$234,710,455.00",Takuya Kimura,Akihiro Miwa,Tatsuya GashÌÈin,Mitsunori Isaki,Yo Oizumi,Akio ÌÓtsuka,Full Cast & Crew
Oblivion (2013),Released,English,2h 6m,"$120,000,000.00","$286,168,572.00",Tom Cruise,Morgan Freeman,Olga Kurylenko,Andrea Riseborough,Nikolaj Coster-Waldau,Melissa Leo,Full Cast & Crew
Cloverfield (2008),Released,English,1h 25m,"$25,000,000.00","$170,764,026.00",Lizzy Caplan,Jessica Lucas,Odette Annable,Michael Stahl-David,Mike Vogel,T.J. Miller,Full Cast & Crew
Hercules (1997),Released,English,1h 33m,"$85,000,000.00","$252,712,101.00",Tate Donovan,Josh Keaton,Roger Bart,Danny DeVito,James Woods,Susan Egan,Full Cast & Crew
Miss Peregrine's Home for Peculiar Children (2016),In Production,English,-,-,-,Asa Butterfield,Eva Green,Ella Purnell,Samuel L. Jackson,Allison Janney,Aiden Flowers,Full Cast & Crew
Toy Story 3 (2010),Released,English,1h 43m,"$200,000,000.00","$1,063,171,911.00",Tom Hanks,Tim Allen,Ned Beatty,Joan Cusack,Michael Keaton,Whoopi Goldberg,Full Cast & Crew
Honey 3: Dare to Dance (2016),Released,English,1h 37m,-,-,Kenny Wormald,Bobby Lockwood,Cassie Ventura,Dena Kaplan,Sibongile Mlambo,Clayton Evertson,Full Cast & Crew
Entourage (2015),Released,English,1h 44m,"$30,000,000.00","$49,263,404.00",Jeremy Piven,Adrian Grenier,Jerry Ferrara,Kevin Connolly,Kevin Dillon,Billy Bob Thornton,Full Cast & Crew
Donnie Darko (2001),Released,English,1h 53m,"$6,000,000.00","$1,270,522.00",Jake Gyllenhaal,Patrick Swayze,Drew Barrymore,Maggie Gyllenhaal,Holmes Osborne,Daveigh Chase,Full Cast & Crew
American Ultra (2015),Released,English,1h 36m,"$28,000,000.00",-,Jesse Eisenberg,Kristen Stewart,Topher Grace,Connie Britton,Walton Goggins,John Leguizamo,Full Cast & Crew
Das Boot (1981),Released,German,2h 29m,"$14,000,000.00","$85,000,000.00",JÌ_rgen Prochnow,Herbert GrÌ_nemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Full Cast & Crew
Mission: Impossible (1996),Released,English,1h 50m,"$80,000,000.00","$457,696,359.00",Tom Cruise,Jon Voight,Emmanuelle BÌ©art,Henry Czerny,Jean Reno,Ving Rhames,Full Cast & Crew
Present Perfect Continuous Tense (2013),Released,Thai,1h 49m,-,-,Lalita Panyopas,Setthapong Phiangphor,Chayanuj Boontanapibul,Pradanai Nateprasertkul,Nonthiya Jewbangpa,Kornkan Sutthikoses,Full Cast & Crew
The Maid (2014),Released,English,1h 39m,"$373,000.00",-,Claire Kahane,Ryan Cerenko,Olivia Jewson,Keith Hill,Chris Butler,Full Cast & Crew,
No Country for Old Men (2007),Released,English,2h 2m,"$25,000,000.00","$171,600,000.00",Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,Kelly Macdonald,Garret Dillahunt,Full Cast & Crew
Race (2016),Released,English,2h 14m,"$5,000,000.00","$24,804,129.00",Stephan James,Jason Sudeikis,Carice van Houten,Jeremy Irons,Amanda Crew,William Hurt,Full Cast & Crew
A Most Violent Year (2014),Released,English,2h 5m,"$20,000,000.00","$12,007,070.00",Oscar Isaac,Jessica Chastain,Albert Brooks,Elyes Gabel,David Oyelowo,Alessandro Nivola,Full Cast & Crew
4: Rise of the Silver Surfer (2007),Released,English,1h 32m,"$130,000,000.00","$289,047,763.00",Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis,Julian McMahon,Kerry Washington,Full Cast & Crew
Lara Croft Tomb Raider: The Cradle of Life (2003),Released,English,1h 57m,"$95,000,000.00","$156,505,388.00",Angelina Jolie,Gerard Butler,Noah Taylor,Djimon Hounsou,Til Schweiger,Simon Yam,Full Cast & Crew
Sapphire Blue (2014),Released,German,1h 56m,-,-,Maria Ehrich,Jannis NiewÌ_hner,Josefine PreuÌÙ,Florian BartholomÌ_i,Peter Simonischek,Rolf Kanies,Full Cast & Crew
28 Days Later... (2002),Released,English,1h 53m,"$5,000,000.00","$82,719,885.00",Cillian Murphy,Naomie Harris,Noah Huntley,Christopher Dunne,Emma Hitching,Alexander Delamere,Full Cast & Crew
Taxi Driver (1976),Released,English,1h 53m,"$1,300,000.00","$28,262,574.00",Robert De Niro,Cybill Shepherd,Harvey Keitel,Jodie Foster,Peter Boyle,Leonard Harris,Full Cast & Crew
Carrie (2013),Released,English,1h 40m,"$30,000,000.00","$82,394,288.00",ChloÌÇ Grace Moretz,Julianne Moore,Judy Greer,Alex Russell,Portia Doubleday,Gabriella Wilde,Full Cast & Crew
E.T. the Extra-Terrestrial (1982),Released,English,1h 55m,"$10,500,000.00","$792,910,554.00",Henry Thomas,Drew Barrymore,Robert MacNaughton,Dee Wallace,Peter Coyote,Erika Eleniak,Full Cast & Crew
