Movie Name,Studio,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
The Hallow (2015),IFC,Released,English,1h 37m,-,-,Joseph Mawle,Bojana Novakovi€à,Michael McElhatton,Gary Lydon,Stuart Graham,Conor Craig Stephens,Full Cast & Crew
Tooth Fairy (2010),Fox,Released,English,1h 41m,"$48,000,000.00","$112,462,508.00",Dwayne Johnson,Stephen Merchant,Ashley Judd,Julie Andrews,Ryan Sheckler,Seth MacFarlane,Full Cast & Crew
The Stanford Prison Experiment (2015),IFC,Released,English,2h 2m,-,"$643,557.00",Billy Crudup,Ezra Miller,Michael Angarano,Tye Sheridan,Olivia Thirlby,Johnny Simmons,Full Cast & Crew
Experimenter (2015),Magn.,Released,English,1h 37m,-,-,Peter Sarsgaard,Winona Ryder,Edoardo Ballerini,Jim Gaffigan,Anthony Edwards,Ned Eisenberg,Full Cast & Crew
Lila & Eve (2015),Gold.,Released,English,1h 34m,-,-,Viola Davis,Jennifer Lopez,Shea Whigham,Aml Ameen,Andre Royo,Chris Chalk,Full Cast & Crew
Space Chimps (2008),Fox,Released,English,1h 21m,"$37,000,000.00","$63,800,345.00",Andy Samberg,Cheryl Hines,Jeff Daniels,Stanley Tucci,Patrick Warburton,Jason Harris,Full Cast & Crew
True Romance (1993),WB,Released,English,2h 0m,"$12,500,000.00","$12,281,551.00",Christian Slater,Patricia Arquette,Michael Rapaport,Bronson Pinchot,Gary Oldman,Dennis Hopper,Full Cast & Crew
A Dangerous Method (2011),SPC,Released,English,1h 39m,"$15,000,000.00","$27,462,041.00",Keira Knightley,Viggo Mortensen,Michael Fassbender,Sarah Gadon,Vincent Cassel,AndrÌ© Hennicke,Full Cast & Crew
Wedding Crashers (2005),NL,Released,English,1h 59m,"$40,000,000.00","$285,176,741.00",Owen Wilson,Vince Vaughn,Christopher Walken,Rachel McAdams,Isla Fisher,Jane Seymour,Full Cast & Crew
Hope Floats (1998),Fox,Released,English,1h 54m,-,-,Sandra Bullock,Harry Connick Jr.,Gena Rowlands,Mae Whitman,Michael ParÌ©,Kathy Najimy,Full Cast & Crew
Dead Snow 2: Red vs. Dead (2014),WGUSA,Released,Norwegian,1h 40m,-,"$37,473.00",Vegar Hoel,Ì÷rjan Gamst,Martin Starr,Jocelyn DeBoer,Ingrid Haas,Stig Frode Henriksen,Full Cast & Crew
Spawn (1997),NL,Released,English,1h 36m,"$40,000,000.00","$87,840,042.00",Michael Jai White,Martin Sheen,John Leguizamo,Theresa Randle,Nicol Williamson,D. B. Sweeney,Full Cast & Crew
Hidalgo (2004),BV,Released,English,2h 16m,"$100,000,000.00","$108,103,450.00",Viggo Mortensen,Zuleikha Robinson,Omar Sharif,Adam Alexi-Malle,Louise Lombard,Silas Carson,Full Cast & Crew
Fried Green Tomatoes (1991),Uni.,Released,English,2h 10m,"$11,000,000.00","$80,100,000.00",Kathy Bates,Mary-Louise Parker,Jessica Tandy,Cicely Tyson,Mary Stuart Masterson,Chris O'Donnell,Full Cast & Crew
Magic in the Moonlight (2014),SPC,Released,English,1h 37m,-,"$32,339,326.00",Colin Firth,Emma Stone,Hamish Linklater,Marcia Gay Harden,Jacki Weaver,Erica Leerhsen,Full Cast & Crew
"New York, I Love You (2009)",Viv.,Released,English,1h 43m,"$14,700,000.00","$8,049,666.00",Natalie Portman,Shia LaBeouf,Orlando Bloom,Christina Ricci,Hayden Christensen,Robin Wright,Full Cast & Crew
On the Road (2012),IFC,Released,English,2h 17m,"$25,000,000.00","$8,784,318.00",Kristen Stewart,Garrett Hedlund,Sam Riley,Kirsten Dunst,Tom Sturridge,Viggo Mortensen,Full Cast & Crew
Being There (1979),MGM,Released,English,2h 10m,-,"$30,177,511.00",Peter Sellers,Shirley MacLaine,Melvyn Douglas,Jack Warden,Richard Dysart,Richard Basehart,Full Cast & Crew
Who Framed Roger Rabbit (1988),BV,Released,English,1h 44m,"$70,000,000.00","$329,803,958.00",Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer,Kathleen Turner,Stubby Kaye,Full Cast & Crew
Sea of Love (1989),Uni.,Released,English,1h 53m,"$19,000,000.00","$110,879,513.00",Al Pacino,Ellen Barkin,John Goodman,Michael Rooker,William Hickey,Richard Jenkins,Full Cast & Crew
Sweet November (2001),WB,Released,English,1h 59m,"$40,000,000.00","$65,754,228.00",Keanu Reeves,Charlize Theron,Jason Isaacs,Greg Germann,Lauren Graham,Michael Rosenbaum,Full Cast & Crew
Yojimbo (1961),Sene.,Released,Japanese,1h 50m,-,-,ToshirÅç Mifune,Tatsuya Nakadai,YÌ«ko Tsukasa,Isuzu Yamada,Daisuke KatÌ«,Takashi Shimura,Full Cast & Crew
Remember (2015),EOne,Released,English,1h 34m,-,"$1,986,615.00",Christopher Plummer,Martin Landau,Dean Norris,Henry Czerny,Bruno Ganz,JÌ_rgen Prochnow,Full Cast & Crew
Star Wars: Episode VIII (2017),BV,In Production,English,-,-,-,Daisy Ridley,Adam Driver,Mark Hamill,John Boyega,Oscar Isaac,Carrie Fisher,Full Cast & Crew
Ruby Sparks (2012),FoxS,Released,English,1h 44m,-,"$9,128,263.00",Paul Dano,Zoe Kazan,Chris Messina,Annette Bening,Antonio Banderas,Alia Shawkat,Full Cast & Crew
Stuart Little (1999),Sony,Released,English,1h 24m,"$133,000,000.00","$300,135,367.00",Michael J. Fox,Geena Davis,Hugh Laurie,Jonathan Lipnicki,Nathan Lane,Jeffrey Jones,Full Cast & Crew
L.A. Confidential (1997),WB,Released,English,2h 18m,"$35,000,000.00","$126,216,940.00",Kevin Spacey,Guy Pearce,Danny DeVito,James Cromwell,Kim Basinger,Russell Crowe,Full Cast & Crew
Broken City (2013),Fox,Released,English,1h 49m,"$56,000,000.00","$19,701,164.00",Mark Wahlberg,Russell Crowe,Catherine Zeta-Jones,Jeffrey Wright,Barry Pepper,Alona Tal,Full Cast & Crew
Close Encounters of the Third Kind (1977),Col.,Released,English,2h 15m,"$20,000,000.00","$303,788,635.00",Richard Dreyfuss,FranÌ_ois Truffaut,Teri Garr,Melinda Dillon,Bob Balaban,J. Patrick McNamara,Full Cast & Crew
Sliver (1993),Par.,Released,English,1h 48m,"$40,000,000.00","$116,300,000.00",Sharon Stone,William Baldwin,Tom Berenger,Polly Walker,Colleen Camp,Amanda Foreman,Full Cast & Crew
Lovelace (2013),RTWC,Released,English,1h 32m,"$10,000,000.00","$1,585,582.00",Amanda Seyfried,Peter Sarsgaard,Hank Azaria,Adam Brody,James Franco,Sharon Stone,Full Cast & Crew
Twister (1996),WB,Released,English,1h 53m,"$92,000,000.00","$494,471,524.00",Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,Philip Seymour Hoffman,Lois Smith,Full Cast & Crew
The Bling Ring (2013),A24,Released,English,1h 30m,"$15,000,000.00","$19,145,732.00",Emma Watson,Israel Broussard,Taissa Farmiga,Katie Chang,Claire Julien,Georgia Rock,Full Cast & Crew
The 13th Warrior (1999),BV,Released,English,1h 42m,"$160,000,000.00","$61,698,899.00",Antonio Banderas,Vladimir Kulich,Dennis StorhÌüi,Daniel Southern,Clive Russell,Mischa Hausserman,Full Cast & Crew
A Most Wanted Man (2014),RAtt.,Released,English,2h 1m,"$15,000,000.00","$31,554,855.00",Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Daniel BrÌ_hl,Willem Dafoe,Grigoriy Dobrygin,Full Cast & Crew
Jingle All the Way (1996),Fox,Released,English,1h 29m,"$60,000,000.00","$129,832,389.00",Arnold Schwarzenegger,Phil Hartman,Sinbad,Rita Wilson,Jake Lloyd,Martin Mull,Full Cast & Crew
Eragon (2006),Fox,Released,English,1h 44m,"$100,000,000.00","$249,288,105.00",Ed Speleers,Jeremy Irons,Sienna Guillory,Robert Carlyle,Djimon Hounsou,Garrett Hedlund,Full Cast & Crew
The Sisterhood of the Traveling Pants 2 (2008),WB,Released,English,1h 57m,"$27,000,000.00","$44,352,417.00",Alexis Bledel,Amber Tamblyn,America Ferrera,Blake Lively,Shohreh Aghdashloo,Blythe Danner,Full Cast & Crew
End of Days (1999),Uni.,Released,English,2h 1m,"$100,000,000.00","$211,989,043.00",Arnold Schwarzenegger,Gabriel Byrne,Kevin Pollak,Robin Tunney,CCH Pounder,Rod Steiger,Full Cast & Crew
The Kingdom (2007),Uni.,Released,English,1h 50m,"$70,000,000.00","$86,658,558.00",Jamie Foxx,Jennifer Garner,Chris Cooper,Jason Bateman,Ali Suliman,Jeremy Piven,Full Cast & Crew
Underdogs (2013),Free,Released,Spanish,1h 46m,"$22,000,000.00","$24,000,000.00",Juan JosÌ© Campanella,Diego Ramos,Pablo Rago,Axel Kuschevatzky,David Masajnik,Mariana Otero,Full Cast & Crew
Danny Collins (2015),BST,Released,English,1h 47m,"$10,000,000.00","$10,835,752.00",Al Pacino,Annette Bening,Jennifer Garner,Bobby Cannavale,Christopher Plummer,Josh Peck,Full Cast & Crew
Nine Months (1995),Fox,Released,English,1h 43m,-,"$69,660,733.00",Hugh Grant,Julianne Moore,Tom Arnold,Joan Cusack,Jeff Goldblum,Robin Williams,Full Cast & Crew
Teen Wolf (1985),Atl,Released,English,1h 31m,-,-,Michael J. Fox,James Hampton,Susan Ursitti,Jerry Levine,Matt Adler,Lorie Griffin,Full Cast & Crew
A Walk to Remember (2002),WB,Released,English,1h 41m,"$11,000,000.00","$41,227,069.00",Mandy Moore,Shane West,Peter Coyote,Daryl Hannah,Lauren German,Clayne Crawford,Full Cast & Crew
Upstream Color (2013),erbp,Released,English,1h 36m,"$100,000.00","$444,098.00",Amy Seimetz,Shane Carruth,Andrew Sensenig,Thiago Martins,Carolyn King,Myles McGee,Full Cast & Crew
The Bridges of Madison County (1995),WB,Released,English,2h 15m,"$24,000,000.00","$182,016,617.00",Meryl Streep,Clint Eastwood,Annie Corley,Victor Slezak,Jim Haynie,Sarah Kathryn Schmitt,Full Cast & Crew
Dante's Peak (1997),Uni.,Released,English,1h 48m,"$116,000,000.00","$178,127,760.00",Pierce Brosnan,Linda Hamilton,Jamie RenÌ©e Smith,Jeremy Foley,Elizabeth Hoffman,Charles Hallahan,Full Cast & Crew
Father of the Bride Part II (1995),BV,Released,English,1h 46m,-,"$76,578,911.00",Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,Full Cast & Crew
A Nightmare on Elm Street 3: Dream Warriors (1987),NL,Released,English,1h 36m,"$5,000,000.00","$44,793,222.00",Robert Englund,Patricia Arquette,Heather Langenkamp,John Saxon,Craig Wasson,Laurence Fishburne,Full Cast & Crew
All Is Lost (2013),RAtt.,Released,English,1h 46m,"$9,000,000.00","$6,108,720.00",Robert Redford,Full Cast & Crew,,,,,
Hunt for the Wilderpeople (2016),Orch.,Released,English,1h 41m,-,-,Sam Neill,Rima Te Wiata,Julian Dennison,Rachel House,Oscar Kightley,Rhys Darby,Full Cast & Crew
Absolute Power (1997),Sony,Released,English,2h 1m,"$50,000,000.00","$50,068,310.00",Clint Eastwood,Gene Hackman,Ed Harris,Scott Glenn,Laura Linney,Judy Davis,Full Cast & Crew
Girl with a Pearl Earring (2003),Lions,Released,English,1h 41m,-,"$31,466,789.00",Scarlett Johansson,Colin Firth,Cillian Murphy,Tom Wilkinson,Judy Parfitt,Essie Davis,Full Cast & Crew
It's Kind of a Funny Story (2010),Focus,Released,English,1h 41m,"$8,000,000.00","$6,491,240.00",Keir Gilchrist,Emma Roberts,Zach Galifianakis,Lauren Graham,ZoÌÇ Kravitz,Jeremy Davies,Full Cast & Crew
The Wild Bunch (1969),WB,Released,English,2h 25m,"$6,244,087.00","$638,641.00",Ernest Borgnine,William Holden,Robert Ryan,Edmond O'Brien,Warren Oates,Jaime SÌÁnchez,Full Cast & Crew
Water for Elephants (2011),Fox,Released,English,2h 0m,"$38,000,000.00","$114,156,230.00",Robert Pattinson,Reese Witherspoon,Christoph Waltz,Tatum Etheridge,Hal Holbrook,Richard Brake,Full Cast & Crew
The Longest Day (1962),Fox,Released,English,2h 58m,"$10,000,000.00",-,Eddie Albert,Paul Anka,Arletty,Jean-Louis Barrault,Richard Beymer,Hans Christian Blech,Full Cast & Crew
The Brave One (2007),WB,Released,English,2h 2m,"$70,000,000.00","$69,766,619.00",Jodie Foster,Terrence Howard,Nicky Katt,Naveen Andrews,Mary Steenburgen,Ene Oloja,Full Cast & Crew
K-PAX (2001),Uni.,Released,English,2h 0m,"$48,000,000.00","$50,315,140.00",Jeff Bridges,Kevin Spacey,Mary McCormack,Alfre Woodard,Ajay Naidu,Vincent Laresca,Full Cast & Crew
Mars Needs Moms (2011),BV,Released,English,1h 28m,"$150,000,000.00","$38,992,758.00",Seth Green,Joan Cusack,Dan Fogler,Breckin Meyer,Elisabeth Harnois,Tom Everett Scott,Full Cast & Crew
The Painted Veil (2006),WIP,Released,English,2h 5m,"$19,400,000.00",-,Edward Norton,Juliet Howland,Naomi Watts,Ian Renwick,Liev Schreiber,Toby Jones,Full Cast & Crew
Brothers (2009),LGF,Released,English,1h 44m,"$26,000,000.00","$43,318,349.00",Tobey Maguire,Jake Gyllenhaal,Natalie Portman,Sam Shepard,Mare Winningham,Bailee Madison,Full Cast & Crew
From Paris with Love (2010),LGF,Released,English,1h 32m,"$52,000,000.00","$52,615,806.00",John Travolta,Jonathan Rhys Meyers,Kasia Smutniak,Richard Durden,Bing Yin,Amber Rose Revah,Full Cast & Crew
The Perfect Storm (2000),WB,Released,English,2h 10m,"$120,000,000.00","$325,756,637.00",George Clooney,Mark Wahlberg,Diane Lane,John C. Reilly,William Fichtner,Bob Gunton,Full Cast & Crew
Outbreak (1995),WB,Released,English,2h 7m,-,"$189,859,560.00",Dustin Hoffman,Rene Russo,Morgan Freeman,Kevin Spacey,Cuba Gooding Jr.,Donald Sutherland,Full Cast & Crew
Trading Places (1983),Par.,Released,English,1h 56m,"$40,600,000.00","$90,400,000.00",Eddie Murphy,Dan Aykroyd,Jamie Lee Curtis,Denholm Elliott,Ralph Bellamy,Don Ameche,Full Cast & Crew
Austin Powers: The Spy Who Shagged Me (1999),NL,Released,English,1h 35m,"$33,000,000.00","$310,940,086.00",Mike Myers,Heather Graham,Michael York,Robert Wagner,Rob Lowe,Seth Green,Full Cast & Crew
Rocky Balboa (2006),MGM,Released,English,1h 42m,"$24,000,000.00","$155,721,132.00",Sylvester Stallone,Burt Young,Milo Ventimiglia,Geraldine Hughes,James Francis Kelly III,Tony Burton,Full Cast & Crew
Lockout (2012),FD,Released,English,1h 35m,"$20,000,000.00","$32,204,030.00",Guy Pearce,Maggie Grace,Joseph Gilgun,Lennie James,Peter Stormare,Vincent Regan,Full Cast & Crew
Exorcist: The Beginning (2004),WB,Released,English,1h 54m,"$80,000,000.00","$78,000,586.00",Stellan SkarsgÌ´rd,Izabella Scorupco,James D'Arcy,Julian Wadham,Remy Sweeney,Andrew French,Full Cast & Crew
The Ides of March (2011),Sony,Released,English,1h 41m,"$12,500,000.00","$75,993,061.00",Ryan Gosling,George Clooney,Philip Seymour Hoffman,Paul Giamatti,Evan Rachel Wood,Marisa Tomei,Full Cast & Crew
Interview with the Vampire (1994),WB,Released,English,2h 3m,"$60,000,000.00","$223,664,608.00",Brad Pitt,Tom Cruise,Kirsten Dunst,Antonio Banderas,Christian Slater,Stephen Rea,Full Cast & Crew
Murder in the First (1995),WB,Released,English,2h 2m,-,"$17,381,942.00",Christian Slater,Kevin Bacon,Gary Oldman,Embeth Davidtz,William H. Macy,Stephen Tobolowsky,Full Cast & Crew
Darkness Falls (2003),SonR,Released,English,1h 26m,-,-,Chaney Kley,Emma Caulfield,Lee Cormie,Grant Piro,Sullivan Stapleton,Emily Browning,Full Cast & Crew
Alex Cross (2012),LG/S,Released,English,1h 41m,"$45,000,000.00","$30,353,232.00",Tyler Perry,Rachel Nichols,Jean Reno,Matthew Fox,Giancarlo Esposito,Edward Burns,Full Cast & Crew
Haywire (2012),Rela.,Released,English,1h 33m,"$23,000,000.00","$33,372,606.00",Gina Carano,Ewan McGregor,Michael Fassbender,Bill Paxton,Channing Tatum,Antonio Banderas,Full Cast & Crew
Movie 43 (2013),Rela.,Released,English,1h 30m,"$6,000,000.00","$32,438,988.00",Dennis Quaid,Greg Kinnear,Common,Charlie Saxton,Will Sasso,Odessa Rae,Full Cast & Crew
Basic (2003),Sony,Released,English,1h 38m,"$50,000,000.00","$42,792,561.00",John Travolta,Connie Nielsen,Samuel L. Jackson,Giovanni Ribisi,Tim Daly,Brian Van Holt,Full Cast & Crew
Blackway (2016),Electric,Released,English,1h 30m,-,-,Anthony Hopkins,Julia Stiles,Alexander Ludwig,Ray Liotta,Hal Holbrook,Steve Bacic,Full Cast & Crew
Lady and the Tramp (1955),Dis.,Released,English,1h 16m,-,"$93,600,000.00",Peggy Lee,Barbara Luddy,Larry Roberts,Bill Thompson,Bill Baucom,Stan Freberg,Full Cast & Crew
Never Been Kissed (1999),Fox,Released,English,1h 47m,"$25,000,000.00","$84,565,230.00",Drew Barrymore,David Arquette,Michael Vartan,Molly Shannon,Jenny Bicks,Jessica Alba,Full Cast & Crew
Annie Hall (1977),UA,Released,English,1h 33m,"$4,000,000.00","$38,251,425.00",Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,Paul Simon,Shelley Duvall,Full Cast & Crew
Casanova (2005),BV,Released,English,1h 52m,-,"$37,691,644.00",Heath Ledger,Sienna Miller,Jeremy Irons,Oliver Platt,Lena Olin,Omid Djalili,Full Cast & Crew
Popeye (1980),Par.,Released,English,1h 54m,"$20,000,000.00",-,Robin Williams,Shelley Duvall,Ray Walston,Paul Dooley,Paul L. Smith,Richard Libertini,Full Cast & Crew
Boys Don't Cry (1999),FoxS,Released,English,1h 58m,"$2,000,000.00","$11,540,607.00",Hilary Swank,ChloÌÇ Sevigny,Peter Sarsgaard,Brendan Sexton III,Alicia Goranson,Alison Folland,Full Cast & Crew
Extraction (2015),LGP,Released,English,1h 23m,-,"$16,775.00",Bruce Willis,Gina Carano,Kellan Lutz,D. B. Sweeney,Dan Bilzerian,Nick Loeb,Full Cast & Crew
The Messenger (2009),Osci.,Released,English,1h 53m,"$6,500,000.00","$1,521,261.00",Ben Foster,Woody Harrelson,Jena Malone,Eamonn Walker,Samantha Morton,Steve Buscemi,Full Cast & Crew
The Good Lie (2014),WB,Released,English,1h 50m,-,-,Reese Witherspoon,Corey Stoll,Thad Luckinbill,Sarah Baker,Maria Howell,Joshua Mikel,Full Cast & Crew
Snitch (2013),LG/S,Released,English,1h 52m,"$35,000,000.00","$42,930,462.00",Dwayne Johnson,Barry Pepper,Jon Bernthal,Susan Sarandon,Michael Kenneth Williams,Rafi Gavron,Full Cast & Crew
Coraline (2009),Focus,Released,English,1h 40m,"$60,000,000.00","$124,596,398.00",Dakota Fanning,Teri Hatcher,Jennifer Saunders,Dawn French,Keith David,John Hodgman,Full Cast & Crew
Doom (2005),Uni.,Released,English,1h 40m,"$60,000,000.00","$55,987,321.00",Dwayne Johnson,Karl Urban,Rosamund Pike,Ben Daniels,Deobia Oparei,Razaaq Adoti,Full Cast & Crew
Robin Hood: Prince of Thieves (1991),WB,Released,English,2h 23m,"$48,000,000.00","$390,493,908.00",Kevin Costner,Morgan Freeman,Christian Slater,Mary Elizabeth Mastrantonio,Alan Rickman,Geraldine McEwan,Full Cast & Crew
Duplicity (2009),Uni.,Released,English,2h 5m,"$78,146,652.00","$60,000,000.00",Clive Owen,Julia Roberts,Paul Giamatti,Tom Wilkinson,Lisa Roberts Gillan,Denis O'Hare,Full Cast & Crew
Mississippi Grind (2015),A24,Released,English,1h 48m,-,-,Ryan Reynolds,Ben Mendelsohn,Sienna Miller,Analeigh Tipton,Alfre Woodard,Robin Weigert,Full Cast & Crew
Boruto: Naruto the Movie (2015),Elev.,Released,Japanese,1h 40m,-,-,Yuuko Sanpei,Kokoro Kikuchi,Junko Takeuchi,Noriaki Sugiyama,Daisuke Namikawa,Full Cast & Crew,
Galaxy Quest (1999),DW,Released,English,1h 42m,"$45,000,000.00","$90,683,916.00",Tim Allen,Sigourney Weaver,Alan Rickman,Tony Shalhoub,Sam Rockwell,Daryl Mitchell,Full Cast & Crew
Freddy vs. Jason (2003),NL,Released,English,1h 37m,"$30,000,000.00","$114,908,830.00",Robert Englund,Ken Kirzinger,Jason Ritter,Monica Keena,Lochlyn Munro,Kelly Rowland,Full Cast & Crew
Eraser (1996),WB,Released,English,1h 55m,"$100,000,000.00","$242,295,562.00",Arnold Schwarzenegger,James Caan,Vanessa Williams,James Coburn,Robert Pastorelli,James Cromwell,Full Cast & Crew
Child's Play 3 (1991),Uni.,Released,English,1h 30m,"$13,000,000.00","$20,560,255.00",Justin Whalin,Perrey Reeves,Jeremy Sylvers,Travis Fine,Dean Jacobson,Brad Dourif,Full Cast & Crew
Sleepless in Seattle (1993),TriS,Released,English,1h 45m,"$21,000,000.00","$227,799,884.00",Tom Hanks,Meg Ryan,Bill Pullman,Ross Malinger,Rosie O'Donnell,Gaby Hoffmann,Full Cast & Crew
Runner Runner (2013),Fox,Released,English,1h 31m,"$30,000,000.00","$62,616,646.00",Ben Affleck,Gemma Arterton,Justin Timberlake,Anthony Mackie,David Costabile,John Heard,Full Cast & Crew
The Addams Family (1991),Par.,Released,English,1h 39m,"$30,000,000.00","$191,502,426.00",RaÌ_l JuliÌÁ,Anjelica Huston,Christopher Lloyd,Christina Ricci,Carel Struycken,Dan Hedaya,Full Cast & Crew
A Love Song for Bobby Long (2004),Lions,Released,English,1h 59m,-,"$1,841,260.00",John Travolta,Scarlett Johansson,Gabriel Macht,Sonny Shroyer,Clayne Crawford,Dane Rhodes,Full Cast & Crew
The Kite Runner (2007),ParV,Released,English,2h 8m,"$20,000,000.00","$73,276,047.00",Khalid Abdalla,Atossa Leoni,Shaun Toub,Zekeria Ebrahimi,Ahmad Khan Mahmoodzada,Ali Danish Bakhty Ari,Full Cast & Crew
The Hours (2002),Par.,Released,English,1h 54m,"$25,000,000.00","$108,846,072.00",Nicole Kidman,Julianne Moore,Meryl Streep,Stephen Dillane,Miranda Richardson,George Loftus,Full Cast & Crew
Hackers (1995),MGM,Released,English,1h 47m,"$20,000,000.00","$7,563,728.00",Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Matthew Lillard,Renoly Santiago,Fisher Stevens,Full Cast & Crew
Ever After: A Cinderella Story (1998),Fox,Released,English,2h 1m,"$26,000,000.00","$65,705,772.00",Drew Barrymore,Dougray Scott,Anjelica Huston,Megan Dodds,Melanie Lynskey,Timothy West,Full Cast & Crew
Big Daddy (1999),Sony,Released,English,1h 33m,"$34,200,000.00","$234,801,895.00",Adam Sandler,Joey Lauren Adams,Kristy Swanson,Cole Sprouse,Jon Stewart,Leslie Mann,Full Cast & Crew
The Double (2011),Imag.,Released,English,1h 38m,"$17,000,000.00","$3,696,232.00",Stephen Moyer,Topher Grace,Richard Gere,Stana Katic,Martin Sheen,Tamer Hassan,Full Cast & Crew
Couples Retreat (2009),Uni.,Released,English,1h 53m,"$70,000,000.00","$171,844,840.00",Vince Vaughn,Malin ÌÉkerman,Jason Bateman,Kristen Bell,Jon Favreau,Ken Jeong,Full Cast & Crew
Parkland (2013),EXCL,Released,English,1h 34m,"$10,000,000.00","$653,651.00",Zac Efron,Billy Bob Thornton,Ron Livingston,Tom Welling,Paul Giamatti,Colin Hanks,Full Cast & Crew
The Stepford Wives (2004),Par.,Released,English,1h 33m,"$90,000,000.00","$102,000,000.00",Nicole Kidman,Matthew Broderick,Bette Midler,Glenn Close,Christopher Walken,Roger Bart,Full Cast & Crew
Wolf (1994),Col.,Released,English,2h 5m,-,-,Jack Nicholson,Christopher Plummer,James Spader,Michelle Pfeiffer,Kate Nelligan,Richard Jenkins,Full Cast & Crew
Gremlins (1984),WB,Released,English,1h 46m,"$11,000,000.00","$153,083,102.00",Zach Galligan,Phoebe Cates,Hoyt Axton,Polly Holliday,Dick Miller,Keye Luke,Full Cast & Crew
Equilibrium (2002),Dim.,Released,English,1h 47m,"$20,000,000.00","$5,359,645.00",Christian Bale,Taye Diggs,Emily Watson,Angus Macfadyen,Sean Bean,Dominic Purcell,Full Cast & Crew
Jonah Hex (2010),WB,Released,English,1h 20m,"$47,000,000.00","$10,539,000.00",Megan Fox,Josh Brolin,John Malkovich,Michael Shannon,Michael Fassbender,David Jensen,Full Cast & Crew
The Last of the Mohicans (1992),Fox,Released,English,1h 52m,"$40,000,000.00","$75,505,856.00",Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,Jodhi May,Steven Waddington,Full Cast & Crew
Kill the Irishman (2011),Anch.,Released,English,1h 46m,-,"$1,188,194.00",Ray Stevenson,Vincent D'Onofrio,Val Kilmer,Christopher Walken,Linda Cardellini,Tony Darrow,Full Cast & Crew
Ran (1985),OrionC,Released,Japanese,2h 42m,"$11,500,000.00","$4,069,653.00",Akira Terao,Jinpachi Nezu,Daisuke RyÌÈ,Tatsuya Nakadai,Mieko Harada,Yoshiko Miyazaki,Full Cast & Crew
A Lot Like Love (2005),BV,Released,English,1h 47m,"$30,000,000.00","$42,886,719.00",Ashton Kutcher,Amanda Peet,Aimee Garcia,Taryn Manning,Ali Larter,Kathryn Hahn,Full Cast & Crew
Conan the Destroyer (1984),Uni.,Released,English,1h 43m,"$18,000,000.00","$31,042,035.00",Arnold Schwarzenegger,Grace Jones,Wilt Chamberlain,Tracey Walter,Mako,Sarah Douglas,Full Cast & Crew
Attack the Block (2011),SGem,Released,English,1h 28m,"$14,350,531.00","$3,964,682.00",Nick Frost,Jodie Whittaker,John Boyega,Luke Treadaway,Flaminia Cinque,Terry Notary,Full Cast & Crew
Clerks II (2006),MGM/W,Released,English,1h 37m,"$5,000,000.00","$26,888,376.00",Brian O'Halloran,Jeff Anderson,Jason Mewes,Kevin Smith,Jennifer Schwalbach Smith,Ben Affleck,Full Cast & Crew
The Rum Diary (2011),FD,Released,English,2h 0m,"$45,000,000.00","$24,000,000.00",Johnny Depp,Amber Heard,Aaron Eckhart,Michael Rispoli,Giovanni Ribisi,Richard Jenkins,Full Cast & Crew
Letters to Juliet (2010),Sum.,Released,English,1h 45m,"$30,000,000.00",-,Amanda Seyfried,Gael GarcÌ_a Bernal,Vanessa Redgrave,Christopher Egan,Marcia DeBonis,Giordano Formenti,Full Cast & Crew
Fruitvale Station (2013),Wein.,Released,English,1h 25m,-,"$17,385,830.00",Michael B. Jordan,Octavia Spencer,Melonie Diaz,Ahna O'Reilly,Kevin Durand,Chad Michael Murray,Full Cast & Crew
"Big Mommas: Like Father, Like Son (2011)",Fox,Post Production,English,1h 47m,"$32,000,000.00","$83,615,414.00",Portia Doubleday,Martin Lawrence,Brandon T. Jackson,Mari Morrow,Faizon Love,Ana Ortiz,Full Cast & Crew
Some Like It Hot (1959),UA,Released,English,2h 2m,"$3,500,000.00","$25,000,000.00",Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,Joe E. Brown,Nehemiah Persoff,Full Cast & Crew
Backdraft (1991),Uni.,Released,English,2h 17m,"$75,000,000.00","$152,368,585.00",Kurt Russell,William Baldwin,Robert De Niro,Donald Sutherland,Jennifer Jason Leigh,Scott Glenn,Full Cast & Crew
The Disappointments Room (2016),Rela.,Released,English,1h 32m,"$15,000,000.00",-,Kate Beckinsale,Michaela Conlin,Marcia De Rousse,Melissa Eastwood,Duncan Joiner,Ella Jones,Full Cast & Crew
Before Sunrise (1995),Sony,Released,English,1h 45m,"$2,500,000.00","$5,535,405.00",Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno PÌ_schl,Karl Bruckschwaiger,Tex Rubinowitz,Full Cast & Crew
