Movie Name,Studio,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
Batman v Superman: Dawn of Justice (2016),WB,Released,English,2h 31m,"$250,000,000.00","$872,662,631.00",Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,Laurence Fishburne,Full Cast & Crew
Sully (2016),WB,Released,English,1h 36m,"$60,000,000.00",-,Tom Hanks,Aaron Eckhart,Laura Linney,Anna Gunn,Autumn Reeser,Holt McCallany,Full Cast & Crew
Central Intelligence (2016),WB (NL),Released,English,1h 47m,"$50,000,000.00","$113,768,303.00",Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,Danielle Nicolet,Ryan Hansen,Full Cast & Crew
Mad Max: Fury Road (2015),WB,Released,English,2h 0m,"$150,000,000.00","$378,436,354.00",Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman,Rosie Huntington-Whiteley,Full Cast & Crew
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),Par.,Released,English,1h 52m,"$135,000,000.00",-,Megan Fox,Stephen Amell,Will Arnett,Laura Linney,Pete Ploszek,Alan Ritchson,Full Cast & Crew
Jurassic World (2015),Uni.,Released,English,2h 4m,"$150,000,000.00","$1,513,528,810.00",Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Omar Sy,Nick Robinson,Full Cast & Crew
Interstellar (2014),Par.,Released,English,2h 49m,"$165,000,000.00","$621,752,480.00",Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine,Casey Affleck,Mackenzie Foy,Full Cast & Crew
Deadpool (2016),Fox,Released,English,1h 48m,"$58,000,000.00","$778,617,348.00",Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,Stefan Kapiۍiۈ,Brianna Hildebrand,Full Cast & Crew
Furious 7 (2015),Uni.,Released,English,2h 17m,"$190,000,000.00","$1,506,249,360.00",Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson,Jordana Brewster,Full Cast & Crew
Captain America: The First Avenger (2011),Par.,Released,English,2h 4m,"$140,000,000.00","$370,569,774.00",Chris Evans,Hugo Weaving,Tommy Lee Jones,Hayley Atwell,Sebastian Stan,Dominic Cooper,Full Cast & Crew
