,n_estimators,precision
0,10,0.30081594784817217
1,20,0.31790116285396347
2,30,0.32915467899006123
3,40,0.32124816272615553
4,50,0.3237438602281585
5,60,0.32831087102807416
6,70,0.3254381509486949
7,80,0.32626895382530346
8,90,0.32753030890419643
9,100,0.3279383451433472
10,110,0.3296171508238795
11,120,0.3279175761497898
12,130,0.3329176089494687
13,140,0.3350079338457451
14,150,0.3325191269013684
15,160,0.3370783951812821
16,170,0.3329237339028387
17,180,0.33333859626661433
18,190,0.333328190113188
19,200,0.33501653902221146
20,210,0.33543407571349976
21,220,0.3374958024696262
22,230,0.3374914782247454
23,240,0.33417970824444104
24,250,0.33669793267213677
25,260,0.33795139443990674
26,270,0.3362890014257857
27,280,0.33462062355532723
28,290,0.33626914882760545
29,300,0.3346205805105028
30,310,0.3362933256706665
31,320,0.33668751582462203
32,330,0.33545564293052016
33,340,0.33378637005286144
34,350,0.3342065270642787
35,360,0.3354504883799111
36,370,0.33795395005856366
37,380,0.3412691816272845
38,390,0.3362837714796162
39,400,0.33959213387888754
40,410,0.33794271359940903
41,420,0.33834988718209547
42,430,0.3395938484977278
43,440,0.33710331624042245
44,450,0.3379384217052642
45,460,0.3371120077750086
46,470,0.34043665343774726
47,480,0.33835590438916885
48,490,0.33709984395791753
49,500,0.3383516018009357
50,510,0.3396015803236415
51,520,0.3396085248886513
52,530,0.3379417862414726
53,540,0.3371127519910879
